board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,cosf,LLC+MEM,0,4,2400000,0,1..3,32391,23886,6
pi5,cosf,LLC+MEM,1,4,2400000,0,1..3,19486,23886,5
pi5,cosf,LLC+MEM,2,4,2400000,0,1..3,16496,23886,2
pi5,cosf,LLC+MEM,3,4,2400000,0,1..3,15404,23886,1
pi5,cosf,LLC+MEM,4,4,2400000,0,1..3,14218,23886,0
pi5,cosf,LLC+MEM,5,4,2400000,0,1..3,13657,23886,0
pi5,cosf,LLC+MEM,6,4,2400000,0,1..3,14114,23886,0
pi5,cosf,LLC+MEM,7,4,2400000,0,1..3,13743,23886,0
pi5,cosf,LLC+MEM,8,4,2400000,0,1..3,13722,23886,0
pi5,cosf,LLC+MEM,9,4,2400000,0,1..3,13805,23886,0
pi5,cosf,LLC+MEM,10,4,2400000,0,1..3,13749,23886,0
pi5,cosf,LLC+MEM,11,4,2400000,0,1..3,14089,23886,0
pi5,cosf,LLC+MEM,12,4,2400000,0,1..3,13788,23886,0
pi5,cosf,LLC+MEM,13,4,2400000,0,1..3,13947,23886,0
pi5,cosf,LLC+MEM,14,4,2400000,0,1..3,13622,23886,0
pi5,cosf,LLC+MEM,15,4,2400000,0,1..3,13854,23886,0
pi5,cosf,LLC+MEM,16,4,2400000,0,1..3,14120,23886,0
pi5,cosf,LLC+MEM,17,4,2400000,0,1..3,13672,23886,0
pi5,cosf,LLC+MEM,18,4,2400000,0,1..3,14089,23886,0
pi5,cosf,LLC+MEM,19,4,2400000,0,1..3,13671,23886,0
pi5,cosf,LLC+MEM,20,4,2400000,0,1..3,14344,23886,1
pi5,cosf,LLC+MEM,21,4,2400000,0,1..3,13997,23886,0
pi5,cosf,LLC+MEM,22,4,2400000,0,1..3,13860,23886,0
pi5,cosf,LLC+MEM,23,4,2400000,0,1..3,14030,23886,1
pi5,cosf,LLC+MEM,24,4,2400000,0,1..3,14077,23886,0
pi5,cosf,LLC+MEM,25,4,2400000,0,1..3,13757,23886,0
