board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,countnegative,LLC+BUS,0,4,2400000,0,1..3,20553,28408,27
pi5,countnegative,LLC+BUS,1,4,2400000,0,1..3,14705,28408,21
pi5,countnegative,LLC+BUS,2,4,2400000,0,1..3,9856,28408,2
pi5,countnegative,LLC+BUS,3,4,2400000,0,1..3,10389,28408,3
pi5,countnegative,LLC+BUS,4,4,2400000,0,1..3,9637,28408,1
pi5,countnegative,LLC+BUS,5,4,2400000,0,1..3,9701,28408,1
pi5,countnegative,LLC+BUS,6,4,2400000,0,1..3,10241,28408,0
pi5,countnegative,LLC+BUS,7,4,2400000,0,1..3,16001,28408,2
pi5,countnegative,LLC+BUS,8,4,2400000,0,1..3,16409,28408,2
pi5,countnegative,LLC+BUS,9,4,2400000,0,1..3,9711,28408,0
pi5,countnegative,LLC+BUS,10,4,2400000,0,1..3,9562,28408,0
pi5,countnegative,LLC+BUS,11,4,2400000,0,1..3,9688,28408,1
pi5,countnegative,LLC+BUS,12,4,2400000,0,1..3,12126,28408,1
pi5,countnegative,LLC+BUS,13,4,2400000,0,1..3,9629,28408,0
pi5,countnegative,LLC+BUS,14,4,2400000,0,1..3,9641,28408,0
pi5,countnegative,LLC+BUS,15,4,2400000,0,1..3,9730,28408,0
pi5,countnegative,LLC+BUS,16,4,2400000,0,1..3,9729,28408,0
pi5,countnegative,LLC+BUS,17,4,2400000,0,1..3,9669,28408,0
pi5,countnegative,LLC+BUS,18,4,2400000,0,1..3,9790,28408,0
pi5,countnegative,LLC+BUS,19,4,2400000,0,1..3,9694,28408,0
pi5,countnegative,LLC+BUS,20,4,2400000,0,1..3,9800,28408,0
pi5,countnegative,LLC+BUS,21,4,2400000,0,1..3,9657,28408,0
pi5,countnegative,LLC+BUS,22,4,2400000,0,1..3,9661,28408,0
pi5,countnegative,LLC+BUS,23,4,2400000,0,1..3,9651,28408,0
pi5,countnegative,LLC+BUS,24,4,2400000,0,1..3,9663,28408,0
pi5,countnegative,LLC+BUS,25,4,2400000,0,1..3,9724,28408,0
pi5,countnegative,LLC+BUS,26,4,2400000,0,1..3,9715,28408,0
pi5,countnegative,LLC+BUS,27,4,2400000,0,1..3,9684,28408,1
pi5,countnegative,LLC+BUS,28,4,2400000,0,1..3,9613,28408,0
pi5,countnegative,LLC+BUS,29,4,2400000,0,1..3,9662,28408,0
pi5,countnegative,LLC+BUS,30,4,2400000,0,1..3,10316,28408,1
pi5,countnegative,LLC+BUS,31,4,2400000,0,1..3,9655,28408,0
pi5,countnegative,LLC+BUS,32,4,2400000,0,1..3,9862,28408,0
pi5,countnegative,LLC+BUS,33,4,2400000,0,1..3,9760,28408,0
pi5,countnegative,LLC+BUS,34,4,2400000,0,1..3,9658,28408,0
pi5,countnegative,LLC+BUS,35,4,2400000,0,1..3,9807,28408,0
pi5,countnegative,LLC+BUS,36,4,2400000,0,1..3,9653,28408,0
pi5,countnegative,LLC+BUS,37,4,2400000,0,1..3,9632,28408,0
pi5,countnegative,LLC+BUS,38,4,2400000,0,1..3,9652,28408,0
pi5,countnegative,LLC+BUS,39,4,2400000,0,1..3,9846,28408,0
pi5,countnegative,LLC+BUS,40,4,2400000,0,1..3,9716,28408,0
pi5,countnegative,LLC+BUS,41,4,2400000,0,1..3,9674,28408,0
pi5,countnegative,LLC+BUS,42,4,2400000,0,1..3,9644,28408,0
pi5,countnegative,LLC+BUS,43,4,2400000,0,1..3,9703,28408,0
pi5,countnegative,LLC+BUS,44,4,2400000,0,1..3,9828,28408,0
pi5,countnegative,LLC+BUS,45,4,2400000,0,1..3,9745,28408,0
pi5,countnegative,LLC+BUS,46,4,2400000,0,1..3,12183,28408,0
pi5,countnegative,LLC+BUS,47,4,2400000,0,1..3,9768,28408,0
pi5,countnegative,LLC+BUS,48,4,2400000,0,1..3,11346,28408,1
pi5,countnegative,LLC+BUS,49,4,2400000,0,1..3,11579,28408,2
pi5,countnegative,LLC+BUS,50,4,2400000,0,1..3,10527,28408,1
pi5,countnegative,LLC+BUS,51,4,2400000,0,1..3,9683,28408,0
pi5,countnegative,LLC+BUS,52,4,2400000,0,1..3,12703,28408,1
pi5,countnegative,LLC+BUS,53,4,2400000,0,1..3,12289,28408,2
pi5,countnegative,LLC+BUS,54,4,2400000,0,1..3,11419,28408,1
pi5,countnegative,LLC+BUS,55,4,2400000,0,1..3,9910,28408,0
pi5,countnegative,LLC+BUS,56,4,2400000,0,1..3,14326,28408,3
pi5,countnegative,LLC+BUS,57,4,2400000,0,1..3,9697,28408,1
pi5,countnegative,LLC+BUS,58,4,2400000,0,1..3,11628,28408,1
pi5,countnegative,LLC+BUS,59,4,2400000,0,1..3,9632,28408,1
pi5,countnegative,LLC+BUS,60,4,2400000,0,1..3,11256,28408,1
pi5,countnegative,LLC+BUS,61,4,2400000,0,1..3,9588,28408,0
pi5,countnegative,LLC+BUS,62,4,2400000,0,1..3,12791,28408,3
pi5,countnegative,LLC+BUS,63,4,2400000,0,1..3,9747,28408,1
pi5,countnegative,LLC+BUS,64,4,2400000,0,1..3,9766,28408,0
pi5,countnegative,LLC+BUS,65,4,2400000,0,1..3,9784,28408,0
pi5,countnegative,LLC+BUS,66,4,2400000,0,1..3,9679,28408,2
pi5,countnegative,LLC+BUS,67,4,2400000,0,1..3,9803,28408,0
pi5,countnegative,LLC+BUS,68,4,2400000,0,1..3,9618,28408,0
pi5,countnegative,LLC+BUS,69,4,2400000,0,1..3,13208,28408,1
pi5,countnegative,LLC+BUS,70,4,2400000,0,1..3,9706,28408,0
pi5,countnegative,LLC+BUS,71,4,2400000,0,1..3,12083,28408,1
pi5,countnegative,LLC+BUS,72,4,2400000,0,1..3,11248,28408,2
pi5,countnegative,LLC+BUS,73,4,2400000,0,1..3,9650,28408,0
pi5,countnegative,LLC+BUS,74,4,2400000,0,1..3,9750,28408,0
