board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,deg2rad,LLC+BUS,0,4,2400000,0,1..3,8566,11623,2
pi5,deg2rad,LLC+BUS,1,4,2400000,0,1..3,9788,11623,2
pi5,deg2rad,LLC+BUS,2,4,2400000,0,1..3,6006,11623,1
pi5,deg2rad,LLC+BUS,3,4,2400000,0,1..3,3733,11623,0
pi5,deg2rad,LLC+BUS,4,4,2400000,0,1..3,3740,11623,0
pi5,deg2rad,LLC+BUS,5,4,2400000,0,1..3,3777,11623,0
pi5,deg2rad,LLC+BUS,6,4,2400000,0,1..3,3696,11623,0
pi5,deg2rad,LLC+BUS,7,4,2400000,0,1..3,3702,11623,0
pi5,deg2rad,LLC+BUS,8,4,2400000,0,1..3,6598,11623,1
pi5,deg2rad,LLC+BUS,9,4,2400000,0,1..3,3834,11623,0
pi5,deg2rad,LLC+BUS,10,4,2400000,0,1..3,3783,11623,0
pi5,deg2rad,LLC+BUS,11,4,2400000,0,1..3,3648,11623,0
pi5,deg2rad,LLC+BUS,12,4,2400000,0,1..3,3732,11623,0
pi5,deg2rad,LLC+BUS,13,4,2400000,0,1..3,3778,11623,0
pi5,deg2rad,LLC+BUS,14,4,2400000,0,1..3,3780,11623,0
pi5,deg2rad,LLC+BUS,15,4,2400000,0,1..3,3758,11623,0
pi5,deg2rad,LLC+BUS,16,4,2400000,0,1..3,3719,11623,0
pi5,deg2rad,LLC+BUS,17,4,2400000,0,1..3,3758,11623,0
pi5,deg2rad,LLC+BUS,18,4,2400000,0,1..3,3731,11623,0
pi5,deg2rad,LLC+BUS,19,4,2400000,0,1..3,3746,11623,0
pi5,deg2rad,LLC+BUS,20,4,2400000,0,1..3,3680,11623,0
pi5,deg2rad,LLC+BUS,21,4,2400000,0,1..3,3795,11623,0
pi5,deg2rad,LLC+BUS,22,4,2400000,0,1..3,3698,11623,0
pi5,deg2rad,LLC+BUS,23,4,2400000,0,1..3,3758,11623,0
pi5,deg2rad,LLC+BUS,24,4,2400000,0,1..3,3728,11623,0
pi5,deg2rad,LLC+BUS,25,4,2400000,0,1..3,3684,11623,0
pi5,deg2rad,LLC+BUS,26,4,2400000,0,1..3,3740,11623,0
pi5,deg2rad,LLC+BUS,27,4,2400000,0,1..3,3719,11623,0
pi5,deg2rad,LLC+BUS,28,4,2400000,0,1..3,3790,11623,0
pi5,deg2rad,LLC+BUS,29,4,2400000,0,1..3,3752,11623,0
pi5,deg2rad,LLC+BUS,30,4,2400000,0,1..3,3713,11623,0
pi5,deg2rad,LLC+BUS,31,4,2400000,0,1..3,3720,11623,0
pi5,deg2rad,LLC+BUS,32,4,2400000,0,1..3,3717,11623,0
pi5,deg2rad,LLC+BUS,33,4,2400000,0,1..3,3707,11623,0
pi5,deg2rad,LLC+BUS,34,4,2400000,0,1..3,3868,11623,1
pi5,deg2rad,LLC+BUS,35,4,2400000,0,1..3,3714,11623,0
pi5,deg2rad,LLC+BUS,36,4,2400000,0,1..3,3709,11623,0
pi5,deg2rad,LLC+BUS,37,4,2400000,0,1..3,3725,11623,0
pi5,deg2rad,LLC+BUS,38,4,2400000,0,1..3,3656,11623,0
pi5,deg2rad,LLC+BUS,39,4,2400000,0,1..3,3783,11623,0
pi5,deg2rad,LLC+BUS,40,4,2400000,0,1..3,3715,11623,0
pi5,deg2rad,LLC+BUS,41,4,2400000,0,1..3,3692,11623,0
pi5,deg2rad,LLC+BUS,42,4,2400000,0,1..3,3722,11623,0
pi5,deg2rad,LLC+BUS,43,4,2400000,0,1..3,3667,11623,0
pi5,deg2rad,LLC+BUS,44,4,2400000,0,1..3,3719,11623,0
pi5,deg2rad,LLC+BUS,45,4,2400000,0,1..3,3712,11623,0
pi5,deg2rad,LLC+BUS,46,4,2400000,0,1..3,3767,11623,0
pi5,deg2rad,LLC+BUS,47,4,2400000,0,1..3,3719,11623,0
pi5,deg2rad,LLC+BUS,48,4,2400000,0,1..3,3647,11623,0
pi5,deg2rad,LLC+BUS,49,4,2400000,0,1..3,3708,11623,0
pi5,deg2rad,LLC+BUS,50,4,2400000,0,1..3,3752,11623,0
pi5,deg2rad,LLC+BUS,51,4,2400000,0,1..3,3685,11623,0
pi5,deg2rad,LLC+BUS,52,4,2400000,0,1..3,3645,11623,0
pi5,deg2rad,LLC+BUS,53,4,2400000,0,1..3,3709,11623,0
pi5,deg2rad,LLC+BUS,54,4,2400000,0,1..3,3698,11623,0
