board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,deg2rad,LLC,0,4,2400000,0,1..3,6422,11623,2
pi5,deg2rad,LLC,1,4,2400000,0,1..3,3796,11623,1
pi5,deg2rad,LLC,2,4,2400000,0,1..3,3737,11623,0
pi5,deg2rad,LLC,3,4,2400000,0,1..3,3720,11623,0
pi5,deg2rad,LLC,4,4,2400000,0,1..3,3727,11623,0
pi5,deg2rad,LLC,5,4,2400000,0,1..3,3730,11623,0
pi5,deg2rad,LLC,6,4,2400000,0,1..3,3722,11623,0
pi5,deg2rad,LLC,7,4,2400000,0,1..3,3732,11623,0
pi5,deg2rad,LLC,8,4,2400000,0,1..3,3836,11623,1
pi5,deg2rad,LLC,9,4,2400000,0,1..3,3782,11623,0
pi5,deg2rad,LLC,10,4,2400000,0,1..3,3741,11623,0
pi5,deg2rad,LLC,11,4,2400000,0,1..3,3673,11623,0
pi5,deg2rad,LLC,12,4,2400000,0,1..3,3740,11623,1
pi5,deg2rad,LLC,13,4,2400000,0,1..3,3777,11623,1
pi5,deg2rad,LLC,14,4,2400000,0,1..3,3699,11623,0
pi5,deg2rad,LLC,15,4,2400000,0,1..3,3679,11623,0
pi5,deg2rad,LLC,16,4,2400000,0,1..3,3806,11623,0
pi5,deg2rad,LLC,17,4,2400000,0,1..3,3747,11623,0
pi5,deg2rad,LLC,18,4,2400000,0,1..3,3743,11623,0
pi5,deg2rad,LLC,19,4,2400000,0,1..3,3713,11623,0
pi5,deg2rad,LLC,20,4,2400000,0,1..3,3725,11623,0
pi5,deg2rad,LLC,21,4,2400000,0,1..3,3713,11623,0
pi5,deg2rad,LLC,22,4,2400000,0,1..3,3754,11623,0
pi5,deg2rad,LLC,23,4,2400000,0,1..3,3684,11623,0
pi5,deg2rad,LLC,24,4,2400000,0,1..3,3735,11623,0
pi5,deg2rad,LLC,25,4,2400000,0,1..3,3770,11623,0
pi5,deg2rad,LLC,26,4,2400000,0,1..3,3667,11623,0
pi5,deg2rad,LLC,27,4,2400000,0,1..3,3705,11623,0
pi5,deg2rad,LLC,28,4,2400000,0,1..3,3771,11623,0
pi5,deg2rad,LLC,29,4,2400000,0,1..3,3692,11623,0
pi5,deg2rad,LLC,30,4,2400000,0,1..3,3724,11623,0
pi5,deg2rad,LLC,31,4,2400000,0,1..3,4447,11623,1
pi5,deg2rad,LLC,32,4,2400000,0,1..3,3743,11623,0
pi5,deg2rad,LLC,33,4,2400000,0,1..3,3712,11623,0
pi5,deg2rad,LLC,34,4,2400000,0,1..3,3760,11623,0
pi5,deg2rad,LLC,35,4,2400000,0,1..3,3714,11623,0
pi5,deg2rad,LLC,36,4,2400000,0,1..3,3717,11623,0
pi5,deg2rad,LLC,37,4,2400000,0,1..3,5410,11623,0
pi5,deg2rad,LLC,38,4,2400000,0,1..3,3726,11623,0
pi5,deg2rad,LLC,39,4,2400000,0,1..3,3740,11623,1
pi5,deg2rad,LLC,40,4,2400000,0,1..3,3744,11623,0
pi5,deg2rad,LLC,41,4,2400000,0,1..3,3724,11623,0
pi5,deg2rad,LLC,42,4,2400000,0,1..3,3729,11623,0
pi5,deg2rad,LLC,43,4,2400000,0,1..3,3707,11623,0
pi5,deg2rad,LLC,44,4,2400000,0,1..3,3685,11623,0
pi5,deg2rad,LLC,45,4,2400000,0,1..3,3679,11623,0
