board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,duff,solo,0,1,2400000,0,,3804,3908,7
pi5,duff,solo,1,1,2400000,0,,1826,3908,4
pi5,duff,solo,2,1,2400000,0,,1733,3908,0
pi5,duff,solo,3,1,2400000,0,,2148,3908,0
pi5,duff,solo,4,1,2400000,0,,2018,3908,0
pi5,duff,solo,5,1,2400000,0,,1759,3908,0
pi5,duff,solo,6,1,2400000,0,,1759,3908,0
pi5,duff,solo,7,1,2400000,0,,2209,3908,0
pi5,duff,solo,8,1,2400000,0,,2279,3908,0
pi5,duff,solo,9,1,2400000,0,,2225,3908,0
pi5,duff,solo,10,1,2400000,0,,2196,3908,0
pi5,duff,solo,11,1,2400000,0,,2197,3908,0
pi5,duff,solo,12,1,2400000,0,,2197,3908,0
pi5,duff,solo,13,1,2400000,0,,2280,3908,0
pi5,duff,solo,14,1,2400000,0,,2203,3908,0
pi5,duff,solo,15,1,2400000,0,,2150,3908,0
pi5,duff,solo,16,1,2400000,0,,2231,3908,0
pi5,duff,solo,17,1,2400000,0,,2180,3908,0
pi5,duff,solo,18,1,2400000,0,,2191,3908,0
pi5,duff,solo,19,1,2400000,0,,2224,3908,0
pi5,duff,solo,20,1,2400000,0,,2275,3908,0
pi5,duff,solo,21,1,2400000,0,,2220,3908,0
pi5,duff,solo,22,1,2400000,0,,2190,3908,0
pi5,duff,solo,23,1,2400000,0,,2190,3908,0
pi5,duff,solo,24,1,2400000,0,,2190,3908,0
pi5,duff,solo,25,1,2400000,0,,2173,3908,0
pi5,duff,solo,26,1,2400000,0,,2191,3908,0
pi5,duff,solo,27,1,2400000,0,,2224,3908,0
pi5,duff,solo,28,1,2400000,0,,2224,3908,0
pi5,duff,solo,29,1,2400000,0,,2220,3908,0
pi5,duff,solo,30,1,2400000,0,,2251,3908,0
pi5,duff,solo,31,1,2400000,0,,2215,3908,0
pi5,duff,solo,32,1,2400000,0,,2215,3908,0
pi5,duff,solo,33,1,2400000,0,,2173,3908,0
pi5,duff,solo,34,1,2400000,0,,2191,3908,0
pi5,duff,solo,35,1,2400000,0,,2231,3908,0
pi5,duff,solo,36,1,2400000,0,,2377,3908,1
pi5,duff,solo,37,1,2400000,0,,2224,3908,0
pi5,duff,solo,38,1,2400000,0,,2286,3908,0
pi5,duff,solo,39,1,2400000,0,,2231,3908,0
pi5,duff,solo,40,1,2400000,0,,2224,3908,1
pi5,duff,solo,41,1,2400000,0,,2224,3908,0
pi5,duff,solo,42,1,2400000,0,,2312,3908,0
pi5,duff,solo,43,1,2400000,0,,2196,3908,0
pi5,duff,solo,44,1,2400000,0,,2211,3908,0
pi5,duff,solo,45,1,2400000,0,,2153,3908,0
pi5,duff,solo,46,1,2400000,0,,2312,3908,0
pi5,duff,solo,47,1,2400000,0,,2280,3908,0
pi5,duff,solo,48,1,2400000,0,,2174,3908,0
pi5,duff,solo,49,1,2400000,0,,2231,3908,0
pi5,duff,solo,50,1,2400000,0,,2332,3908,0
pi5,duff,solo,51,1,2400000,0,,2231,3908,0
pi5,duff,solo,52,1,2400000,0,,2286,3908,0
pi5,duff,solo,53,1,2400000,0,,2215,3908,0
pi5,duff,solo,54,1,2400000,0,,2224,3908,0
pi5,duff,solo,55,1,2400000,0,,2271,3908,0
pi5,duff,solo,56,1,2400000,0,,2284,3908,0
pi5,duff,solo,57,1,2400000,0,,2184,3908,0
pi5,duff,solo,58,1,2400000,0,,2322,3908,0
pi5,duff,solo,59,1,2400000,0,,2195,3908,0
pi5,duff,solo,60,1,2400000,0,,2185,3908,0
pi5,duff,solo,61,1,2400000,0,,2184,3908,0
pi5,duff,solo,62,1,2400000,0,,2224,3908,0
pi5,duff,solo,63,1,2400000,0,,2231,3908,0
pi5,duff,solo,64,1,2400000,0,,2185,3908,0
pi5,duff,solo,65,1,2400000,0,,2184,3908,0
pi5,duff,solo,66,1,2400000,0,,2224,3908,0
pi5,duff,solo,67,1,2400000,0,,2276,3908,0
pi5,duff,solo,68,1,2400000,0,,2224,3908,0
pi5,duff,solo,69,1,2400000,0,,2168,3908,0
pi5,duff,solo,70,1,2400000,0,,2305,3908,0
pi5,duff,solo,71,1,2400000,0,,2232,3908,0
pi5,duff,solo,72,1,2400000,0,,2267,3908,0
pi5,duff,solo,73,1,2400000,0,,2184,3908,0
pi5,duff,solo,74,1,2400000,0,,2314,3908,0
pi5,duff,solo,75,1,2400000,0,,2282,3908,0
pi5,duff,solo,76,1,2400000,0,,2267,3908,0
pi5,duff,solo,77,1,2400000,0,,2165,3908,0
pi5,duff,solo,78,1,2400000,0,,2320,3908,0
pi5,duff,solo,79,1,2400000,0,,2271,3908,0
pi5,duff,solo,80,1,2400000,0,,2224,3908,0
