board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,epic,BUS,0,4,2400000,0,1..3,1555209,4321661,520
pi5,epic,BUS,1,4,2400000,0,1..3,1544798,4321661,421
pi5,epic,BUS,2,4,2400000,0,1..3,1917680,4321661,679
pi5,epic,BUS,3,4,2400000,0,1..3,1829513,4321661,675
pi5,epic,BUS,4,4,2400000,0,1..3,1509355,4321661,221
pi5,epic,BUS,5,4,2400000,0,1..3,1732996,4321661,435
pi5,epic,BUS,6,4,2400000,0,1..3,1537789,4321661,208
pi5,epic,BUS,7,4,2400000,0,1..3,1665191,4321661,355
pi5,epic,BUS,8,4,2400000,0,1..3,1728124,4321661,468
pi5,epic,BUS,9,4,2400000,0,1..3,1582929,4321661,305
pi5,epic,BUS,10,4,2400000,0,1..3,1738678,4321661,414
pi5,epic,BUS,11,4,2400000,0,1..3,1711891,4321661,416
pi5,epic,BUS,12,4,2400000,0,1..3,1611848,4321661,403
pi5,epic,BUS,13,4,2400000,0,1..3,1744692,4321661,423
pi5,epic,BUS,14,4,2400000,0,1..3,1660712,4321661,301
pi5,epic,BUS,15,4,2400000,0,1..3,1878629,4321661,651
pi5,epic,BUS,16,4,2400000,0,1..3,1734166,4321661,384
pi5,epic,BUS,17,4,2400000,0,1..3,1559855,4321661,304
pi5,epic,BUS,18,4,2400000,0,1..3,1842551,4321661,734
pi5,epic,BUS,19,4,2400000,0,1..3,1578806,4321661,311
pi5,epic,BUS,20,4,2400000,0,1..3,1636656,4321661,331
pi5,epic,BUS,21,4,2400000,0,1..3,1689842,4321661,408
pi5,epic,BUS,22,4,2400000,0,1..3,1579978,4321661,321
pi5,epic,BUS,23,4,2400000,0,1..3,1783439,4321661,481
pi5,epic,BUS,24,4,2400000,0,1..3,1570563,4321661,197
pi5,epic,BUS,25,4,2400000,0,1..3,1775295,4321661,596
pi5,epic,BUS,26,4,2400000,0,1..3,1621730,4321661,296
pi5,epic,BUS,27,4,2400000,0,1..3,1599046,4321661,328
pi5,epic,BUS,28,4,2400000,0,1..3,1778709,4321661,524
pi5,epic,BUS,29,4,2400000,0,1..3,1569821,4321661,343
pi5,epic,BUS,30,4,2400000,0,1..3,1799238,4321661,426
pi5,epic,BUS,31,4,2400000,0,1..3,1642001,4321661,315
pi5,epic,BUS,32,4,2400000,0,1..3,1841767,4321661,601
pi5,epic,BUS,33,4,2400000,0,1..3,1631845,4321661,267
pi5,epic,BUS,34,4,2400000,0,1..3,1655525,4321661,513
pi5,epic,BUS,35,4,2400000,0,1..3,1588764,4321661,466
pi5,epic,BUS,36,4,2400000,0,1..3,1587029,4321661,405
pi5,epic,BUS,37,4,2400000,0,1..3,1916766,4321661,880
pi5,epic,BUS,38,4,2400000,0,1..3,1665272,4321661,466
pi5,epic,BUS,39,4,2400000,0,1..3,1598092,4321661,537
pi5,epic,BUS,40,4,2400000,0,1..3,1602779,4321661,462
pi5,epic,BUS,41,4,2400000,0,1..3,1607739,4321661,476
pi5,epic,BUS,42,4,2400000,0,1..3,1607779,4321661,544
pi5,epic,BUS,43,4,2400000,0,1..3,1595310,4321661,340
pi5,epic,BUS,44,4,2400000,0,1..3,1672996,4321661,652
pi5,epic,BUS,45,4,2400000,0,1..3,1597865,4321661,405
pi5,epic,BUS,46,4,2400000,0,1..3,1649516,4321661,437
pi5,epic,BUS,47,4,2400000,0,1..3,1691028,4321661,614
pi5,epic,BUS,48,4,2400000,0,1..3,1718082,4321661,520
pi5,epic,BUS,49,4,2400000,0,1..3,1719786,4321661,698
pi5,epic,BUS,50,4,2400000,0,1..3,1620563,4321661,605
pi5,epic,BUS,51,4,2400000,0,1..3,1685281,4321661,654
pi5,epic,BUS,52,4,2400000,0,1..3,1604426,4321661,446
pi5,epic,BUS,53,4,2400000,0,1..3,1657576,4321661,430
pi5,epic,BUS,54,4,2400000,0,1..3,1667219,4321661,665
pi5,epic,BUS,55,4,2400000,0,1..3,1611693,4321661,377
pi5,epic,BUS,56,4,2400000,0,1..3,1613848,4321661,614
pi5,epic,BUS,57,4,2400000,0,1..3,1640076,4321661,480
pi5,epic,BUS,58,4,2400000,0,1..3,1660379,4321661,535
pi5,epic,BUS,59,4,2400000,0,1..3,1679541,4321661,647
pi5,epic,BUS,60,4,2400000,0,1..3,1596558,4321661,371
pi5,epic,BUS,61,4,2400000,0,1..3,1695511,4321661,791
pi5,epic,BUS,62,4,2400000,0,1..3,1634211,4321661,394
pi5,epic,BUS,63,4,2400000,0,1..3,1652054,4321661,493
