board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,epic,LLC+BUS,0,4,2400000,0,1..3,1646111,4321661,642
pi5,epic,LLC+BUS,1,4,2400000,0,1..3,1677521,4321661,566
pi5,epic,LLC+BUS,2,4,2400000,0,1..3,1661096,4321661,422
pi5,epic,LLC+BUS,3,4,2400000,0,1..3,1710145,4321661,368
pi5,epic,LLC+BUS,4,4,2400000,0,1..3,1642863,4321661,348
pi5,epic,LLC+BUS,5,4,2400000,0,1..3,1677040,4321661,317
pi5,epic,LLC+BUS,6,4,2400000,0,1..3,1702348,4321661,432
pi5,epic,LLC+BUS,7,4,2400000,0,1..3,1632825,4321661,470
pi5,epic,LLC+BUS,8,4,2400000,0,1..3,1654830,4321661,405
pi5,epic,LLC+BUS,9,4,2400000,0,1..3,1701259,4321661,377
pi5,epic,LLC+BUS,10,4,2400000,0,1..3,1799589,4321661,704
pi5,epic,LLC+BUS,11,4,2400000,0,1..3,1593460,4321661,329
pi5,epic,LLC+BUS,12,4,2400000,0,1..3,1611903,4321661,339
pi5,epic,LLC+BUS,13,4,2400000,0,1..3,1756177,4321661,604
pi5,epic,LLC+BUS,14,4,2400000,0,1..3,1764806,4321661,522
pi5,epic,LLC+BUS,15,4,2400000,0,1..3,1663280,4321661,301
pi5,epic,LLC+BUS,16,4,2400000,0,1..3,1671596,4321661,389
pi5,epic,LLC+BUS,17,4,2400000,0,1..3,1684975,4321661,490
pi5,epic,LLC+BUS,18,4,2400000,0,1..3,1697682,4321661,367
pi5,epic,LLC+BUS,19,4,2400000,0,1..3,1757557,4321661,394
pi5,epic,LLC+BUS,20,4,2400000,0,1..3,1806919,4321661,730
pi5,epic,LLC+BUS,21,4,2400000,0,1..3,1702928,4321661,411
pi5,epic,LLC+BUS,22,4,2400000,0,1..3,1686611,4321661,405
pi5,epic,LLC+BUS,23,4,2400000,0,1..3,1721807,4321661,560
pi5,epic,LLC+BUS,24,4,2400000,0,1..3,1652017,4321661,381
pi5,epic,LLC+BUS,25,4,2400000,0,1..3,1654104,4321661,331
pi5,epic,LLC+BUS,26,4,2400000,0,1..3,1715334,4321661,431
pi5,epic,LLC+BUS,27,4,2400000,0,1..3,1640799,4321661,437
pi5,epic,LLC+BUS,28,4,2400000,0,1..3,1649187,4321661,327
pi5,epic,LLC+BUS,29,4,2400000,0,1..3,1628368,4321661,339
pi5,epic,LLC+BUS,30,4,2400000,0,1..3,1758726,4321661,663
pi5,epic,LLC+BUS,31,4,2400000,0,1..3,1665114,4321661,403
pi5,epic,LLC+BUS,32,4,2400000,0,1..3,1681293,4321661,347
pi5,epic,LLC+BUS,33,4,2400000,0,1..3,1702316,4321661,528
pi5,epic,LLC+BUS,34,4,2400000,0,1..3,1645836,4321661,343
pi5,epic,LLC+BUS,35,4,2400000,0,1..3,1593058,4321661,288
pi5,epic,LLC+BUS,36,4,2400000,0,1..3,1600184,4321661,338
pi5,epic,LLC+BUS,37,4,2400000,0,1..3,1814654,4321661,661
pi5,epic,LLC+BUS,38,4,2400000,0,1..3,1717211,4321661,467
pi5,epic,LLC+BUS,39,4,2400000,0,1..3,1721522,4321661,347
pi5,epic,LLC+BUS,40,4,2400000,0,1..3,1815975,4321661,726
pi5,epic,LLC+BUS,41,4,2400000,0,1..3,1643961,4321661,360
pi5,epic,LLC+BUS,42,4,2400000,0,1..3,1585911,4321661,299
pi5,epic,LLC+BUS,43,4,2400000,0,1..3,1861784,4321661,618
pi5,epic,LLC+BUS,44,4,2400000,0,1..3,1665681,4321661,445
pi5,epic,LLC+BUS,45,4,2400000,0,1..3,1701978,4321661,379
pi5,epic,LLC+BUS,46,4,2400000,0,1..3,1683045,4321661,417
pi5,epic,LLC+BUS,47,4,2400000,0,1..3,1662589,4321661,511
pi5,epic,LLC+BUS,48,4,2400000,0,1..3,1622634,4321661,328
pi5,epic,LLC+BUS,49,4,2400000,0,1..3,1655407,4321661,381
pi5,epic,LLC+BUS,50,4,2400000,0,1..3,1791112,4321661,660
pi5,epic,LLC+BUS,51,4,2400000,0,1..3,1742103,4321661,388
pi5,epic,LLC+BUS,52,4,2400000,0,1..3,1607264,4321661,333
pi5,epic,LLC+BUS,53,4,2400000,0,1..3,1788713,4321661,606
pi5,epic,LLC+BUS,54,4,2400000,0,1..3,1648221,4321661,392
pi5,epic,LLC+BUS,55,4,2400000,0,1..3,1622700,4321661,314
pi5,epic,LLC+BUS,56,4,2400000,0,1..3,1832744,4321661,507
pi5,epic,LLC+BUS,57,4,2400000,0,1..3,1785546,4321661,581
pi5,epic,LLC+BUS,58,4,2400000,0,1..3,1622068,4321661,334
pi5,epic,LLC+BUS,59,4,2400000,0,1..3,1593606,4321661,306
pi5,epic,LLC+BUS,60,4,2400000,0,1..3,1805848,4321661,664
pi5,epic,LLC+BUS,61,4,2400000,0,1..3,1664126,4321661,382
pi5,epic,LLC+BUS,62,4,2400000,0,1..3,1765310,4321661,447
pi5,epic,LLC+BUS,63,4,2400000,0,1..3,1644696,4321661,493
pi5,epic,LLC+BUS,64,4,2400000,0,1..3,1663994,4321661,422
pi5,epic,LLC+BUS,65,4,2400000,0,1..3,1603620,4321661,289
pi5,epic,LLC+BUS,66,4,2400000,0,1..3,1640289,4321661,334
pi5,epic,LLC+BUS,67,4,2400000,0,1..3,1672005,4321661,530
pi5,epic,LLC+BUS,68,4,2400000,0,1..3,1839947,4321661,560
pi5,epic,LLC+BUS,69,4,2400000,0,1..3,1658133,4321661,358
pi5,epic,LLC+BUS,70,4,2400000,0,1..3,1794797,4321661,674
pi5,epic,LLC+BUS,71,4,2400000,0,1..3,1655924,4321661,344
pi5,epic,LLC+BUS,72,4,2400000,0,1..3,1609189,4321661,304
pi5,epic,LLC+BUS,73,4,2400000,0,1..3,1790622,4321661,571
pi5,epic,LLC+BUS,74,4,2400000,0,1..3,1679568,4321661,429
pi5,epic,LLC+BUS,75,4,2400000,0,1..3,1638516,4321661,306
pi5,epic,LLC+BUS,76,4,2400000,0,1..3,1649702,4321661,324
pi5,epic,LLC+BUS,77,4,2400000,0,1..3,1703527,4321661,566
pi5,epic,LLC+BUS,78,4,2400000,0,1..3,1690317,4321661,438
pi5,epic,LLC+BUS,79,4,2400000,0,1..3,1767334,4321661,407
pi5,epic,LLC+BUS,80,4,2400000,0,1..3,1701965,4321661,626
pi5,epic,LLC+BUS,81,4,2400000,0,1..3,1705622,4321661,393
pi5,epic,LLC+BUS,82,4,2400000,0,1..3,1621581,4321661,315
pi5,epic,LLC+BUS,83,4,2400000,0,1..3,1725846,4321661,507
pi5,epic,LLC+BUS,84,4,2400000,0,1..3,1718298,4321661,513
pi5,epic,LLC+BUS,85,4,2400000,0,1..3,1742895,4321661,475
pi5,epic,LLC+BUS,86,4,2400000,0,1..3,1675941,4321661,400
pi5,epic,LLC+BUS,87,4,2400000,0,1..3,1748275,4321661,615
pi5,epic,LLC+BUS,88,4,2400000,0,1..3,1658617,4321661,334
pi5,epic,LLC+BUS,89,4,2400000,0,1..3,1652584,4321661,342
pi5,epic,LLC+BUS,90,4,2400000,0,1..3,1942754,4321661,767
pi5,epic,LLC+BUS,91,4,2400000,0,1..3,1630750,4321661,404
pi5,epic,LLC+BUS,92,4,2400000,0,1..3,1689017,4321661,363
pi5,epic,LLC+BUS,93,4,2400000,0,1..3,1719266,4321661,569
pi5,epic,LLC+BUS,94,4,2400000,0,1..3,1728067,4321661,421
pi5,epic,LLC+BUS,95,4,2400000,0,1..3,1717013,4321661,377
