board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,fft,BUS,0,4,2400000,0,1..3,381519,772322,332
pi5,fft,BUS,1,4,2400000,0,1..3,388979,772322,251
pi5,fft,BUS,2,4,2400000,0,1..3,377144,772322,62
pi5,fft,BUS,3,4,2400000,0,1..3,497545,772322,97
pi5,fft,BUS,4,4,2400000,0,1..3,450283,772322,152
pi5,fft,BUS,5,4,2400000,0,1..3,393041,772322,103
pi5,fft,BUS,6,4,2400000,0,1..3,395320,772322,59
pi5,fft,BUS,7,4,2400000,0,1..3,358832,772322,27
pi5,fft,BUS,8,4,2400000,0,1..3,367440,772322,47
pi5,fft,BUS,9,4,2400000,0,1..3,356262,772322,62
pi5,fft,BUS,10,4,2400000,0,1..3,361368,772322,53
pi5,fft,BUS,11,4,2400000,0,1..3,427827,772322,61
pi5,fft,BUS,12,4,2400000,0,1..3,418618,772322,103
pi5,fft,BUS,13,4,2400000,0,1..3,403965,772322,68
pi5,fft,BUS,14,4,2400000,0,1..3,437112,772322,312
pi5,fft,BUS,15,4,2400000,0,1..3,455467,772322,163
pi5,fft,BUS,16,4,2400000,0,1..3,411025,772322,96
pi5,fft,BUS,17,4,2400000,0,1..3,358804,772322,67
pi5,fft,BUS,18,4,2400000,0,1..3,353689,772322,34
pi5,fft,BUS,19,4,2400000,0,1..3,365494,772322,44
pi5,fft,BUS,20,4,2400000,0,1..3,389505,772322,44
pi5,fft,BUS,21,4,2400000,0,1..3,428243,772322,70
pi5,fft,BUS,22,4,2400000,0,1..3,406380,772322,131
pi5,fft,BUS,23,4,2400000,0,1..3,389196,772322,92
pi5,fft,BUS,24,4,2400000,0,1..3,358414,772322,51
pi5,fft,BUS,25,4,2400000,0,1..3,348282,772322,6
pi5,fft,BUS,26,4,2400000,0,1..3,362621,772322,42
pi5,fft,BUS,27,4,2400000,0,1..3,460654,772322,300
pi5,fft,BUS,28,4,2400000,0,1..3,417685,772322,132
pi5,fft,BUS,29,4,2400000,0,1..3,403298,772322,59
pi5,fft,BUS,30,4,2400000,0,1..3,402307,772322,58
pi5,fft,BUS,31,4,2400000,0,1..3,392880,772322,96
pi5,fft,BUS,32,4,2400000,0,1..3,368364,772322,44
pi5,fft,BUS,33,4,2400000,0,1..3,371814,772322,28
pi5,fft,BUS,34,4,2400000,0,1..3,411410,772322,62
pi5,fft,BUS,35,4,2400000,0,1..3,399690,772322,69
pi5,fft,BUS,36,4,2400000,0,1..3,383980,772322,93
pi5,fft,BUS,37,4,2400000,0,1..3,386151,772322,47
pi5,fft,BUS,38,4,2400000,0,1..3,381440,772322,56
pi5,fft,BUS,39,4,2400000,0,1..3,367302,772322,32
pi5,fft,BUS,40,4,2400000,0,1..3,418976,772322,95
pi5,fft,BUS,41,4,2400000,0,1..3,497681,772322,269
pi5,fft,BUS,42,4,2400000,0,1..3,407116,772322,114
pi5,fft,BUS,43,4,2400000,0,1..3,378322,772322,63
pi5,fft,BUS,44,4,2400000,0,1..3,356250,772322,45
pi5,fft,BUS,45,4,2400000,0,1..3,349132,772322,32
pi5,fft,BUS,46,4,2400000,0,1..3,377671,772322,44
pi5,fft,BUS,47,4,2400000,0,1..3,386009,772322,52
pi5,fft,BUS,48,4,2400000,0,1..3,479267,772322,111
pi5,fft,BUS,49,4,2400000,0,1..3,463622,772322,163
pi5,fft,BUS,50,4,2400000,0,1..3,368166,772322,74
pi5,fft,BUS,51,4,2400000,0,1..3,357482,772322,25
pi5,fft,BUS,52,4,2400000,0,1..3,350306,772322,3
pi5,fft,BUS,53,4,2400000,0,1..3,360010,772322,18
pi5,fft,BUS,54,4,2400000,0,1..3,391754,772322,272
pi5,fft,BUS,55,4,2400000,0,1..3,409853,772322,71
pi5,fft,BUS,56,4,2400000,0,1..3,458843,772322,121
pi5,fft,BUS,57,4,2400000,0,1..3,441326,772322,143
pi5,fft,BUS,58,4,2400000,0,1..3,394872,772322,94
pi5,fft,BUS,59,4,2400000,0,1..3,350491,772322,13
pi5,fft,BUS,60,4,2400000,0,1..3,357136,772322,10
pi5,fft,BUS,61,4,2400000,0,1..3,373544,772322,43
pi5,fft,BUS,62,4,2400000,0,1..3,398536,772322,71
pi5,fft,BUS,63,4,2400000,0,1..3,458962,772322,128
pi5,fft,BUS,64,4,2400000,0,1..3,448944,772322,106
pi5,fft,BUS,65,4,2400000,0,1..3,395243,772322,60
pi5,fft,BUS,66,4,2400000,0,1..3,369207,772322,33
pi5,fft,BUS,67,4,2400000,0,1..3,402332,772322,272
pi5,fft,BUS,68,4,2400000,0,1..3,370442,772322,46
pi5,fft,BUS,69,4,2400000,0,1..3,367696,772322,26
pi5,fft,BUS,70,4,2400000,0,1..3,386620,772322,33
pi5,fft,BUS,71,4,2400000,0,1..3,408743,772322,89
pi5,fft,BUS,72,4,2400000,0,1..3,396972,772322,91
pi5,fft,BUS,73,4,2400000,0,1..3,385962,772322,43
pi5,fft,BUS,74,4,2400000,0,1..3,405703,772322,72
pi5,fft,BUS,75,4,2400000,0,1..3,379370,772322,56
pi5,fft,BUS,76,4,2400000,0,1..3,364132,772322,82
pi5,fft,BUS,77,4,2400000,0,1..3,370416,772322,46
pi5,fft,BUS,78,4,2400000,0,1..3,365475,772322,27
