board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,fft,Mix,0,4,2400000,0,1..3,449251,772322,375
pi5,fft,Mix,1,4,2400000,0,1..3,382351,772322,262
pi5,fft,Mix,2,4,2400000,0,1..3,373408,772322,67
pi5,fft,Mix,3,4,2400000,0,1..3,390809,772322,85
pi5,fft,Mix,4,4,2400000,0,1..3,386618,772322,71
pi5,fft,Mix,5,4,2400000,0,1..3,359194,772322,39
pi5,fft,Mix,6,4,2400000,0,1..3,412143,772322,131
pi5,fft,Mix,7,4,2400000,0,1..3,399768,772322,105
pi5,fft,Mix,8,4,2400000,0,1..3,474935,772322,198
pi5,fft,Mix,9,4,2400000,0,1..3,461031,772322,270
pi5,fft,Mix,10,4,2400000,0,1..3,391774,772322,125
pi5,fft,Mix,11,4,2400000,0,1..3,371705,772322,119
pi5,fft,Mix,12,4,2400000,0,1..3,367153,772322,72
pi5,fft,Mix,13,4,2400000,0,1..3,418514,772322,99
pi5,fft,Mix,14,4,2400000,0,1..3,417012,772322,138
pi5,fft,Mix,15,4,2400000,0,1..3,430578,772322,118
pi5,fft,Mix,16,4,2400000,0,1..3,433477,772322,159
pi5,fft,Mix,17,4,2400000,0,1..3,395705,772322,204
pi5,fft,Mix,18,4,2400000,0,1..3,367225,772322,56
pi5,fft,Mix,19,4,2400000,0,1..3,388255,772322,84
pi5,fft,Mix,20,4,2400000,0,1..3,361784,772322,66
pi5,fft,Mix,21,4,2400000,0,1..3,428782,772322,100
pi5,fft,Mix,22,4,2400000,0,1..3,433492,772322,128
pi5,fft,Mix,23,4,2400000,0,1..3,378366,772322,97
pi5,fft,Mix,24,4,2400000,0,1..3,408497,772322,99
pi5,fft,Mix,25,4,2400000,0,1..3,450762,772322,236
pi5,fft,Mix,26,4,2400000,0,1..3,443906,772322,134
pi5,fft,Mix,27,4,2400000,0,1..3,384695,772322,54
pi5,fft,Mix,28,4,2400000,0,1..3,385810,772322,50
pi5,fft,Mix,29,4,2400000,0,1..3,384902,772322,80
pi5,fft,Mix,30,4,2400000,0,1..3,417285,772322,74
pi5,fft,Mix,31,4,2400000,0,1..3,447459,772322,84
pi5,fft,Mix,32,4,2400000,0,1..3,441950,772322,82
pi5,fft,Mix,33,4,2400000,0,1..3,449215,772322,136
pi5,fft,Mix,34,4,2400000,0,1..3,436699,772322,99
pi5,fft,Mix,35,4,2400000,0,1..3,415100,772322,75
pi5,fft,Mix,36,4,2400000,0,1..3,385637,772322,53
pi5,fft,Mix,37,4,2400000,0,1..3,465554,772322,293
pi5,fft,Mix,38,4,2400000,0,1..3,397938,772322,78
pi5,fft,Mix,39,4,2400000,0,1..3,411482,772322,76
pi5,fft,Mix,40,4,2400000,0,1..3,381639,772322,51
pi5,fft,Mix,41,4,2400000,0,1..3,398962,772322,94
pi5,fft,Mix,42,4,2400000,0,1..3,422780,772322,74
pi5,fft,Mix,43,4,2400000,0,1..3,448134,772322,86
pi5,fft,Mix,44,4,2400000,0,1..3,443405,772322,82
pi5,fft,Mix,45,4,2400000,0,1..3,445929,772322,118
pi5,fft,Mix,46,4,2400000,0,1..3,387883,772322,63
pi5,fft,Mix,47,4,2400000,0,1..3,356336,772322,32
pi5,fft,Mix,48,4,2400000,0,1..3,392385,772322,59
pi5,fft,Mix,49,4,2400000,0,1..3,462284,772322,291
pi5,fft,Mix,50,4,2400000,0,1..3,496437,772322,168
pi5,fft,Mix,51,4,2400000,0,1..3,427599,772322,132
pi5,fft,Mix,52,4,2400000,0,1..3,452871,772322,138
pi5,fft,Mix,53,4,2400000,0,1..3,410866,772322,89
pi5,fft,Mix,54,4,2400000,0,1..3,393649,772322,58
pi5,fft,Mix,55,4,2400000,0,1..3,376254,772322,44
pi5,fft,Mix,56,4,2400000,0,1..3,368107,772322,28
pi5,fft,Mix,57,4,2400000,0,1..3,368681,772322,77
pi5,fft,Mix,58,4,2400000,0,1..3,352764,772322,30
pi5,fft,Mix,59,4,2400000,0,1..3,399061,772322,61
pi5,fft,Mix,60,4,2400000,0,1..3,388496,772322,52
pi5,fft,Mix,61,4,2400000,0,1..3,521871,772322,300
pi5,fft,Mix,62,4,2400000,0,1..3,432533,772322,165
pi5,fft,Mix,63,4,2400000,0,1..3,461243,772322,103
pi5,fft,Mix,64,4,2400000,0,1..3,399896,772322,84
pi5,fft,Mix,65,4,2400000,0,1..3,402867,772322,88
pi5,fft,Mix,66,4,2400000,0,1..3,366158,772322,49
pi5,fft,Mix,67,4,2400000,0,1..3,372062,772322,34
pi5,fft,Mix,68,4,2400000,0,1..3,390881,772322,49
pi5,fft,Mix,69,4,2400000,0,1..3,370907,772322,72
pi5,fft,Mix,70,4,2400000,0,1..3,399193,772322,54
pi5,fft,Mix,71,4,2400000,0,1..3,461511,772322,89
pi5,fft,Mix,72,4,2400000,0,1..3,409638,772322,79
pi5,fft,Mix,73,4,2400000,0,1..3,511933,772322,290
pi5,fft,Mix,74,4,2400000,0,1..3,424842,772322,133
pi5,fft,Mix,75,4,2400000,0,1..3,404778,772322,66
pi5,fft,Mix,76,4,2400000,0,1..3,410651,772322,70
pi5,fft,Mix,77,4,2400000,0,1..3,389751,772322,88
pi5,fft,Mix,78,4,2400000,0,1..3,386020,772322,46
pi5,fft,Mix,79,4,2400000,0,1..3,376672,772322,35
pi5,fft,Mix,80,4,2400000,0,1..3,389156,772322,47
pi5,fft,Mix,81,4,2400000,0,1..3,371934,772322,63
pi5,fft,Mix,82,4,2400000,0,1..3,426380,772322,92
pi5,fft,Mix,83,4,2400000,0,1..3,453452,772322,95
pi5,fft,Mix,84,4,2400000,0,1..3,433103,772322,90
pi5,fft,Mix,85,4,2400000,0,1..3,492120,772322,301
pi5,fft,Mix,86,4,2400000,0,1..3,428733,772322,116
pi5,fft,Mix,87,4,2400000,0,1..3,386059,772322,54
pi5,fft,Mix,88,4,2400000,0,1..3,383855,772322,62
pi5,fft,Mix,89,4,2400000,0,1..3,389638,772322,86
pi5,fft,Mix,90,4,2400000,0,1..3,360805,772322,37
pi5,fft,Mix,91,4,2400000,0,1..3,408266,772322,65
pi5,fft,Mix,92,4,2400000,0,1..3,443321,772322,95
pi5,fft,Mix,93,4,2400000,0,1..3,380406,772322,91
pi5,fft,Mix,94,4,2400000,0,1..3,372032,772322,59
pi5,fft,Mix,95,4,2400000,0,1..3,394691,772322,71
pi5,fft,Mix,96,4,2400000,0,1..3,445471,772322,115
pi5,fft,Mix,97,4,2400000,0,1..3,396812,772322,85
pi5,fft,Mix,98,4,2400000,0,1..3,427164,772322,293
pi5,fft,Mix,99,4,2400000,0,1..3,390950,772322,65
pi5,fft,Mix,100,4,2400000,0,1..3,363863,772322,38
pi5,fft,Mix,101,4,2400000,0,1..3,411122,772322,67
pi5,fft,Mix,102,4,2400000,0,1..3,430962,772322,110
pi5,fft,Mix,103,4,2400000,0,1..3,389079,772322,64
pi5,fft,Mix,104,4,2400000,0,1..3,451944,772322,113
pi5,fft,Mix,105,4,2400000,0,1..3,405570,772322,96
pi5,fft,Mix,106,4,2400000,0,1..3,450472,772322,102
pi5,fft,Mix,107,4,2400000,0,1..3,421546,772322,64
pi5,fft,Mix,108,4,2400000,0,1..3,395986,772322,74
pi5,fft,Mix,109,4,2400000,0,1..3,439971,772322,258
pi5,fft,Mix,110,4,2400000,0,1..3,384146,772322,94
pi5,fft,Mix,111,4,2400000,0,1..3,364894,772322,43
pi5,fft,Mix,112,4,2400000,0,1..3,449294,772322,86
pi5,fft,Mix,113,4,2400000,0,1..3,449554,772322,138
pi5,fft,Mix,114,4,2400000,0,1..3,486456,772322,120
pi5,fft,Mix,115,4,2400000,0,1..3,452222,772322,125
pi5,fft,Mix,116,4,2400000,0,1..3,419763,772322,92
pi5,fft,Mix,117,4,2400000,0,1..3,403354,772322,83
