board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,filterbank,LLC+MEM,0,4,2400000,0,1..3,3279830,10606432,247
pi5,filterbank,LLC+MEM,1,4,2400000,0,1..3,3305144,10606432,278
pi5,filterbank,LLC+MEM,2,4,2400000,0,1..3,3302374,10606432,268
pi5,filterbank,LLC+MEM,3,4,2400000,0,1..3,3304590,10606432,225
pi5,filterbank,LLC+MEM,4,4,2400000,0,1..3,3438725,10606432,291
pi5,filterbank,LLC+MEM,5,4,2400000,0,1..3,3435357,10606432,196
pi5,filterbank,LLC+MEM,6,4,2400000,0,1..3,3380694,10606432,209
pi5,filterbank,LLC+MEM,7,4,2400000,0,1..3,3451429,10606432,234
pi5,filterbank,LLC+MEM,8,4,2400000,0,1..3,3309225,10606432,220
pi5,filterbank,LLC+MEM,9,4,2400000,0,1..3,3442027,10606432,239
pi5,filterbank,LLC+MEM,10,4,2400000,0,1..3,3457062,10606432,233
pi5,filterbank,LLC+MEM,11,4,2400000,0,1..3,3447054,10606432,246
pi5,filterbank,LLC+MEM,12,4,2400000,0,1..3,3475011,10606432,186
pi5,filterbank,LLC+MEM,13,4,2400000,0,1..3,3620019,10606432,233
pi5,filterbank,LLC+MEM,14,4,2400000,0,1..3,3602512,10606432,192
pi5,filterbank,LLC+MEM,15,4,2400000,0,1..3,3596646,10606432,243
pi5,filterbank,LLC+MEM,16,4,2400000,0,1..3,3487746,10606432,223
pi5,filterbank,LLC+MEM,17,4,2400000,0,1..3,3499031,10606432,172
pi5,filterbank,LLC+MEM,18,4,2400000,0,1..3,3572343,10606432,198
pi5,filterbank,LLC+MEM,19,4,2400000,0,1..3,3286433,10606432,123
pi5,filterbank,LLC+MEM,20,4,2400000,0,1..3,3273432,10606432,159
pi5,filterbank,LLC+MEM,21,4,2400000,0,1..3,3406195,10606432,122
pi5,filterbank,LLC+MEM,22,4,2400000,0,1..3,3586008,10606432,193
pi5,filterbank,LLC+MEM,23,4,2400000,0,1..3,3706521,10606432,188
pi5,filterbank,LLC+MEM,24,4,2400000,0,1..3,3474156,10606432,116
pi5,filterbank,LLC+MEM,25,4,2400000,0,1..3,3525154,10606432,190
pi5,filterbank,LLC+MEM,26,4,2400000,0,1..3,3591935,10606432,218
pi5,filterbank,LLC+MEM,27,4,2400000,0,1..3,3515482,10606432,142
pi5,filterbank,LLC+MEM,28,4,2400000,0,1..3,3487421,10606432,148
pi5,filterbank,LLC+MEM,29,4,2400000,0,1..3,3519365,10606432,188
pi5,filterbank,LLC+MEM,30,4,2400000,0,1..3,3494405,10606432,135
pi5,filterbank,LLC+MEM,31,4,2400000,0,1..3,3553301,10606432,187
pi5,filterbank,LLC+MEM,32,4,2400000,0,1..3,3469970,10606432,133
pi5,filterbank,LLC+MEM,33,4,2400000,0,1..3,3377490,10606432,71
pi5,filterbank,LLC+MEM,34,4,2400000,0,1..3,3404894,10606432,83
pi5,filterbank,LLC+MEM,35,4,2400000,0,1..3,3383727,10606432,66
pi5,filterbank,LLC+MEM,36,4,2400000,0,1..3,3421194,10606432,103
pi5,filterbank,LLC+MEM,37,4,2400000,0,1..3,3367293,10606432,164
pi5,filterbank,LLC+MEM,38,4,2400000,0,1..3,3188076,10606432,87
pi5,filterbank,LLC+MEM,39,4,2400000,0,1..3,3290653,10606432,64
pi5,filterbank,LLC+MEM,40,4,2400000,0,1..3,3457147,10606432,119
pi5,filterbank,LLC+MEM,41,4,2400000,0,1..3,3377406,10606432,103
pi5,filterbank,LLC+MEM,42,4,2400000,0,1..3,3338984,10606432,55
pi5,filterbank,LLC+MEM,43,4,2400000,0,1..3,3345865,10606432,59
pi5,filterbank,LLC+MEM,44,4,2400000,0,1..3,3440974,10606432,111
pi5,filterbank,LLC+MEM,45,4,2400000,0,1..3,3386378,10606432,90
pi5,filterbank,LLC+MEM,46,4,2400000,0,1..3,3339065,10606432,61
pi5,filterbank,LLC+MEM,47,4,2400000,0,1..3,3638928,10606432,139
pi5,filterbank,LLC+MEM,48,4,2400000,0,1..3,3500066,10606432,101
pi5,filterbank,LLC+MEM,49,4,2400000,0,1..3,3440829,10606432,62
pi5,filterbank,LLC+MEM,50,4,2400000,0,1..3,3371051,10606432,60
pi5,filterbank,LLC+MEM,51,4,2400000,0,1..3,3585026,10606432,116
pi5,filterbank,LLC+MEM,52,4,2400000,0,1..3,3596065,10606432,88
pi5,filterbank,LLC+MEM,53,4,2400000,0,1..3,3531166,10606432,52
