board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,filterbank,Mix,0,4,2400000,0,1..3,3279427,10606432,238
pi5,filterbank,Mix,1,4,2400000,0,1..3,3303119,10606432,185
pi5,filterbank,Mix,2,4,2400000,0,1..3,3486047,10606432,191
pi5,filterbank,Mix,3,4,2400000,0,1..3,3641126,10606432,239
pi5,filterbank,Mix,4,4,2400000,0,1..3,3588329,10606432,213
pi5,filterbank,Mix,5,4,2400000,0,1..3,3564799,10606432,210
pi5,filterbank,Mix,6,4,2400000,0,1..3,3542950,10606432,148
pi5,filterbank,Mix,7,4,2400000,0,1..3,3344911,10606432,214
pi5,filterbank,Mix,8,4,2400000,0,1..3,3252900,10606432,192
pi5,filterbank,Mix,9,4,2400000,0,1..3,3278819,10606432,246
pi5,filterbank,Mix,10,4,2400000,0,1..3,3271875,10606432,197
pi5,filterbank,Mix,11,4,2400000,0,1..3,3295766,10606432,245
pi5,filterbank,Mix,12,4,2400000,0,1..3,3559361,10606432,314
pi5,filterbank,Mix,13,4,2400000,0,1..3,3479584,10606432,267
pi5,filterbank,Mix,14,4,2400000,0,1..3,3445737,10606432,249
pi5,filterbank,Mix,15,4,2400000,0,1..3,3453824,10606432,225
pi5,filterbank,Mix,16,4,2400000,0,1..3,3514670,10606432,259
pi5,filterbank,Mix,17,4,2400000,0,1..3,3448375,10606432,214
pi5,filterbank,Mix,18,4,2400000,0,1..3,3502590,10606432,242
pi5,filterbank,Mix,19,4,2400000,0,1..3,3261054,10606432,249
pi5,filterbank,Mix,20,4,2400000,0,1..3,3334165,10606432,285
pi5,filterbank,Mix,21,4,2400000,0,1..3,3309015,10606432,285
pi5,filterbank,Mix,22,4,2400000,0,1..3,3215292,10606432,232
pi5,filterbank,Mix,23,4,2400000,0,1..3,3257724,10606432,219
pi5,filterbank,Mix,24,4,2400000,0,1..3,3261484,10606432,189
pi5,filterbank,Mix,25,4,2400000,0,1..3,3241065,10606432,200
pi5,filterbank,Mix,26,4,2400000,0,1..3,3271599,10606432,241
pi5,filterbank,Mix,27,4,2400000,0,1..3,3314941,10606432,283
pi5,filterbank,Mix,28,4,2400000,0,1..3,3343898,10606432,282
pi5,filterbank,Mix,29,4,2400000,0,1..3,3341364,10606432,166
pi5,filterbank,Mix,30,4,2400000,0,1..3,3434722,10606432,225
pi5,filterbank,Mix,31,4,2400000,0,1..3,3436016,10606432,155
pi5,filterbank,Mix,32,4,2400000,0,1..3,3501601,10606432,204
pi5,filterbank,Mix,33,4,2400000,0,1..3,3506467,10606432,183
pi5,filterbank,Mix,34,4,2400000,0,1..3,3391644,10606432,87
pi5,filterbank,Mix,35,4,2400000,0,1..3,3510459,10606432,187
pi5,filterbank,Mix,36,4,2400000,0,1..3,3496096,10606432,137
pi5,filterbank,Mix,37,4,2400000,0,1..3,3483717,10606432,192
pi5,filterbank,Mix,38,4,2400000,0,1..3,3397344,10606432,229
pi5,filterbank,Mix,39,4,2400000,0,1..3,3446325,10606432,182
pi5,filterbank,Mix,40,4,2400000,0,1..3,3175453,10606432,75
pi5,filterbank,Mix,41,4,2400000,0,1..3,3207465,10606432,85
pi5,filterbank,Mix,42,4,2400000,0,1..3,3242271,10606432,105
pi5,filterbank,Mix,43,4,2400000,0,1..3,3297911,10606432,135
pi5,filterbank,Mix,44,4,2400000,0,1..3,3204762,10606432,100
pi5,filterbank,Mix,45,4,2400000,0,1..3,3199404,10606432,116
pi5,filterbank,Mix,46,4,2400000,0,1..3,3142861,10606432,76
pi5,filterbank,Mix,47,4,2400000,0,1..3,3221938,10606432,140
pi5,filterbank,Mix,48,4,2400000,0,1..3,3203992,10606432,151
pi5,filterbank,Mix,49,4,2400000,0,1..3,3170902,10606432,122
pi5,filterbank,Mix,50,4,2400000,0,1..3,3146665,10606432,77
pi5,filterbank,Mix,51,4,2400000,0,1..3,3247224,10606432,135
pi5,filterbank,Mix,52,4,2400000,0,1..3,3240196,10606432,142
pi5,filterbank,Mix,53,4,2400000,0,1..3,3131251,10606432,80
pi5,filterbank,Mix,54,4,2400000,0,1..3,3139598,10606432,80
pi5,filterbank,Mix,55,4,2400000,0,1..3,3321905,10606432,141
pi5,filterbank,Mix,56,4,2400000,0,1..3,3357212,10606432,100
pi5,filterbank,Mix,57,4,2400000,0,1..3,3333810,10606432,117
pi5,filterbank,Mix,58,4,2400000,0,1..3,3557365,10606432,121
pi5,filterbank,Mix,59,4,2400000,0,1..3,3629440,10606432,121
pi5,filterbank,Mix,60,4,2400000,0,1..3,3604366,10606432,124
pi5,filterbank,Mix,61,4,2400000,0,1..3,3580948,10606432,100
pi5,filterbank,Mix,62,4,2400000,0,1..3,3472827,10606432,129
pi5,filterbank,Mix,63,4,2400000,0,1..3,3477035,10606432,160
pi5,filterbank,Mix,64,4,2400000,0,1..3,3342759,10606432,83
pi5,filterbank,Mix,65,4,2400000,0,1..3,3437034,10606432,130
pi5,filterbank,Mix,66,4,2400000,0,1..3,3665544,10606432,134
pi5,filterbank,Mix,67,4,2400000,0,1..3,3596410,10606432,116
pi5,filterbank,Mix,68,4,2400000,0,1..3,3557679,10606432,108
pi5,filterbank,Mix,69,4,2400000,0,1..3,3664886,10606432,173
pi5,filterbank,Mix,70,4,2400000,0,1..3,3592767,10606432,132
pi5,filterbank,Mix,71,4,2400000,0,1..3,3556514,10606432,109
pi5,filterbank,Mix,72,4,2400000,0,1..3,3635159,10606432,142
pi5,filterbank,Mix,73,4,2400000,0,1..3,3445026,10606432,124
pi5,filterbank,Mix,74,4,2400000,0,1..3,3384813,10606432,103
