board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,g723_enc,LLC+MEM,0,4,2400000,0,1..3,386592,847630,41
pi5,g723_enc,LLC+MEM,1,4,2400000,0,1..3,381392,847630,36
pi5,g723_enc,LLC+MEM,2,4,2400000,0,1..3,352948,848730,10
pi5,g723_enc,LLC+MEM,3,4,2400000,0,1..3,337525,847630,5
pi5,g723_enc,LLC+MEM,4,4,2400000,0,1..3,343040,851557,11
pi5,g723_enc,LLC+MEM,5,4,2400000,0,1..3,335817,847630,6
pi5,g723_enc,LLC+MEM,6,4,2400000,0,1..3,336089,847630,4
pi5,g723_enc,LLC+MEM,7,4,2400000,0,1..3,331798,848851,5
pi5,g723_enc,LLC+MEM,8,4,2400000,0,1..3,329564,847630,2
pi5,g723_enc,LLC+MEM,9,4,2400000,0,1..3,329727,848851,4
pi5,g723_enc,LLC+MEM,10,4,2400000,0,1..3,323212,847630,1
pi5,g723_enc,LLC+MEM,11,4,2400000,0,1..3,416409,849302,45
pi5,g723_enc,LLC+MEM,12,4,2400000,0,1..3,361753,847630,6
pi5,g723_enc,LLC+MEM,13,4,2400000,0,1..3,348041,847630,3
pi5,g723_enc,LLC+MEM,14,4,2400000,0,1..3,341180,848851,9
pi5,g723_enc,LLC+MEM,15,4,2400000,0,1..3,330614,847630,6
pi5,g723_enc,LLC+MEM,16,4,2400000,0,1..3,334605,848851,6
pi5,g723_enc,LLC+MEM,17,4,2400000,0,1..3,331841,847630,2
pi5,g723_enc,LLC+MEM,18,4,2400000,0,1..3,335990,849302,5
pi5,g723_enc,LLC+MEM,19,4,2400000,0,1..3,331029,847630,3
pi5,g723_enc,LLC+MEM,20,4,2400000,0,1..3,337383,847630,6
pi5,g723_enc,LLC+MEM,21,4,2400000,0,1..3,332777,848851,4
pi5,g723_enc,LLC+MEM,22,4,2400000,0,1..3,349857,847630,13
pi5,g723_enc,LLC+MEM,23,4,2400000,0,1..3,356123,848851,11
pi5,g723_enc,LLC+MEM,24,4,2400000,0,1..3,402261,847630,40
pi5,g723_enc,LLC+MEM,25,4,2400000,0,1..3,337079,849302,5
pi5,g723_enc,LLC+MEM,26,4,2400000,0,1..3,336962,847630,4
pi5,g723_enc,LLC+MEM,27,4,2400000,0,1..3,344076,847630,11
pi5,g723_enc,LLC+MEM,28,4,2400000,0,1..3,346529,848851,8
pi5,g723_enc,LLC+MEM,29,4,2400000,0,1..3,341366,847630,5
pi5,g723_enc,LLC+MEM,30,4,2400000,0,1..3,343266,848851,10
pi5,g723_enc,LLC+MEM,31,4,2400000,0,1..3,341663,847630,4
pi5,g723_enc,LLC+MEM,32,4,2400000,0,1..3,345295,849302,6
pi5,g723_enc,LLC+MEM,33,4,2400000,0,1..3,346809,847630,7
pi5,g723_enc,LLC+MEM,34,4,2400000,0,1..3,328070,847630,2
pi5,g723_enc,LLC+MEM,35,4,2400000,0,1..3,336704,848851,8
pi5,g723_enc,LLC+MEM,36,4,2400000,0,1..3,394696,847630,36
pi5,g723_enc,LLC+MEM,37,4,2400000,0,1..3,346253,848851,12
pi5,g723_enc,LLC+MEM,38,4,2400000,0,1..3,328658,847630,5
pi5,g723_enc,LLC+MEM,39,4,2400000,0,1..3,330360,849302,5
pi5,g723_enc,LLC+MEM,40,4,2400000,0,1..3,328012,847630,2
