board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,gsm_dec,LLC,0,4,2400000,0,1..3,1889686,2783612,176
pi5,gsm_dec,LLC,1,4,2400000,0,1..3,1880729,2783618,178
pi5,gsm_dec,LLC,2,4,2400000,0,1..3,1877298,2783668,130
pi5,gsm_dec,LLC,3,4,2400000,0,1..3,1858092,2783752,108
pi5,gsm_dec,LLC,4,4,2400000,0,1..3,1888523,2783816,152
pi5,gsm_dec,LLC,5,4,2400000,0,1..3,1920608,2783880,132
pi5,gsm_dec,LLC,6,4,2400000,0,1..3,1844488,2783930,108
pi5,gsm_dec,LLC,7,4,2400000,0,1..3,2023803,2783964,133
pi5,gsm_dec,LLC,8,4,2400000,0,1..3,1967905,2784006,151
pi5,gsm_dec,LLC,9,4,2400000,0,1..3,1855316,2784021,105
pi5,gsm_dec,LLC,10,4,2400000,0,1..3,1983886,2784029,176
pi5,gsm_dec,LLC,11,4,2400000,0,1..3,1938503,2784034,142
pi5,gsm_dec,LLC,12,4,2400000,0,1..3,1903435,2784038,171
pi5,gsm_dec,LLC,13,4,2400000,0,1..3,1959462,2784038,125
pi5,gsm_dec,LLC,14,4,2400000,0,1..3,1845458,2784038,114
pi5,gsm_dec,LLC,15,4,2400000,0,1..3,1893662,2784038,104
pi5,gsm_dec,LLC,16,4,2400000,0,1..3,1815527,2784038,111
pi5,gsm_dec,LLC,17,4,2400000,0,1..3,1829897,2784038,110
pi5,gsm_dec,LLC,18,4,2400000,0,1..3,1984304,2784038,154
pi5,gsm_dec,LLC,19,4,2400000,0,1..3,1858300,2784038,106
pi5,gsm_dec,LLC,20,4,2400000,0,1..3,2054141,2784038,146
pi5,gsm_dec,LLC,21,4,2400000,0,1..3,1849020,2784038,139
pi5,gsm_dec,LLC,22,4,2400000,0,1..3,1927405,2784038,97
pi5,gsm_dec,LLC,23,4,2400000,0,1..3,1976296,2784038,176
pi5,gsm_dec,LLC,24,4,2400000,0,1..3,1884321,2784038,128
pi5,gsm_dec,LLC,25,4,2400000,0,1..3,1928119,2784038,117
pi5,gsm_dec,LLC,26,4,2400000,0,1..3,1865876,2784038,133
pi5,gsm_dec,LLC,27,4,2400000,0,1..3,1842090,2784038,128
pi5,gsm_dec,LLC,28,4,2400000,0,1..3,1786856,2784038,108
pi5,gsm_dec,LLC,29,4,2400000,0,1..3,1917777,2784038,122
pi5,gsm_dec,LLC,30,4,2400000,0,1..3,1874318,2784038,146
pi5,gsm_dec,LLC,31,4,2400000,0,1..3,1874982,2784038,114
pi5,gsm_dec,LLC,32,4,2400000,0,1..3,2064100,2784038,134
pi5,gsm_dec,LLC,33,4,2400000,0,1..3,1880059,2784038,160
pi5,gsm_dec,LLC,34,4,2400000,0,1..3,1983482,2784038,130
pi5,gsm_dec,LLC,35,4,2400000,0,1..3,1898432,2784038,170
pi5,gsm_dec,LLC,36,4,2400000,0,1..3,1956372,2784038,110
pi5,gsm_dec,LLC,37,4,2400000,0,1..3,1881936,2784038,160
pi5,gsm_dec,LLC,38,4,2400000,0,1..3,1901358,2784038,129
pi5,gsm_dec,LLC,39,4,2400000,0,1..3,1972373,2784038,158
pi5,gsm_dec,LLC,40,4,2400000,0,1..3,1867751,2784038,145
pi5,gsm_dec,LLC,41,4,2400000,0,1..3,1832738,2784038,123
pi5,gsm_dec,LLC,42,4,2400000,0,1..3,1921086,2784038,145
pi5,gsm_dec,LLC,43,4,2400000,0,1..3,1962874,2784038,145
pi5,gsm_dec,LLC,44,4,2400000,0,1..3,1864392,2784038,148
pi5,gsm_dec,LLC,45,4,2400000,0,1..3,1936656,2784038,140
pi5,gsm_dec,LLC,46,4,2400000,0,1..3,1973850,2784038,146
pi5,gsm_dec,LLC,47,4,2400000,0,1..3,1948401,2784038,149
pi5,gsm_dec,LLC,48,4,2400000,0,1..3,1853418,2784038,119
pi5,gsm_dec,LLC,49,4,2400000,0,1..3,1933049,2784038,154
pi5,gsm_dec,LLC,50,4,2400000,0,1..3,1878181,2784038,146
pi5,gsm_dec,LLC,51,4,2400000,0,1..3,1748585,2784038,113
pi5,gsm_dec,LLC,52,4,2400000,0,1..3,1914396,2784038,167
pi5,gsm_dec,LLC,53,4,2400000,0,1..3,1925896,2784038,115
pi5,gsm_dec,LLC,54,4,2400000,0,1..3,1893560,2784038,146
pi5,gsm_dec,LLC,55,4,2400000,0,1..3,1835392,2784038,137
pi5,gsm_dec,LLC,56,4,2400000,0,1..3,1867207,2784038,118
pi5,gsm_dec,LLC,57,4,2400000,0,1..3,1842936,2784038,127
pi5,gsm_dec,LLC,58,4,2400000,0,1..3,1830781,2784038,142
pi5,gsm_dec,LLC,59,4,2400000,0,1..3,1801330,2784038,109
pi5,gsm_dec,LLC,60,4,2400000,0,1..3,1874615,2784038,151
pi5,gsm_dec,LLC,61,4,2400000,0,1..3,1961942,2784038,143
pi5,gsm_dec,LLC,62,4,2400000,0,1..3,1851001,2784038,97
pi5,gsm_dec,LLC,63,4,2400000,0,1..3,1908344,2784038,107
pi5,gsm_dec,LLC,64,4,2400000,0,1..3,1891795,2784038,101
pi5,gsm_dec,LLC,65,4,2400000,0,1..3,2019473,2784038,137
pi5,gsm_dec,LLC,66,4,2400000,0,1..3,1913654,2784038,148
pi5,gsm_dec,LLC,67,4,2400000,0,1..3,1883409,2784038,125
pi5,gsm_dec,LLC,68,4,2400000,0,1..3,2012090,2784038,160
pi5,gsm_dec,LLC,69,4,2400000,0,1..3,1861632,2784038,140
pi5,gsm_dec,LLC,70,4,2400000,0,1..3,1915451,2784038,111
pi5,gsm_dec,LLC,71,4,2400000,0,1..3,1904498,2784038,148
pi5,gsm_dec,LLC,72,4,2400000,0,1..3,1934029,2784038,132
pi5,gsm_dec,LLC,73,4,2400000,0,1..3,1863135,2784038,135
pi5,gsm_dec,LLC,74,4,2400000,0,1..3,2013341,2784038,157
pi5,gsm_dec,LLC,75,4,2400000,0,1..3,1867909,2784038,142
pi5,gsm_dec,LLC,76,4,2400000,0,1..3,1771436,2784038,95
pi5,gsm_dec,LLC,77,4,2400000,0,1..3,2016544,2784038,159
pi5,gsm_dec,LLC,78,4,2400000,0,1..3,1855088,2784038,122
pi5,gsm_dec,LLC,79,4,2400000,0,1..3,1912819,2784038,106
pi5,gsm_dec,LLC,80,4,2400000,0,1..3,1915313,2784038,172
pi5,gsm_dec,LLC,81,4,2400000,0,1..3,1907333,2784038,126
pi5,gsm_dec,LLC,82,4,2400000,0,1..3,1903255,2784038,110
pi5,gsm_dec,LLC,83,4,2400000,0,1..3,1935905,2784038,171
pi5,gsm_dec,LLC,84,4,2400000,0,1..3,1955760,2784038,138
pi5,gsm_dec,LLC,85,4,2400000,0,1..3,1934534,2784038,167
pi5,gsm_dec,LLC,86,4,2400000,0,1..3,1867828,2784038,124
pi5,gsm_dec,LLC,87,4,2400000,0,1..3,1938246,2784038,173
pi5,gsm_dec,LLC,88,4,2400000,0,1..3,1856975,2784038,129
pi5,gsm_dec,LLC,89,4,2400000,0,1..3,1838543,2784038,162
pi5,gsm_dec,LLC,90,4,2400000,0,1..3,1869417,2784038,133
pi5,gsm_dec,LLC,91,4,2400000,0,1..3,1937872,2784038,118
pi5,gsm_dec,LLC,92,4,2400000,0,1..3,1866397,2784038,166
pi5,gsm_dec,LLC,93,4,2400000,0,1..3,1858397,2784038,121
pi5,gsm_dec,LLC,94,4,2400000,0,1..3,1914026,2784038,108
pi5,gsm_dec,LLC,95,4,2400000,0,1..3,1854749,2784038,117
pi5,gsm_dec,LLC,96,4,2400000,0,1..3,1934498,2784038,111
pi5,gsm_dec,LLC,97,4,2400000,0,1..3,1918617,2784038,136
pi5,gsm_dec,LLC,98,4,2400000,0,1..3,1872683,2784038,142
pi5,gsm_dec,LLC,99,4,2400000,0,1..3,1796944,2784038,110
pi5,gsm_dec,LLC,100,4,2400000,0,1..3,1987272,2784038,146
pi5,gsm_dec,LLC,101,4,2400000,0,1..3,1863465,2784038,148
pi5,gsm_dec,LLC,102,4,2400000,0,1..3,1873246,2784038,102
pi5,gsm_dec,LLC,103,4,2400000,0,1..3,1939019,2784038,155
pi5,gsm_dec,LLC,104,4,2400000,0,1..3,1806492,2784038,170
pi5,gsm_dec,LLC,105,4,2400000,0,1..3,1878966,2784038,112
pi5,gsm_dec,LLC,106,4,2400000,0,1..3,1927246,2784038,156
pi5,gsm_dec,LLC,107,4,2400000,0,1..3,1976604,2784038,146
pi5,gsm_dec,LLC,108,4,2400000,0,1..3,1979692,2784038,166
pi5,gsm_dec,LLC,109,4,2400000,0,1..3,1808448,2784038,162
pi5,gsm_dec,LLC,110,4,2400000,0,1..3,1928060,2784038,129
pi5,gsm_dec,LLC,111,4,2400000,0,1..3,1906076,2784038,180
pi5,gsm_dec,LLC,112,4,2400000,0,1..3,1915870,2784038,138
pi5,gsm_dec,LLC,113,4,2400000,0,1..3,1828286,2784038,162
pi5,gsm_dec,LLC,114,4,2400000,0,1..3,1931635,2784038,156
pi5,gsm_dec,LLC,115,4,2400000,0,1..3,1893735,2784038,182
pi5,gsm_dec,LLC,116,4,2400000,0,1..3,1904296,2784038,155
pi5,gsm_dec,LLC,117,4,2400000,0,1..3,1875583,2784038,115
pi5,gsm_dec,LLC,118,4,2400000,0,1..3,1865492,2784038,90
pi5,gsm_dec,LLC,119,4,2400000,0,1..3,1872076,2784038,86
pi5,gsm_dec,LLC,120,4,2400000,0,1..3,1900696,2784038,107
pi5,gsm_dec,LLC,121,4,2400000,0,1..3,1874122,2784038,132
pi5,gsm_dec,LLC,122,4,2400000,0,1..3,1913689,2784038,134
pi5,gsm_dec,LLC,123,4,2400000,0,1..3,1935474,2784038,154
pi5,gsm_dec,LLC,124,4,2400000,0,1..3,1888391,2784038,148
pi5,gsm_dec,LLC,125,4,2400000,0,1..3,1890738,2784038,171
pi5,gsm_dec,LLC,126,4,2400000,0,1..3,1864517,2784038,172
pi5,gsm_dec,LLC,127,4,2400000,0,1..3,1903088,2784038,138
pi5,gsm_dec,LLC,128,4,2400000,0,1..3,1894503,2784038,169
pi5,gsm_dec,LLC,129,4,2400000,0,1..3,1793296,2784038,174
pi5,gsm_dec,LLC,130,4,2400000,0,1..3,1839503,2784038,148
pi5,gsm_dec,LLC,131,4,2400000,0,1..3,1871404,2784038,118
pi5,gsm_dec,LLC,132,4,2400000,0,1..3,1870230,2784038,181
pi5,gsm_dec,LLC,133,4,2400000,0,1..3,1877903,2784038,144
pi5,gsm_dec,LLC,134,4,2400000,0,1..3,1867810,2784038,174
pi5,gsm_dec,LLC,135,4,2400000,0,1..3,1850272,2784038,155
pi5,gsm_dec,LLC,136,4,2400000,0,1..3,1876865,2784038,177
pi5,gsm_dec,LLC,137,4,2400000,0,1..3,1917604,2784038,151
pi5,gsm_dec,LLC,138,4,2400000,0,1..3,1853647,2784038,125
pi5,gsm_dec,LLC,139,4,2400000,0,1..3,1767401,2784038,124
pi5,gsm_dec,LLC,140,4,2400000,0,1..3,1901069,2784038,167
pi5,gsm_dec,LLC,141,4,2400000,0,1..3,1892161,2784038,152
pi5,gsm_dec,LLC,142,4,2400000,0,1..3,1966291,2784038,180
pi5,gsm_dec,LLC,143,4,2400000,0,1..3,1875061,2784038,189
pi5,gsm_dec,LLC,144,4,2400000,0,1..3,1905648,2784038,145
pi5,gsm_dec,LLC,145,4,2400000,0,1..3,1847618,2784038,122
pi5,gsm_dec,LLC,146,4,2400000,0,1..3,1942275,2784038,185
pi5,gsm_dec,LLC,147,4,2400000,0,1..3,1954142,2784038,179
pi5,gsm_dec,LLC,148,4,2400000,0,1..3,1826765,2784038,129
pi5,gsm_dec,LLC,149,4,2400000,0,1..3,1810096,2784038,132
pi5,gsm_dec,LLC,150,4,2400000,0,1..3,1915914,2784038,178
pi5,gsm_dec,LLC,151,4,2400000,0,1..3,1879375,2784038,135
pi5,gsm_dec,LLC,152,4,2400000,0,1..3,1894307,2784038,141
pi5,gsm_dec,LLC,153,4,2400000,0,1..3,1942947,2784038,158
pi5,gsm_dec,LLC,154,4,2400000,0,1..3,1846877,2784038,172
pi5,gsm_dec,LLC,155,4,2400000,0,1..3,1862022,2784038,178
pi5,gsm_dec,LLC,156,4,2400000,0,1..3,1943005,2784038,125
pi5,gsm_dec,LLC,157,4,2400000,0,1..3,1861070,2784038,111
pi5,gsm_dec,LLC,158,4,2400000,0,1..3,1896966,2784038,98
pi5,gsm_dec,LLC,159,4,2400000,0,1..3,1900423,2784038,104
pi5,gsm_dec,LLC,160,4,2400000,0,1..3,2009117,2784038,150
pi5,gsm_dec,LLC,161,4,2400000,0,1..3,1900962,2784038,141
pi5,gsm_dec,LLC,162,4,2400000,0,1..3,1852750,2784038,106
pi5,gsm_dec,LLC,163,4,2400000,0,1..3,1954663,2784038,174
pi5,gsm_dec,LLC,164,4,2400000,0,1..3,1872433,2784038,160
pi5,gsm_dec,LLC,165,4,2400000,0,1..3,1916850,2784038,120
pi5,gsm_dec,LLC,166,4,2400000,0,1..3,1872704,2784038,128
pi5,gsm_dec,LLC,167,4,2400000,0,1..3,1924292,2784038,148
pi5,gsm_dec,LLC,168,4,2400000,0,1..3,1857150,2784038,175
pi5,gsm_dec,LLC,169,4,2400000,0,1..3,1959937,2784038,123
pi5,gsm_dec,LLC,170,4,2400000,0,1..3,1860347,2784038,116
pi5,gsm_dec,LLC,171,4,2400000,0,1..3,1873725,2784038,103
pi5,gsm_dec,LLC,172,4,2400000,0,1..3,1934312,2784038,129
pi5,gsm_dec,LLC,173,4,2400000,0,1..3,1894839,2784038,151
pi5,gsm_dec,LLC,174,4,2400000,0,1..3,1926434,2784038,116
pi5,gsm_dec,LLC,175,4,2400000,0,1..3,1789952,2784038,115
pi5,gsm_dec,LLC,176,4,2400000,0,1..3,1935626,2784038,166
pi5,gsm_dec,LLC,177,4,2400000,0,1..3,1953702,2784038,172
pi5,gsm_dec,LLC,178,4,2400000,0,1..3,1815967,2784038,165
pi5,gsm_dec,LLC,179,4,2400000,0,1..3,1900515,2784038,118
pi5,gsm_dec,LLC,180,4,2400000,0,1..3,1937177,2784038,171
pi5,gsm_dec,LLC,181,4,2400000,0,1..3,1911894,2784038,145
pi5,gsm_dec,LLC,182,4,2400000,0,1..3,1831734,2784038,149
pi5,gsm_dec,LLC,183,4,2400000,0,1..3,1861166,2784038,127
pi5,gsm_dec,LLC,184,4,2400000,0,1..3,1924623,2784038,110
pi5,gsm_dec,LLC,185,4,2400000,0,1..3,1906562,2784038,161
pi5,gsm_dec,LLC,186,4,2400000,0,1..3,1905282,2784038,129
pi5,gsm_dec,LLC,187,4,2400000,0,1..3,1879949,2784038,121
pi5,gsm_dec,LLC,188,4,2400000,0,1..3,1893303,2784038,103
pi5,gsm_dec,LLC,189,4,2400000,0,1..3,1916803,2784038,121
pi5,gsm_dec,LLC,190,4,2400000,0,1..3,1909362,2784038,141
pi5,gsm_dec,LLC,191,4,2400000,0,1..3,1983119,2784038,138
pi5,gsm_dec,LLC,192,4,2400000,0,1..3,1849932,2784038,119
pi5,gsm_dec,LLC,193,4,2400000,0,1..3,2054993,2784038,148
pi5,gsm_dec,LLC,194,4,2400000,0,1..3,1956162,2784038,156
pi5,gsm_dec,LLC,195,4,2400000,0,1..3,1862524,2784038,149
pi5,gsm_dec,LLC,196,4,2400000,0,1..3,1892840,2784038,134
pi5,gsm_dec,LLC,197,4,2400000,0,1..3,1837450,2784038,121
pi5,gsm_dec,LLC,198,4,2400000,0,1..3,1827496,2784038,145
pi5,gsm_dec,LLC,199,4,2400000,0,1..3,1934110,2784038,136
pi5,gsm_dec,LLC,200,4,2400000,0,1..3,1907192,2784038,152
pi5,gsm_dec,LLC,201,4,2400000,0,1..3,1838901,2784038,132
pi5,gsm_dec,LLC,202,4,2400000,0,1..3,1909232,2784038,116
pi5,gsm_dec,LLC,203,4,2400000,0,1..3,1849608,2784038,155
pi5,gsm_dec,LLC,204,4,2400000,0,1..3,1878009,2784038,130
pi5,gsm_dec,LLC,205,4,2400000,0,1..3,1940369,2784038,131
pi5,gsm_dec,LLC,206,4,2400000,0,1..3,1868862,2784038,104
pi5,gsm_dec,LLC,207,4,2400000,0,1..3,1928027,2784038,108
pi5,gsm_dec,LLC,208,4,2400000,0,1..3,1881697,2784038,132
pi5,gsm_dec,LLC,209,4,2400000,0,1..3,1987266,2784038,148
pi5,gsm_dec,LLC,210,4,2400000,0,1..3,1883528,2784038,115
pi5,gsm_dec,LLC,211,4,2400000,0,1..3,1988677,2784038,140
