board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,gsm_enc,MEM,0,4,2400000,0,1..3,3980360,7834424,189
pi5,gsm_enc,MEM,1,4,2400000,0,1..3,3951315,7834424,152
pi5,gsm_enc,MEM,2,4,2400000,0,1..3,4070598,7834424,166
pi5,gsm_enc,MEM,3,4,2400000,0,1..3,4023365,7834424,147
pi5,gsm_enc,MEM,4,4,2400000,0,1..3,4061912,7834424,186
pi5,gsm_enc,MEM,5,4,2400000,0,1..3,3881397,7834424,130
pi5,gsm_enc,MEM,6,4,2400000,0,1..3,4048871,7834424,156
pi5,gsm_enc,MEM,7,4,2400000,0,1..3,3981243,7834424,158
pi5,gsm_enc,MEM,8,4,2400000,0,1..3,3798278,7834424,111
pi5,gsm_enc,MEM,9,4,2400000,0,1..3,4010207,7834424,147
pi5,gsm_enc,MEM,10,4,2400000,0,1..3,4000408,7834424,152
pi5,gsm_enc,MEM,11,4,2400000,0,1..3,4035934,7834424,155
pi5,gsm_enc,MEM,12,4,2400000,0,1..3,3812066,7834424,129
pi5,gsm_enc,MEM,13,4,2400000,0,1..3,4011345,7834424,162
pi5,gsm_enc,MEM,14,4,2400000,0,1..3,4061264,7834424,157
pi5,gsm_enc,MEM,15,4,2400000,0,1..3,3766423,7834424,104
pi5,gsm_enc,MEM,16,4,2400000,0,1..3,3961519,7834424,161
pi5,gsm_enc,MEM,17,4,2400000,0,1..3,4040325,7834424,164
pi5,gsm_enc,MEM,18,4,2400000,0,1..3,4011693,7834424,154
pi5,gsm_enc,MEM,19,4,2400000,0,1..3,3827594,7834424,134
pi5,gsm_enc,MEM,20,4,2400000,0,1..3,4090262,7834424,170
pi5,gsm_enc,MEM,21,4,2400000,0,1..3,4000292,7834424,150
pi5,gsm_enc,MEM,22,4,2400000,0,1..3,3817353,7834424,113
pi5,gsm_enc,MEM,23,4,2400000,0,1..3,3836600,7834424,136
pi5,gsm_enc,MEM,24,4,2400000,0,1..3,4045284,7834424,153
pi5,gsm_enc,MEM,25,4,2400000,0,1..3,4017004,7834424,170
pi5,gsm_enc,MEM,26,4,2400000,0,1..3,3815932,7834424,116
pi5,gsm_enc,MEM,27,4,2400000,0,1..3,4062083,7834424,161
pi5,gsm_enc,MEM,28,4,2400000,0,1..3,4021081,7834424,155
