board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,huff_enc,BUS,0,4,2400000,0,1..3,651249,1112572,332
pi5,huff_enc,BUS,1,4,2400000,0,1..3,578851,1105880,254
pi5,huff_enc,BUS,2,4,2400000,0,1..3,568747,1105880,79
pi5,huff_enc,BUS,3,4,2400000,0,1..3,545036,1105870,67
pi5,huff_enc,BUS,4,4,2400000,0,1..3,659608,1112572,157
pi5,huff_enc,BUS,5,4,2400000,0,1..3,557777,1105880,79
pi5,huff_enc,BUS,6,4,2400000,0,1..3,570242,1105880,67
pi5,huff_enc,BUS,7,4,2400000,0,1..3,556848,1105870,96
pi5,huff_enc,BUS,8,4,2400000,0,1..3,531068,1112572,51
pi5,huff_enc,BUS,9,4,2400000,0,1..3,560423,1105880,69
pi5,huff_enc,BUS,10,4,2400000,0,1..3,719132,1105880,323
pi5,huff_enc,BUS,11,4,2400000,0,1..3,588620,1105870,125
pi5,huff_enc,BUS,12,4,2400000,0,1..3,574599,1112572,100
pi5,huff_enc,BUS,13,4,2400000,0,1..3,543945,1105880,84
pi5,huff_enc,BUS,14,4,2400000,0,1..3,528618,1105880,48
pi5,huff_enc,BUS,15,4,2400000,0,1..3,566566,1105870,60
pi5,huff_enc,BUS,16,4,2400000,0,1..3,627552,1112572,154
pi5,huff_enc,BUS,17,4,2400000,0,1..3,567799,1105880,88
pi5,huff_enc,BUS,18,4,2400000,0,1..3,530057,1105880,38
pi5,huff_enc,BUS,19,4,2400000,0,1..3,625450,1105870,221
pi5,huff_enc,BUS,20,4,2400000,0,1..3,642631,1112572,233
pi5,huff_enc,BUS,21,4,2400000,0,1..3,545266,1105880,80
pi5,huff_enc,BUS,22,4,2400000,0,1..3,530361,1105880,94
pi5,huff_enc,BUS,23,4,2400000,0,1..3,545838,1105870,58
pi5,huff_enc,BUS,24,4,2400000,0,1..3,608275,1112572,97
pi5,huff_enc,BUS,25,4,2400000,0,1..3,588549,1105880,102
pi5,huff_enc,BUS,26,4,2400000,0,1..3,540124,1105880,71
pi5,huff_enc,BUS,27,4,2400000,0,1..3,582883,1105870,47
pi5,huff_enc,BUS,28,4,2400000,0,1..3,651633,1112572,228
pi5,huff_enc,BUS,29,4,2400000,0,1..3,594889,1105880,162
pi5,huff_enc,BUS,30,4,2400000,0,1..3,529185,1105880,49
pi5,huff_enc,BUS,31,4,2400000,0,1..3,662650,1105870,132
pi5,huff_enc,BUS,32,4,2400000,0,1..3,634592,1112572,147
pi5,huff_enc,BUS,33,4,2400000,0,1..3,561353,1105880,30
pi5,huff_enc,BUS,34,4,2400000,0,1..3,542529,1105880,45
pi5,huff_enc,BUS,35,4,2400000,0,1..3,633115,1105870,124
pi5,huff_enc,BUS,36,4,2400000,0,1..3,648623,1112572,149
pi5,huff_enc,BUS,37,4,2400000,0,1..3,540619,1105880,58
pi5,huff_enc,BUS,38,4,2400000,0,1..3,707726,1105880,299
pi5,huff_enc,BUS,39,4,2400000,0,1..3,604936,1105870,118
pi5,huff_enc,BUS,40,4,2400000,0,1..3,597710,1112572,130
pi5,huff_enc,BUS,41,4,2400000,0,1..3,569979,1105880,96
pi5,huff_enc,BUS,42,4,2400000,0,1..3,535297,1105880,39
pi5,huff_enc,BUS,43,4,2400000,0,1..3,571508,1105870,77
pi5,huff_enc,BUS,44,4,2400000,0,1..3,619915,1112572,143
pi5,huff_enc,BUS,45,4,2400000,0,1..3,650823,1105880,111
pi5,huff_enc,BUS,46,4,2400000,0,1..3,521453,1105880,36
pi5,huff_enc,BUS,47,4,2400000,0,1..3,648235,1105870,228
pi5,huff_enc,BUS,48,4,2400000,0,1..3,635549,1112572,184
pi5,huff_enc,BUS,49,4,2400000,0,1..3,607290,1105880,95
pi5,huff_enc,BUS,50,4,2400000,0,1..3,549537,1105880,114
pi5,huff_enc,BUS,51,4,2400000,0,1..3,530458,1105870,52
pi5,huff_enc,BUS,52,4,2400000,0,1..3,570308,1112572,69
pi5,huff_enc,BUS,53,4,2400000,0,1..3,599008,1105880,89
pi5,huff_enc,BUS,54,4,2400000,0,1..3,589097,1105880,146
pi5,huff_enc,BUS,55,4,2400000,0,1..3,548825,1105870,53
pi5,huff_enc,BUS,56,4,2400000,0,1..3,591448,1112572,91
pi5,huff_enc,BUS,57,4,2400000,0,1..3,694949,1105880,303
pi5,huff_enc,BUS,58,4,2400000,0,1..3,577729,1105880,84
pi5,huff_enc,BUS,59,4,2400000,0,1..3,576306,1105870,71
pi5,huff_enc,BUS,60,4,2400000,0,1..3,580369,1112572,103
pi5,huff_enc,BUS,61,4,2400000,0,1..3,622836,1105880,102
pi5,huff_enc,BUS,62,4,2400000,0,1..3,612921,1105880,108
pi5,huff_enc,BUS,63,4,2400000,0,1..3,591231,1105870,90
pi5,huff_enc,BUS,64,4,2400000,0,1..3,580185,1112572,49
pi5,huff_enc,BUS,65,4,2400000,0,1..3,588272,1105880,100
pi5,huff_enc,BUS,66,4,2400000,0,1..3,568912,1105880,268
pi5,huff_enc,BUS,67,4,2400000,0,1..3,541622,1105870,62
pi5,huff_enc,BUS,68,4,2400000,0,1..3,551454,1112572,57
pi5,huff_enc,BUS,69,4,2400000,0,1..3,609645,1105880,160
pi5,huff_enc,BUS,70,4,2400000,0,1..3,563299,1105880,95
pi5,huff_enc,BUS,71,4,2400000,0,1..3,536641,1105870,56
pi5,huff_enc,BUS,72,4,2400000,0,1..3,539260,1112572,79
pi5,huff_enc,BUS,73,4,2400000,0,1..3,586437,1105880,81
pi5,huff_enc,BUS,74,4,2400000,0,1..3,596799,1105880,90
pi5,huff_enc,BUS,75,4,2400000,0,1..3,628478,1105870,236
pi5,huff_enc,BUS,76,4,2400000,0,1..3,569408,1112572,173
pi5,huff_enc,BUS,77,4,2400000,0,1..3,620008,1105880,108
pi5,huff_enc,BUS,78,4,2400000,0,1..3,632826,1105880,163
pi5,huff_enc,BUS,79,4,2400000,0,1..3,523652,1105870,43
pi5,huff_enc,BUS,80,4,2400000,0,1..3,536658,1112572,23
pi5,huff_enc,BUS,81,4,2400000,0,1..3,637738,1105880,105
pi5,huff_enc,BUS,82,4,2400000,0,1..3,661909,1105880,171
