board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,huff_enc,solo,0,1,2400000,0,,561143,1112572,248
pi5,huff_enc,solo,1,1,2400000,0,,537887,1105880,170
pi5,huff_enc,solo,2,1,2400000,0,,533537,1105880,25
pi5,huff_enc,solo,3,1,2400000,0,,530112,1105870,85
pi5,huff_enc,solo,4,1,2400000,0,,530702,1112572,27
pi5,huff_enc,solo,5,1,2400000,0,,546868,1105880,16
pi5,huff_enc,solo,6,1,2400000,0,,523223,1105880,16
pi5,huff_enc,solo,7,1,2400000,0,,521770,1105870,55
pi5,huff_enc,solo,8,1,2400000,0,,528401,1112572,28
pi5,huff_enc,solo,9,1,2400000,0,,524866,1105880,14
pi5,huff_enc,solo,10,1,2400000,0,,535318,1105880,18
pi5,huff_enc,solo,11,1,2400000,0,,515988,1105870,49
pi5,huff_enc,solo,12,1,2400000,0,,530455,1112572,32
pi5,huff_enc,solo,13,1,2400000,0,,519432,1105880,16
pi5,huff_enc,solo,14,1,2400000,0,,556852,1105880,16
pi5,huff_enc,solo,15,1,2400000,0,,571405,1105870,55
pi5,huff_enc,solo,16,1,2400000,0,,555169,1112572,27
pi5,huff_enc,solo,17,1,2400000,0,,530691,1105880,17
pi5,huff_enc,solo,18,1,2400000,0,,543976,1105880,17
pi5,huff_enc,solo,19,1,2400000,0,,522542,1105870,70
pi5,huff_enc,solo,20,1,2400000,0,,545386,1112572,18
pi5,huff_enc,solo,21,1,2400000,0,,514489,1105880,18
pi5,huff_enc,solo,22,1,2400000,0,,520126,1105880,20
pi5,huff_enc,solo,23,1,2400000,0,,531177,1105870,70
pi5,huff_enc,solo,24,1,2400000,0,,516419,1112572,16
pi5,huff_enc,solo,25,1,2400000,0,,548419,1105880,18
pi5,huff_enc,solo,26,1,2400000,0,,523726,1105880,20
pi5,huff_enc,solo,27,1,2400000,0,,525089,1105870,68
pi5,huff_enc,solo,28,1,2400000,0,,522215,1112572,18
pi5,huff_enc,solo,29,1,2400000,0,,521962,1105880,18
pi5,huff_enc,solo,30,1,2400000,0,,517323,1105880,15
pi5,huff_enc,solo,31,1,2400000,0,,554271,1105870,67
pi5,huff_enc,solo,32,1,2400000,0,,555547,1112572,16
pi5,huff_enc,solo,33,1,2400000,0,,550484,1105880,18
pi5,huff_enc,solo,34,1,2400000,0,,518242,1105880,27
pi5,huff_enc,solo,35,1,2400000,0,,540352,1105870,57
pi5,huff_enc,solo,36,1,2400000,0,,517582,1112572,24
pi5,huff_enc,solo,37,1,2400000,0,,552395,1105880,16
pi5,huff_enc,solo,38,1,2400000,0,,572196,1105880,31
pi5,huff_enc,solo,39,1,2400000,0,,522015,1105870,57
pi5,huff_enc,solo,40,1,2400000,0,,526019,1112572,18
pi5,huff_enc,solo,41,1,2400000,0,,517268,1105880,18
pi5,huff_enc,solo,42,1,2400000,0,,517592,1105880,23
pi5,huff_enc,solo,43,1,2400000,0,,517934,1105870,57
pi5,huff_enc,solo,44,1,2400000,0,,522820,1112572,19
pi5,huff_enc,solo,45,1,2400000,0,,515873,1105880,15
pi5,huff_enc,solo,46,1,2400000,0,,513769,1105880,28
pi5,huff_enc,solo,47,1,2400000,0,,520780,1105870,58
pi5,huff_enc,solo,48,1,2400000,0,,518609,1112572,14
pi5,huff_enc,solo,49,1,2400000,0,,516604,1105880,17
pi5,huff_enc,solo,50,1,2400000,0,,542680,1105880,25
pi5,huff_enc,solo,51,1,2400000,0,,513492,1105870,59
pi5,huff_enc,solo,52,1,2400000,0,,519355,1112572,16
pi5,huff_enc,solo,53,1,2400000,0,,517874,1105880,15
pi5,huff_enc,solo,54,1,2400000,0,,518275,1105880,21
pi5,huff_enc,solo,55,1,2400000,0,,522845,1105870,59
pi5,huff_enc,solo,56,1,2400000,0,,522532,1112572,17
pi5,huff_enc,solo,57,1,2400000,0,,525591,1105880,16
pi5,huff_enc,solo,58,1,2400000,0,,560211,1105880,24
pi5,huff_enc,solo,59,1,2400000,0,,548667,1105870,56
pi5,huff_enc,solo,60,1,2400000,0,,516644,1112572,18
pi5,huff_enc,solo,61,1,2400000,0,,510298,1105880,19
pi5,huff_enc,solo,62,1,2400000,0,,514229,1105880,23
pi5,huff_enc,solo,63,1,2400000,0,,550229,1105870,60
pi5,huff_enc,solo,64,1,2400000,0,,553698,1112572,18
pi5,huff_enc,solo,65,1,2400000,0,,550648,1105880,19
pi5,huff_enc,solo,66,1,2400000,0,,541342,1105880,27
pi5,huff_enc,solo,67,1,2400000,0,,514844,1105870,58
pi5,huff_enc,solo,68,1,2400000,0,,519146,1112572,18
pi5,huff_enc,solo,69,1,2400000,0,,519314,1105880,17
pi5,huff_enc,solo,70,1,2400000,0,,516499,1105880,32
pi5,huff_enc,solo,71,1,2400000,0,,517603,1105870,54
pi5,huff_enc,solo,72,1,2400000,0,,518555,1112572,20
pi5,huff_enc,solo,73,1,2400000,0,,513508,1105880,19
pi5,huff_enc,solo,74,1,2400000,0,,564614,1105880,25
pi5,huff_enc,solo,75,1,2400000,0,,542431,1105870,56
pi5,huff_enc,solo,76,1,2400000,0,,548369,1112572,20
pi5,huff_enc,solo,77,1,2400000,0,,512093,1105880,16
pi5,huff_enc,solo,78,1,2400000,0,,515199,1105880,26
pi5,huff_enc,solo,79,1,2400000,0,,517814,1105870,57
pi5,huff_enc,solo,80,1,2400000,0,,520293,1112572,16
pi5,huff_enc,solo,81,1,2400000,0,,516695,1105880,16
pi5,huff_enc,solo,82,1,2400000,0,,518232,1105880,26
pi5,huff_enc,solo,83,1,2400000,0,,525392,1105870,54
pi5,huff_enc,solo,84,1,2400000,0,,539320,1112572,17
pi5,huff_enc,solo,85,1,2400000,0,,541759,1105880,16
pi5,huff_enc,solo,86,1,2400000,0,,541158,1105880,25
pi5,huff_enc,solo,87,1,2400000,0,,544949,1105870,58
pi5,huff_enc,solo,88,1,2400000,0,,518124,1112572,15
pi5,huff_enc,solo,89,1,2400000,0,,522658,1105880,15
pi5,huff_enc,solo,90,1,2400000,0,,509789,1105880,27
pi5,huff_enc,solo,91,1,2400000,0,,530279,1105870,59
pi5,huff_enc,solo,92,1,2400000,0,,543575,1112572,28
pi5,huff_enc,solo,93,1,2400000,0,,518947,1105880,21
pi5,huff_enc,solo,94,1,2400000,0,,518631,1105880,29
pi5,huff_enc,solo,95,1,2400000,0,,519653,1105870,55
pi5,huff_enc,solo,96,1,2400000,0,,520284,1112572,19
pi5,huff_enc,solo,97,1,2400000,0,,518695,1105880,17
pi5,huff_enc,solo,98,1,2400000,0,,513580,1105880,34
pi5,huff_enc,solo,99,1,2400000,0,,518083,1105870,57
pi5,huff_enc,solo,100,1,2400000,0,,545981,1112572,19
pi5,huff_enc,solo,101,1,2400000,0,,543497,1105880,16
pi5,huff_enc,solo,102,1,2400000,0,,546218,1105880,33
pi5,huff_enc,solo,103,1,2400000,0,,524029,1105870,53
pi5,huff_enc,solo,104,1,2400000,0,,515525,1112572,15
pi5,huff_enc,solo,105,1,2400000,0,,515358,1105880,15
pi5,huff_enc,solo,106,1,2400000,0,,515599,1105880,30
pi5,huff_enc,solo,107,1,2400000,0,,516987,1105870,64
pi5,huff_enc,solo,108,1,2400000,0,,522787,1112572,18
pi5,huff_enc,solo,109,1,2400000,0,,518217,1105880,15
pi5,huff_enc,solo,110,1,2400000,0,,512094,1105880,32
pi5,huff_enc,solo,111,1,2400000,0,,516882,1105870,57
