board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,insertsort,LLC+MEM,0,4,2400000,0,1..3,24049,2944,8
pi5,insertsort,LLC+MEM,1,4,2400000,0,1..3,4258,2944,4
pi5,insertsort,LLC+MEM,2,4,2400000,0,1..3,962,2944,0
pi5,insertsort,LLC+MEM,3,4,2400000,0,1..3,996,2944,0
pi5,insertsort,LLC+MEM,4,4,2400000,0,1..3,983,2944,0
pi5,insertsort,LLC+MEM,5,4,2400000,0,1..3,2682,2944,1
pi5,insertsort,LLC+MEM,6,4,2400000,0,1..3,993,2944,0
pi5,insertsort,LLC+MEM,7,4,2400000,0,1..3,980,2944,0
pi5,insertsort,LLC+MEM,8,4,2400000,0,1..3,990,2944,0
pi5,insertsort,LLC+MEM,9,4,2400000,0,1..3,4333,2944,1
pi5,insertsort,LLC+MEM,10,4,2400000,0,1..3,990,2944,0
pi5,insertsort,LLC+MEM,11,4,2400000,0,1..3,998,2944,0
pi5,insertsort,LLC+MEM,12,4,2400000,0,1..3,1005,2944,0
pi5,insertsort,LLC+MEM,13,4,2400000,0,1..3,1002,2944,0
pi5,insertsort,LLC+MEM,14,4,2400000,0,1..3,996,2944,0
pi5,insertsort,LLC+MEM,15,4,2400000,0,1..3,1008,2944,0
pi5,insertsort,LLC+MEM,16,4,2400000,0,1..3,996,2944,0
pi5,insertsort,LLC+MEM,17,4,2400000,0,1..3,997,2944,0
pi5,insertsort,LLC+MEM,18,4,2400000,0,1..3,995,2944,0
pi5,insertsort,LLC+MEM,19,4,2400000,0,1..3,1015,2944,0
pi5,insertsort,LLC+MEM,20,4,2400000,0,1..3,1014,2944,0
pi5,insertsort,LLC+MEM,21,4,2400000,0,1..3,1015,2944,0
pi5,insertsort,LLC+MEM,22,4,2400000,0,1..3,1023,2944,0
pi5,insertsort,LLC+MEM,23,4,2400000,0,1..3,1015,2944,0
pi5,insertsort,LLC+MEM,24,4,2400000,0,1..3,1008,2944,0
pi5,insertsort,LLC+MEM,25,4,2400000,0,1..3,1088,2944,0
pi5,insertsort,LLC+MEM,26,4,2400000,0,1..3,1005,2944,0
pi5,insertsort,LLC+MEM,27,4,2400000,0,1..3,998,2944,0
pi5,insertsort,LLC+MEM,28,4,2400000,0,1..3,998,2944,0
pi5,insertsort,LLC+MEM,29,4,2400000,0,1..3,1081,2944,0
pi5,insertsort,LLC+MEM,30,4,2400000,0,1..3,1015,2944,0
pi5,insertsort,LLC+MEM,31,4,2400000,0,1..3,996,2944,0
pi5,insertsort,LLC+MEM,32,4,2400000,0,1..3,996,2944,0
pi5,insertsort,LLC+MEM,33,4,2400000,0,1..3,1011,2944,0
pi5,insertsort,LLC+MEM,34,4,2400000,0,1..3,1008,2944,0
pi5,insertsort,LLC+MEM,35,4,2400000,0,1..3,1088,2944,0
pi5,insertsort,LLC+MEM,36,4,2400000,0,1..3,3472,2944,1
pi5,insertsort,LLC+MEM,37,4,2400000,0,1..3,991,2944,0
pi5,insertsort,LLC+MEM,38,4,2400000,0,1..3,1003,2944,0
pi5,insertsort,LLC+MEM,39,4,2400000,0,1..3,1003,2944,0
pi5,insertsort,LLC+MEM,40,4,2400000,0,1..3,5518,2944,2
pi5,insertsort,LLC+MEM,41,4,2400000,0,1..3,1013,2944,0
pi5,insertsort,LLC+MEM,42,4,2400000,0,1..3,999,2944,0
pi5,insertsort,LLC+MEM,43,4,2400000,0,1..3,1015,2944,0
pi5,insertsort,LLC+MEM,44,4,2400000,0,1..3,1014,2944,0
pi5,insertsort,LLC+MEM,45,4,2400000,0,1..3,990,2944,0
pi5,insertsort,LLC+MEM,46,4,2400000,0,1..3,1011,2944,0
pi5,insertsort,LLC+MEM,47,4,2400000,0,1..3,995,2944,0
pi5,insertsort,LLC+MEM,48,4,2400000,0,1..3,1011,2944,0
