board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,isqrt,LLC+BUS,0,4,2400000,0,1..3,597639,1091952,9
pi5,isqrt,LLC+BUS,1,4,2400000,0,1..3,594917,1091952,2
pi5,isqrt,LLC+BUS,2,4,2400000,0,1..3,592958,1091952,3
pi5,isqrt,LLC+BUS,3,4,2400000,0,1..3,602536,1091952,5
pi5,isqrt,LLC+BUS,4,4,2400000,0,1..3,583044,1091952,3
pi5,isqrt,LLC+BUS,5,4,2400000,0,1..3,582604,1091952,2
pi5,isqrt,LLC+BUS,6,4,2400000,0,1..3,581264,1091952,1
pi5,isqrt,LLC+BUS,7,4,2400000,0,1..3,614403,1091952,12
pi5,isqrt,LLC+BUS,8,4,2400000,0,1..3,582182,1091952,1
pi5,isqrt,LLC+BUS,9,4,2400000,0,1..3,578052,1091952,0
pi5,isqrt,LLC+BUS,10,4,2400000,0,1..3,578026,1091952,1
pi5,isqrt,LLC+BUS,11,4,2400000,0,1..3,582903,1091952,1
pi5,isqrt,LLC+BUS,12,4,2400000,0,1..3,586792,1091952,3
pi5,isqrt,LLC+BUS,13,4,2400000,0,1..3,574929,1091952,0
pi5,isqrt,LLC+BUS,14,4,2400000,0,1..3,574359,1091952,0
pi5,isqrt,LLC+BUS,15,4,2400000,0,1..3,588035,1091952,12
pi5,isqrt,LLC+BUS,16,4,2400000,0,1..3,577231,1091952,3
pi5,isqrt,LLC+BUS,17,4,2400000,0,1..3,580549,1091952,1
pi5,isqrt,LLC+BUS,18,4,2400000,0,1..3,580675,1091952,4
pi5,isqrt,LLC+BUS,19,4,2400000,0,1..3,573194,1091952,3
pi5,isqrt,LLC+BUS,20,4,2400000,0,1..3,573077,1091952,1
pi5,isqrt,LLC+BUS,21,4,2400000,0,1..3,577179,1091952,2
pi5,isqrt,LLC+BUS,22,4,2400000,0,1..3,575878,1091952,2
pi5,isqrt,LLC+BUS,23,4,2400000,0,1..3,574790,1091952,1
pi5,isqrt,LLC+BUS,24,4,2400000,0,1..3,575547,1091952,2
pi5,isqrt,LLC+BUS,25,4,2400000,0,1..3,587863,1091952,9
pi5,isqrt,LLC+BUS,26,4,2400000,0,1..3,574850,1091952,0
pi5,isqrt,LLC+BUS,27,4,2400000,0,1..3,573833,1091952,0
pi5,isqrt,LLC+BUS,28,4,2400000,0,1..3,578085,1091952,3
pi5,isqrt,LLC+BUS,29,4,2400000,0,1..3,587377,1091952,6
pi5,isqrt,LLC+BUS,30,4,2400000,0,1..3,573499,1091952,1
pi5,isqrt,LLC+BUS,31,4,2400000,0,1..3,573738,1091952,0
pi5,isqrt,LLC+BUS,32,4,2400000,0,1..3,581219,1091952,1
pi5,isqrt,LLC+BUS,33,4,2400000,0,1..3,578763,1091952,2
pi5,isqrt,LLC+BUS,34,4,2400000,0,1..3,592062,1091952,11
pi5,isqrt,LLC+BUS,35,4,2400000,0,1..3,576655,1091952,3
pi5,isqrt,LLC+BUS,36,4,2400000,0,1..3,574488,1091952,1
pi5,isqrt,LLC+BUS,37,4,2400000,0,1..3,579981,1091952,2
pi5,isqrt,LLC+BUS,38,4,2400000,0,1..3,571606,1091952,0
pi5,isqrt,LLC+BUS,39,4,2400000,0,1..3,572235,1091952,1
pi5,isqrt,LLC+BUS,40,4,2400000,0,1..3,581128,1091952,6
pi5,isqrt,LLC+BUS,41,4,2400000,0,1..3,577706,1091952,2
pi5,isqrt,LLC+BUS,42,4,2400000,0,1..3,578484,1091952,3
pi5,isqrt,LLC+BUS,43,4,2400000,0,1..3,590556,1091952,12
pi5,isqrt,LLC+BUS,44,4,2400000,0,1..3,586998,1091952,3
pi5,isqrt,LLC+BUS,45,4,2400000,0,1..3,590260,1091952,4
pi5,isqrt,LLC+BUS,46,4,2400000,0,1..3,571919,1091952,2
pi5,isqrt,LLC+BUS,47,4,2400000,0,1..3,572307,1091952,1
pi5,isqrt,LLC+BUS,48,4,2400000,0,1..3,573169,1091952,0
pi5,isqrt,LLC+BUS,49,4,2400000,0,1..3,580379,1091952,4
pi5,isqrt,LLC+BUS,50,4,2400000,0,1..3,570934,1091952,0
pi5,isqrt,LLC+BUS,51,4,2400000,0,1..3,573200,1091952,0
pi5,isqrt,LLC+BUS,52,4,2400000,0,1..3,610077,1091952,15
pi5,isqrt,LLC+BUS,53,4,2400000,0,1..3,571686,1091952,1
pi5,isqrt,LLC+BUS,54,4,2400000,0,1..3,573965,1091952,1
pi5,isqrt,LLC+BUS,55,4,2400000,0,1..3,574680,1091952,2
pi5,isqrt,LLC+BUS,56,4,2400000,0,1..3,576268,1091952,3
pi5,isqrt,LLC+BUS,57,4,2400000,0,1..3,572517,1091952,1
pi5,isqrt,LLC+BUS,58,4,2400000,0,1..3,575477,1091952,2
pi5,isqrt,LLC+BUS,59,4,2400000,0,1..3,578202,1091952,4
pi5,isqrt,LLC+BUS,60,4,2400000,0,1..3,573490,1091952,1
pi5,isqrt,LLC+BUS,61,4,2400000,0,1..3,571848,1091952,2
pi5,isqrt,LLC+BUS,62,4,2400000,0,1..3,586743,1091952,9
pi5,isqrt,LLC+BUS,63,4,2400000,0,1..3,572583,1091952,0
pi5,isqrt,LLC+BUS,64,4,2400000,0,1..3,577447,1091952,2
pi5,isqrt,LLC+BUS,65,4,2400000,0,1..3,573297,1091952,1
pi5,isqrt,LLC+BUS,66,4,2400000,0,1..3,573662,1091952,0
pi5,isqrt,LLC+BUS,67,4,2400000,0,1..3,575670,1091952,0
pi5,isqrt,LLC+BUS,68,4,2400000,0,1..3,582649,1091952,3
pi5,isqrt,LLC+BUS,69,4,2400000,0,1..3,575489,1091952,1
pi5,isqrt,LLC+BUS,70,4,2400000,0,1..3,580395,1091952,3
pi5,isqrt,LLC+BUS,71,4,2400000,0,1..3,580393,1091952,9
pi5,isqrt,LLC+BUS,72,4,2400000,0,1..3,576222,1091952,1
pi5,isqrt,LLC+BUS,73,4,2400000,0,1..3,572195,1091952,0
pi5,isqrt,LLC+BUS,74,4,2400000,0,1..3,572398,1091952,1
pi5,isqrt,LLC+BUS,75,4,2400000,0,1..3,572747,1091952,2
pi5,isqrt,LLC+BUS,76,4,2400000,0,1..3,575467,1091952,1
pi5,isqrt,LLC+BUS,77,4,2400000,0,1..3,578060,1091952,2
pi5,isqrt,LLC+BUS,78,4,2400000,0,1..3,574031,1091952,0
pi5,isqrt,LLC+BUS,79,4,2400000,0,1..3,578964,1091952,2
pi5,isqrt,LLC+BUS,80,4,2400000,0,1..3,617956,1091952,13
pi5,isqrt,LLC+BUS,81,4,2400000,0,1..3,587898,1091952,4
pi5,isqrt,LLC+BUS,82,4,2400000,0,1..3,579261,1091952,3
pi5,isqrt,LLC+BUS,83,4,2400000,0,1..3,573717,1091952,1
pi5,isqrt,LLC+BUS,84,4,2400000,0,1..3,585521,1091952,4
pi5,isqrt,LLC+BUS,85,4,2400000,0,1..3,571333,1091952,0
pi5,isqrt,LLC+BUS,86,4,2400000,0,1..3,574303,1091952,2
pi5,isqrt,LLC+BUS,87,4,2400000,0,1..3,571553,1091952,0
pi5,isqrt,LLC+BUS,88,4,2400000,0,1..3,586110,1091952,4
pi5,isqrt,LLC+BUS,89,4,2400000,0,1..3,582613,1091952,10
pi5,isqrt,LLC+BUS,90,4,2400000,0,1..3,575421,1091952,2
pi5,isqrt,LLC+BUS,91,4,2400000,0,1..3,570580,1091952,0
pi5,isqrt,LLC+BUS,92,4,2400000,0,1..3,577835,1091952,3
pi5,isqrt,LLC+BUS,93,4,2400000,0,1..3,572365,1091952,0
pi5,isqrt,LLC+BUS,94,4,2400000,0,1..3,573926,1091952,1
pi5,isqrt,LLC+BUS,95,4,2400000,0,1..3,579700,1091952,2
pi5,isqrt,LLC+BUS,96,4,2400000,0,1..3,576444,1091952,2
pi5,isqrt,LLC+BUS,97,4,2400000,0,1..3,586532,1091952,3
pi5,isqrt,LLC+BUS,98,4,2400000,0,1..3,587827,1091952,9
pi5,isqrt,LLC+BUS,99,4,2400000,0,1..3,569840,1091952,1
pi5,isqrt,LLC+BUS,100,4,2400000,0,1..3,576348,1091952,2
pi5,isqrt,LLC+BUS,101,4,2400000,0,1..3,577526,1091952,3
pi5,isqrt,LLC+BUS,102,4,2400000,0,1..3,568366,1091952,1
pi5,isqrt,LLC+BUS,103,4,2400000,0,1..3,569646,1091952,2
pi5,isqrt,LLC+BUS,104,4,2400000,0,1..3,581949,1091952,3
pi5,isqrt,LLC+BUS,105,4,2400000,0,1..3,567439,1091952,1
pi5,isqrt,LLC+BUS,106,4,2400000,0,1..3,567301,1091952,1
pi5,isqrt,LLC+BUS,107,4,2400000,0,1..3,568707,1091952,1
pi5,isqrt,LLC+BUS,108,4,2400000,0,1..3,587862,1091952,8
pi5,isqrt,LLC+BUS,109,4,2400000,0,1..3,575687,1091952,2
pi5,isqrt,LLC+BUS,110,4,2400000,0,1..3,578688,1091952,4
pi5,isqrt,LLC+BUS,111,4,2400000,0,1..3,576004,1091952,0
pi5,isqrt,LLC+BUS,112,4,2400000,0,1..3,577017,1091952,1
pi5,isqrt,LLC+BUS,113,4,2400000,0,1..3,572144,1091952,0
pi5,isqrt,LLC+BUS,114,4,2400000,0,1..3,578304,1091952,1
pi5,isqrt,LLC+BUS,115,4,2400000,0,1..3,570986,1091952,0
pi5,isqrt,LLC+BUS,116,4,2400000,0,1..3,577975,1091952,1
pi5,isqrt,LLC+BUS,117,4,2400000,0,1..3,590610,1091952,12
pi5,isqrt,LLC+BUS,118,4,2400000,0,1..3,572520,1091952,0
pi5,isqrt,LLC+BUS,119,4,2400000,0,1..3,571704,1091952,0
