board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,lift,LLC+MEM,0,4,2400000,0,1..3,520855,1140722,18
pi5,lift,LLC+MEM,1,4,2400000,0,1..3,494627,1140722,9
pi5,lift,LLC+MEM,2,4,2400000,0,1..3,467619,1140722,0
pi5,lift,LLC+MEM,3,4,2400000,0,1..3,487394,1140722,1
pi5,lift,LLC+MEM,4,4,2400000,0,1..3,462116,1140722,1
pi5,lift,LLC+MEM,5,4,2400000,0,1..3,473942,1140722,0
pi5,lift,LLC+MEM,6,4,2400000,0,1..3,466823,1140722,5
pi5,lift,LLC+MEM,7,4,2400000,0,1..3,471976,1140722,3
pi5,lift,LLC+MEM,8,4,2400000,0,1..3,464587,1140722,3
pi5,lift,LLC+MEM,9,4,2400000,0,1..3,469532,1140722,3
pi5,lift,LLC+MEM,10,4,2400000,0,1..3,458953,1140722,2
pi5,lift,LLC+MEM,11,4,2400000,0,1..3,489329,1140722,16
pi5,lift,LLC+MEM,12,4,2400000,0,1..3,492890,1140722,9
pi5,lift,LLC+MEM,13,4,2400000,0,1..3,493969,1140722,6
pi5,lift,LLC+MEM,14,4,2400000,0,1..3,473948,1140722,2
pi5,lift,LLC+MEM,15,4,2400000,0,1..3,469348,1140722,2
pi5,lift,LLC+MEM,16,4,2400000,0,1..3,471090,1140722,1
pi5,lift,LLC+MEM,17,4,2400000,0,1..3,464285,1140722,2
pi5,lift,LLC+MEM,18,4,2400000,0,1..3,461163,1140722,0
pi5,lift,LLC+MEM,19,4,2400000,0,1..3,458476,1140722,3
pi5,lift,LLC+MEM,20,4,2400000,0,1..3,470732,1140722,0
pi5,lift,LLC+MEM,21,4,2400000,0,1..3,492439,1140722,11
pi5,lift,LLC+MEM,22,4,2400000,0,1..3,452433,1140722,4
pi5,lift,LLC+MEM,23,4,2400000,0,1..3,457184,1140722,3
pi5,lift,LLC+MEM,24,4,2400000,0,1..3,495246,1140722,10
pi5,lift,LLC+MEM,25,4,2400000,0,1..3,485064,1140722,3
pi5,lift,LLC+MEM,26,4,2400000,0,1..3,444209,1140722,1
pi5,lift,LLC+MEM,27,4,2400000,0,1..3,458431,1140722,1
pi5,lift,LLC+MEM,28,4,2400000,0,1..3,460095,1140722,3
pi5,lift,LLC+MEM,29,4,2400000,0,1..3,466042,1140722,7
pi5,lift,LLC+MEM,30,4,2400000,0,1..3,488839,1140722,14
pi5,lift,LLC+MEM,31,4,2400000,0,1..3,468195,1140722,2
pi5,lift,LLC+MEM,32,4,2400000,0,1..3,453038,1140722,4
pi5,lift,LLC+MEM,33,4,2400000,0,1..3,472919,1140722,4
pi5,lift,LLC+MEM,34,4,2400000,0,1..3,471898,1140722,2
pi5,lift,LLC+MEM,35,4,2400000,0,1..3,467307,1140722,2
pi5,lift,LLC+MEM,36,4,2400000,0,1..3,450735,1140722,0
pi5,lift,LLC+MEM,37,4,2400000,0,1..3,462964,1140722,5
pi5,lift,LLC+MEM,38,4,2400000,0,1..3,451331,1140722,2
pi5,lift,LLC+MEM,39,4,2400000,0,1..3,461375,1140722,3
pi5,lift,LLC+MEM,40,4,2400000,0,1..3,464676,1140722,7
