board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,lms,Mix,0,4,2400000,0,1..3,186748,299073,30
pi5,lms,Mix,1,4,2400000,0,1..3,160579,299073,11
pi5,lms,Mix,2,4,2400000,0,1..3,156675,299073,0
pi5,lms,Mix,3,4,2400000,0,1..3,166009,299073,4
pi5,lms,Mix,4,4,2400000,0,1..3,165501,299073,8
pi5,lms,Mix,5,4,2400000,0,1..3,160180,299073,1
pi5,lms,Mix,6,4,2400000,0,1..3,159788,299073,0
pi5,lms,Mix,7,4,2400000,0,1..3,162908,299073,1
pi5,lms,Mix,8,4,2400000,0,1..3,160759,299073,5
pi5,lms,Mix,9,4,2400000,0,1..3,158314,299073,1
pi5,lms,Mix,10,4,2400000,0,1..3,159195,299073,0
pi5,lms,Mix,11,4,2400000,0,1..3,169073,299073,5
pi5,lms,Mix,12,4,2400000,0,1..3,172333,299073,5
pi5,lms,Mix,13,4,2400000,0,1..3,164783,299073,4
pi5,lms,Mix,14,4,2400000,0,1..3,165924,299073,1
pi5,lms,Mix,15,4,2400000,0,1..3,165280,299073,5
pi5,lms,Mix,16,4,2400000,0,1..3,163852,299073,2
pi5,lms,Mix,17,4,2400000,0,1..3,159456,299073,0
pi5,lms,Mix,18,4,2400000,0,1..3,167996,299073,4
pi5,lms,Mix,19,4,2400000,0,1..3,162781,299073,2
pi5,lms,Mix,20,4,2400000,0,1..3,167222,299073,3
pi5,lms,Mix,21,4,2400000,0,1..3,164046,299073,3
pi5,lms,Mix,22,4,2400000,0,1..3,165036,299073,2
pi5,lms,Mix,23,4,2400000,0,1..3,158644,299073,6
pi5,lms,Mix,24,4,2400000,0,1..3,157962,299073,0
pi5,lms,Mix,25,4,2400000,0,1..3,159211,299073,0
pi5,lms,Mix,26,4,2400000,0,1..3,158500,299073,0
pi5,lms,Mix,27,4,2400000,0,1..3,157224,299073,0
pi5,lms,Mix,28,4,2400000,0,1..3,151072,299073,0
pi5,lms,Mix,29,4,2400000,0,1..3,163039,299073,2
pi5,lms,Mix,30,4,2400000,0,1..3,161434,299073,2
pi5,lms,Mix,31,4,2400000,0,1..3,155224,299073,3
pi5,lms,Mix,32,4,2400000,0,1..3,160178,299073,1
pi5,lms,Mix,33,4,2400000,0,1..3,157072,299073,0
pi5,lms,Mix,34,4,2400000,0,1..3,157933,299073,0
pi5,lms,Mix,35,4,2400000,0,1..3,161425,299073,4
pi5,lms,Mix,36,4,2400000,0,1..3,158124,299073,1
pi5,lms,Mix,37,4,2400000,0,1..3,159918,299073,2
pi5,lms,Mix,38,4,2400000,0,1..3,160464,299073,2
pi5,lms,Mix,39,4,2400000,0,1..3,163372,299073,6
pi5,lms,Mix,40,4,2400000,0,1..3,203636,299073,30
pi5,lms,Mix,41,4,2400000,0,1..3,176893,299073,13
pi5,lms,Mix,42,4,2400000,0,1..3,160088,299073,4
pi5,lms,Mix,43,4,2400000,0,1..3,156430,299073,0
pi5,lms,Mix,44,4,2400000,0,1..3,166950,299073,2
pi5,lms,Mix,45,4,2400000,0,1..3,165188,299073,1
pi5,lms,Mix,46,4,2400000,0,1..3,163185,299073,4
pi5,lms,Mix,47,4,2400000,0,1..3,166970,299073,3
pi5,lms,Mix,48,4,2400000,0,1..3,160836,299073,1
pi5,lms,Mix,49,4,2400000,0,1..3,160177,299073,0
pi5,lms,Mix,50,4,2400000,0,1..3,161856,299073,1
pi5,lms,Mix,51,4,2400000,0,1..3,161838,299073,3
pi5,lms,Mix,52,4,2400000,0,1..3,158936,299073,1
pi5,lms,Mix,53,4,2400000,0,1..3,157624,299073,0
pi5,lms,Mix,54,4,2400000,0,1..3,160501,299073,1
pi5,lms,Mix,55,4,2400000,0,1..3,158054,299073,2
pi5,lms,Mix,56,4,2400000,0,1..3,161482,299073,1
pi5,lms,Mix,57,4,2400000,0,1..3,159074,299073,4
pi5,lms,Mix,58,4,2400000,0,1..3,162828,299073,2
pi5,lms,Mix,59,4,2400000,0,1..3,161481,299073,1
pi5,lms,Mix,60,4,2400000,0,1..3,160782,299073,1
pi5,lms,Mix,61,4,2400000,0,1..3,150996,299073,3
pi5,lms,Mix,62,4,2400000,0,1..3,156686,299073,1
pi5,lms,Mix,63,4,2400000,0,1..3,160672,299073,0
pi5,lms,Mix,64,4,2400000,0,1..3,154410,299073,2
pi5,lms,Mix,65,4,2400000,0,1..3,162871,299073,3
pi5,lms,Mix,66,4,2400000,0,1..3,167398,299073,3
pi5,lms,Mix,67,4,2400000,0,1..3,181528,299073,32
pi5,lms,Mix,68,4,2400000,0,1..3,162722,299073,3
pi5,lms,Mix,69,4,2400000,0,1..3,166008,299073,3
pi5,lms,Mix,70,4,2400000,0,1..3,158472,299073,5
pi5,lms,Mix,71,4,2400000,0,1..3,165538,299073,6
pi5,lms,Mix,72,4,2400000,0,1..3,154570,299073,0
pi5,lms,Mix,73,4,2400000,0,1..3,149249,299073,0
pi5,lms,Mix,74,4,2400000,0,1..3,163269,299073,2
pi5,lms,Mix,75,4,2400000,0,1..3,156717,299073,2
pi5,lms,Mix,76,4,2400000,0,1..3,158938,299073,3
pi5,lms,Mix,77,4,2400000,0,1..3,153565,299073,0
pi5,lms,Mix,78,4,2400000,0,1..3,155205,299073,0
pi5,lms,Mix,79,4,2400000,0,1..3,151464,299073,1
pi5,lms,Mix,80,4,2400000,0,1..3,160402,299073,1
pi5,lms,Mix,81,4,2400000,0,1..3,155648,299073,0
pi5,lms,Mix,82,4,2400000,0,1..3,163178,299073,3
pi5,lms,Mix,83,4,2400000,0,1..3,161273,299073,2
pi5,lms,Mix,84,4,2400000,0,1..3,158094,299073,2
pi5,lms,Mix,85,4,2400000,0,1..3,155532,299073,4
pi5,lms,Mix,86,4,2400000,0,1..3,163842,299073,6
pi5,lms,Mix,87,4,2400000,0,1..3,162290,299073,2
pi5,lms,Mix,88,4,2400000,0,1..3,161885,299073,1
pi5,lms,Mix,89,4,2400000,0,1..3,153083,299073,0
pi5,lms,Mix,90,4,2400000,0,1..3,156544,299073,1
pi5,lms,Mix,91,4,2400000,0,1..3,160896,299073,3
pi5,lms,Mix,92,4,2400000,0,1..3,162397,299073,3
pi5,lms,Mix,93,4,2400000,0,1..3,161159,299073,0
pi5,lms,Mix,94,4,2400000,0,1..3,166044,299073,5
pi5,lms,Mix,95,4,2400000,0,1..3,191043,299073,27
