board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,lms,solo,0,1,2400000,0,,152295,299073,38
pi5,lms,solo,1,1,2400000,0,,158199,299073,19
pi5,lms,solo,2,1,2400000,0,,159392,299073,0
pi5,lms,solo,3,1,2400000,0,,154789,299073,0
pi5,lms,solo,4,1,2400000,0,,157164,299073,0
pi5,lms,solo,5,1,2400000,0,,150718,299073,0
pi5,lms,solo,6,1,2400000,0,,159392,299073,0
pi5,lms,solo,7,1,2400000,0,,157868,299073,0
pi5,lms,solo,8,1,2400000,0,,158679,299073,2
pi5,lms,solo,9,1,2400000,0,,159447,299073,1
pi5,lms,solo,10,1,2400000,0,,155966,299073,0
pi5,lms,solo,11,1,2400000,0,,151361,299073,1
pi5,lms,solo,12,1,2400000,0,,155051,299073,0
pi5,lms,solo,13,1,2400000,0,,159471,299073,0
pi5,lms,solo,14,1,2400000,0,,148027,299073,0
pi5,lms,solo,15,1,2400000,0,,152253,299073,1
pi5,lms,solo,16,1,2400000,0,,156656,299073,0
pi5,lms,solo,17,1,2400000,0,,159228,299073,0
pi5,lms,solo,18,1,2400000,0,,158119,299073,0
pi5,lms,solo,19,1,2400000,0,,151971,299073,0
pi5,lms,solo,20,1,2400000,0,,158684,299073,0
pi5,lms,solo,21,1,2400000,0,,160103,299073,1
pi5,lms,solo,22,1,2400000,0,,160846,299073,0
pi5,lms,solo,23,1,2400000,0,,154650,299073,0
pi5,lms,solo,24,1,2400000,0,,158008,299073,0
pi5,lms,solo,25,1,2400000,0,,155510,299073,0
pi5,lms,solo,26,1,2400000,0,,160257,299073,0
pi5,lms,solo,27,1,2400000,0,,149821,299073,1
pi5,lms,solo,28,1,2400000,0,,157911,299073,0
pi5,lms,solo,29,1,2400000,0,,155242,299073,0
pi5,lms,solo,30,1,2400000,0,,160177,299073,1
pi5,lms,solo,31,1,2400000,0,,160962,299073,0
pi5,lms,solo,32,1,2400000,0,,147869,299073,0
pi5,lms,solo,33,1,2400000,0,,158594,299073,0
pi5,lms,solo,34,1,2400000,0,,155774,299073,1
pi5,lms,solo,35,1,2400000,0,,160340,299073,1
pi5,lms,solo,36,1,2400000,0,,155391,299073,0
pi5,lms,solo,37,1,2400000,0,,153104,299073,0
pi5,lms,solo,38,1,2400000,0,,156803,299073,0
pi5,lms,solo,39,1,2400000,0,,158682,299073,1
pi5,lms,solo,40,1,2400000,0,,158436,299073,0
pi5,lms,solo,41,1,2400000,0,,151708,299073,0
pi5,lms,solo,42,1,2400000,0,,155790,299073,0
pi5,lms,solo,43,1,2400000,0,,151157,299073,1
pi5,lms,solo,44,1,2400000,0,,157217,299073,0
pi5,lms,solo,45,1,2400000,0,,158618,299073,0
pi5,lms,solo,46,1,2400000,0,,158072,299073,0
pi5,lms,solo,47,1,2400000,0,,156836,299073,0
pi5,lms,solo,48,1,2400000,0,,159596,299073,1
pi5,lms,solo,49,1,2400000,0,,154336,299073,0
pi5,lms,solo,50,1,2400000,0,,159133,299073,0
pi5,lms,solo,51,1,2400000,0,,156463,299073,0
pi5,lms,solo,52,1,2400000,0,,156176,299073,0
pi5,lms,solo,53,1,2400000,0,,152881,299073,0
pi5,lms,solo,54,1,2400000,0,,157928,299073,0
pi5,lms,solo,55,1,2400000,0,,154178,299073,0
pi5,lms,solo,56,1,2400000,0,,152721,299073,0
pi5,lms,solo,57,1,2400000,0,,153761,299073,0
pi5,lms,solo,58,1,2400000,0,,160619,299073,0
pi5,lms,solo,59,1,2400000,0,,158487,299073,0
pi5,lms,solo,60,1,2400000,0,,159190,299073,0
pi5,lms,solo,61,1,2400000,0,,159351,299073,0
pi5,lms,solo,62,1,2400000,0,,158969,299073,0
pi5,lms,solo,63,1,2400000,0,,156411,299073,1
pi5,lms,solo,64,1,2400000,0,,159787,299073,0
pi5,lms,solo,65,1,2400000,0,,158854,299073,0
pi5,lms,solo,66,1,2400000,0,,159308,299073,0
pi5,lms,solo,67,1,2400000,0,,153708,299073,0
pi5,lms,solo,68,1,2400000,0,,153069,299073,0
pi5,lms,solo,69,1,2400000,0,,159088,299073,0
pi5,lms,solo,70,1,2400000,0,,155975,299073,0
pi5,lms,solo,71,1,2400000,0,,154135,299073,0
pi5,lms,solo,72,1,2400000,0,,158245,299073,0
pi5,lms,solo,73,1,2400000,0,,148866,299073,0
pi5,lms,solo,74,1,2400000,0,,156180,299073,0
pi5,lms,solo,75,1,2400000,0,,153832,299073,0
pi5,lms,solo,76,1,2400000,0,,154269,299073,0
pi5,lms,solo,77,1,2400000,0,,160873,299073,0
pi5,lms,solo,78,1,2400000,0,,157461,299073,0
pi5,lms,solo,79,1,2400000,0,,157898,299073,1
pi5,lms,solo,80,1,2400000,0,,160765,299073,0
pi5,lms,solo,81,1,2400000,0,,159133,299073,0
pi5,lms,solo,82,1,2400000,0,,159250,299073,0
pi5,lms,solo,83,1,2400000,0,,159522,299073,0
pi5,lms,solo,84,1,2400000,0,,159769,299073,0
pi5,lms,solo,85,1,2400000,0,,156070,299073,0
pi5,lms,solo,86,1,2400000,0,,157685,299073,0
pi5,lms,solo,87,1,2400000,0,,155801,299073,1
pi5,lms,solo,88,1,2400000,0,,160558,299073,1
pi5,lms,solo,89,1,2400000,0,,161154,299073,0
pi5,lms,solo,90,1,2400000,0,,154011,299073,1
pi5,lms,solo,91,1,2400000,0,,155345,299073,0
pi5,lms,solo,92,1,2400000,0,,163129,299073,1
pi5,lms,solo,93,1,2400000,0,,153645,299073,0
pi5,lms,solo,94,1,2400000,0,,159776,299073,0
pi5,lms,solo,95,1,2400000,0,,159588,299073,0
pi5,lms,solo,96,1,2400000,0,,160671,299073,0
pi5,lms,solo,97,1,2400000,0,,160959,299073,0
pi5,lms,solo,98,1,2400000,0,,151447,299073,1
pi5,lms,solo,99,1,2400000,0,,161116,299073,3
pi5,lms,solo,100,1,2400000,0,,159626,299073,0
pi5,lms,solo,101,1,2400000,0,,161116,299073,1
pi5,lms,solo,102,1,2400000,0,,153780,299073,0
pi5,lms,solo,103,1,2400000,0,,147261,299073,0
pi5,lms,solo,104,1,2400000,0,,156846,299073,1
pi5,lms,solo,105,1,2400000,0,,161225,299073,0
pi5,lms,solo,106,1,2400000,0,,161003,299073,0
pi5,lms,solo,107,1,2400000,0,,161882,299073,0
pi5,lms,solo,108,1,2400000,0,,160859,299073,0
pi5,lms,solo,109,1,2400000,0,,162125,299073,0
pi5,lms,solo,110,1,2400000,0,,160042,299073,0
pi5,lms,solo,111,1,2400000,0,,160755,299073,1
pi5,lms,solo,112,1,2400000,0,,161290,299073,0
pi5,lms,solo,113,1,2400000,0,,160594,299073,0
pi5,lms,solo,114,1,2400000,0,,159743,299073,0
pi5,lms,solo,115,1,2400000,0,,156832,299073,0
pi5,lms,solo,116,1,2400000,0,,161136,299073,0
pi5,lms,solo,117,1,2400000,0,,159767,299073,0
