board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,ludcmp,BUS+MEM,0,4,2400000,0,1..3,29752,7016,24
pi5,ludcmp,BUS+MEM,1,4,2400000,0,1..3,15211,7016,14
pi5,ludcmp,BUS+MEM,2,4,2400000,0,1..3,2281,7016,0
pi5,ludcmp,BUS+MEM,3,4,2400000,0,1..3,2213,7016,0
pi5,ludcmp,BUS+MEM,4,4,2400000,0,1..3,5168,7016,2
pi5,ludcmp,BUS+MEM,5,4,2400000,0,1..3,3179,7016,1
pi5,ludcmp,BUS+MEM,6,4,2400000,0,1..3,2244,7016,0
pi5,ludcmp,BUS+MEM,7,4,2400000,0,1..3,2190,7016,0
pi5,ludcmp,BUS+MEM,8,4,2400000,0,1..3,2183,7016,0
pi5,ludcmp,BUS+MEM,9,4,2400000,0,1..3,2228,7016,0
pi5,ludcmp,BUS+MEM,10,4,2400000,0,1..3,2267,7016,0
pi5,ludcmp,BUS+MEM,11,4,2400000,0,1..3,2194,7016,0
pi5,ludcmp,BUS+MEM,12,4,2400000,0,1..3,2204,7016,0
pi5,ludcmp,BUS+MEM,13,4,2400000,0,1..3,4426,7016,1
pi5,ludcmp,BUS+MEM,14,4,2400000,0,1..3,3320,7016,1
pi5,ludcmp,BUS+MEM,15,4,2400000,0,1..3,4593,7016,0
pi5,ludcmp,BUS+MEM,16,4,2400000,0,1..3,2230,7016,1
pi5,ludcmp,BUS+MEM,17,4,2400000,0,1..3,5448,7016,2
pi5,ludcmp,BUS+MEM,18,4,2400000,0,1..3,3807,7016,1
pi5,ludcmp,BUS+MEM,19,4,2400000,0,1..3,4495,7016,0
pi5,ludcmp,BUS+MEM,20,4,2400000,0,1..3,2187,7016,0
pi5,ludcmp,BUS+MEM,21,4,2400000,0,1..3,3931,7016,1
pi5,ludcmp,BUS+MEM,22,4,2400000,0,1..3,2208,7016,0
pi5,ludcmp,BUS+MEM,23,4,2400000,0,1..3,2176,7016,0
pi5,ludcmp,BUS+MEM,24,4,2400000,0,1..3,3497,7016,1
pi5,ludcmp,BUS+MEM,25,4,2400000,0,1..3,2176,7016,0
pi5,ludcmp,BUS+MEM,26,4,2400000,0,1..3,2219,7016,0
pi5,ludcmp,BUS+MEM,27,4,2400000,0,1..3,2191,7016,0
pi5,ludcmp,BUS+MEM,28,4,2400000,0,1..3,2219,7016,0
pi5,ludcmp,BUS+MEM,29,4,2400000,0,1..3,2164,7016,0
pi5,ludcmp,BUS+MEM,30,4,2400000,0,1..3,2187,7016,0
pi5,ludcmp,BUS+MEM,31,4,2400000,0,1..3,2237,7016,0
pi5,ludcmp,BUS+MEM,32,4,2400000,0,1..3,3116,7016,1
pi5,ludcmp,BUS+MEM,33,4,2400000,0,1..3,7028,7016,0
pi5,ludcmp,BUS+MEM,34,4,2400000,0,1..3,5352,7016,2
pi5,ludcmp,BUS+MEM,35,4,2400000,0,1..3,2186,7016,0
pi5,ludcmp,BUS+MEM,36,4,2400000,0,1..3,2238,7016,0
pi5,ludcmp,BUS+MEM,37,4,2400000,0,1..3,2196,7016,0
pi5,ludcmp,BUS+MEM,38,4,2400000,0,1..3,4349,7016,1
pi5,ludcmp,BUS+MEM,39,4,2400000,0,1..3,2205,7016,0
pi5,ludcmp,BUS+MEM,40,4,2400000,0,1..3,6042,7016,3
pi5,ludcmp,BUS+MEM,41,4,2400000,0,1..3,2177,7016,0
pi5,ludcmp,BUS+MEM,42,4,2400000,0,1..3,3781,7016,0
pi5,ludcmp,BUS+MEM,43,4,2400000,0,1..3,2186,7016,0
pi5,ludcmp,BUS+MEM,44,4,2400000,0,1..3,2201,7016,0
pi5,ludcmp,BUS+MEM,45,4,2400000,0,1..3,2195,7016,0
pi5,ludcmp,BUS+MEM,46,4,2400000,0,1..3,3669,7016,1
pi5,ludcmp,BUS+MEM,47,4,2400000,0,1..3,4397,7016,1
pi5,ludcmp,BUS+MEM,48,4,2400000,0,1..3,2232,7016,0
pi5,ludcmp,BUS+MEM,49,4,2400000,0,1..3,2192,7016,0
pi5,ludcmp,BUS+MEM,50,4,2400000,0,1..3,2194,7016,0
pi5,ludcmp,BUS+MEM,51,4,2400000,0,1..3,4027,7016,0
pi5,ludcmp,BUS+MEM,52,4,2400000,0,1..3,2209,7016,0
pi5,ludcmp,BUS+MEM,53,4,2400000,0,1..3,2203,7016,0
pi5,ludcmp,BUS+MEM,54,4,2400000,0,1..3,6661,7016,0
pi5,ludcmp,BUS+MEM,55,4,2400000,0,1..3,2186,7016,0
pi5,ludcmp,BUS+MEM,56,4,2400000,0,1..3,2223,7016,0
pi5,ludcmp,BUS+MEM,57,4,2400000,0,1..3,2185,7016,0
pi5,ludcmp,BUS+MEM,58,4,2400000,0,1..3,4221,7016,1
pi5,ludcmp,BUS+MEM,59,4,2400000,0,1..3,3849,7016,1
pi5,ludcmp,BUS+MEM,60,4,2400000,0,1..3,8477,7016,2
pi5,ludcmp,BUS+MEM,61,4,2400000,0,1..3,4124,7016,0
pi5,ludcmp,BUS+MEM,62,4,2400000,0,1..3,5609,7016,1
pi5,ludcmp,BUS+MEM,63,4,2400000,0,1..3,3757,7016,1
pi5,ludcmp,BUS+MEM,64,4,2400000,0,1..3,2172,7016,0
pi5,ludcmp,BUS+MEM,65,4,2400000,0,1..3,8542,7016,0
pi5,ludcmp,BUS+MEM,66,4,2400000,0,1..3,2205,7016,0
pi5,ludcmp,BUS+MEM,67,4,2400000,0,1..3,9035,7016,1
pi5,ludcmp,BUS+MEM,68,4,2400000,0,1..3,2186,7016,0
pi5,ludcmp,BUS+MEM,69,4,2400000,0,1..3,2212,7016,0
pi5,ludcmp,BUS+MEM,70,4,2400000,0,1..3,2210,7016,0
pi5,ludcmp,BUS+MEM,71,4,2400000,0,1..3,3177,7016,0
pi5,ludcmp,BUS+MEM,72,4,2400000,0,1..3,4447,7016,2
pi5,ludcmp,BUS+MEM,73,4,2400000,0,1..3,2193,7016,0
pi5,ludcmp,BUS+MEM,74,4,2400000,0,1..3,5840,7016,1
pi5,ludcmp,BUS+MEM,75,4,2400000,0,1..3,3134,7016,1
pi5,ludcmp,BUS+MEM,76,4,2400000,0,1..3,2186,7016,0
pi5,ludcmp,BUS+MEM,77,4,2400000,0,1..3,4540,7016,1
pi5,ludcmp,BUS+MEM,78,4,2400000,0,1..3,2206,7016,0
pi5,ludcmp,BUS+MEM,79,4,2400000,0,1..3,2190,7016,0
pi5,ludcmp,BUS+MEM,80,4,2400000,0,1..3,3934,7016,1
pi5,ludcmp,BUS+MEM,81,4,2400000,0,1..3,2200,7016,0
pi5,ludcmp,BUS+MEM,82,4,2400000,0,1..3,4224,7016,0
pi5,ludcmp,BUS+MEM,83,4,2400000,0,1..3,2188,7016,0
pi5,ludcmp,BUS+MEM,84,4,2400000,0,1..3,3499,7016,0
pi5,ludcmp,BUS+MEM,85,4,2400000,0,1..3,3730,7016,0
pi5,ludcmp,BUS+MEM,86,4,2400000,0,1..3,2191,7016,0
pi5,ludcmp,BUS+MEM,87,4,2400000,0,1..3,5684,7016,1
pi5,ludcmp,BUS+MEM,88,4,2400000,0,1..3,4823,7016,1
pi5,ludcmp,BUS+MEM,89,4,2400000,0,1..3,5482,7016,2
pi5,ludcmp,BUS+MEM,90,4,2400000,0,1..3,2184,7016,0
pi5,ludcmp,BUS+MEM,91,4,2400000,0,1..3,2204,7016,0
pi5,ludcmp,BUS+MEM,92,4,2400000,0,1..3,2533,7016,1
pi5,ludcmp,BUS+MEM,93,4,2400000,0,1..3,2195,7016,0
pi5,ludcmp,BUS+MEM,94,4,2400000,0,1..3,2201,7016,0
pi5,ludcmp,BUS+MEM,95,4,2400000,0,1..3,2222,7016,0
pi5,ludcmp,BUS+MEM,96,4,2400000,0,1..3,2196,7016,0
pi5,ludcmp,BUS+MEM,97,4,2400000,0,1..3,2243,7016,0
