board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,matrix1,LLC+BUS,0,4,2400000,0,1..3,16870,19792,22
pi5,matrix1,LLC+BUS,1,4,2400000,0,1..3,11604,19792,17
pi5,matrix1,LLC+BUS,2,4,2400000,0,1..3,10233,19792,0
pi5,matrix1,LLC+BUS,3,4,2400000,0,1..3,8449,19792,2
pi5,matrix1,LLC+BUS,4,4,2400000,0,1..3,8191,19792,0
pi5,matrix1,LLC+BUS,5,4,2400000,0,1..3,8389,19792,0
pi5,matrix1,LLC+BUS,6,4,2400000,0,1..3,8539,19792,0
pi5,matrix1,LLC+BUS,7,4,2400000,0,1..3,9238,19792,1
pi5,matrix1,LLC+BUS,8,4,2400000,0,1..3,8595,19792,0
pi5,matrix1,LLC+BUS,9,4,2400000,0,1..3,8286,19792,0
pi5,matrix1,LLC+BUS,10,4,2400000,0,1..3,8324,19792,1
pi5,matrix1,LLC+BUS,11,4,2400000,0,1..3,9387,19792,2
pi5,matrix1,LLC+BUS,12,4,2400000,0,1..3,8330,19792,0
pi5,matrix1,LLC+BUS,13,4,2400000,0,1..3,8215,19792,1
pi5,matrix1,LLC+BUS,14,4,2400000,0,1..3,8448,19792,0
pi5,matrix1,LLC+BUS,15,4,2400000,0,1..3,8591,19792,0
pi5,matrix1,LLC+BUS,16,4,2400000,0,1..3,8482,19792,0
pi5,matrix1,LLC+BUS,17,4,2400000,0,1..3,8548,19792,0
pi5,matrix1,LLC+BUS,18,4,2400000,0,1..3,9154,19792,1
pi5,matrix1,LLC+BUS,19,4,2400000,0,1..3,8635,19792,0
pi5,matrix1,LLC+BUS,20,4,2400000,0,1..3,8683,19792,0
pi5,matrix1,LLC+BUS,21,4,2400000,0,1..3,8837,19792,1
pi5,matrix1,LLC+BUS,22,4,2400000,0,1..3,8891,19792,0
pi5,matrix1,LLC+BUS,23,4,2400000,0,1..3,9035,19792,1
pi5,matrix1,LLC+BUS,24,4,2400000,0,1..3,8872,19792,1
pi5,matrix1,LLC+BUS,25,4,2400000,0,1..3,9426,19792,0
pi5,matrix1,LLC+BUS,26,4,2400000,0,1..3,8414,19792,0
pi5,matrix1,LLC+BUS,27,4,2400000,0,1..3,9691,19792,1
pi5,matrix1,LLC+BUS,28,4,2400000,0,1..3,8913,19792,0
pi5,matrix1,LLC+BUS,29,4,2400000,0,1..3,10186,19792,1
pi5,matrix1,LLC+BUS,30,4,2400000,0,1..3,9780,19792,2
pi5,matrix1,LLC+BUS,31,4,2400000,0,1..3,15044,19792,2
pi5,matrix1,LLC+BUS,32,4,2400000,0,1..3,9259,19792,1
pi5,matrix1,LLC+BUS,33,4,2400000,0,1..3,8356,19792,5
pi5,matrix1,LLC+BUS,34,4,2400000,0,1..3,9466,19792,1
pi5,matrix1,LLC+BUS,35,4,2400000,0,1..3,8695,19792,1
pi5,matrix1,LLC+BUS,36,4,2400000,0,1..3,9411,19792,0
pi5,matrix1,LLC+BUS,37,4,2400000,0,1..3,8932,19792,0
pi5,matrix1,LLC+BUS,38,4,2400000,0,1..3,8710,19792,0
pi5,matrix1,LLC+BUS,39,4,2400000,0,1..3,8781,19792,0
pi5,matrix1,LLC+BUS,40,4,2400000,0,1..3,9283,19792,1
pi5,matrix1,LLC+BUS,41,4,2400000,0,1..3,8781,19792,1
pi5,matrix1,LLC+BUS,42,4,2400000,0,1..3,8277,19792,0
pi5,matrix1,LLC+BUS,43,4,2400000,0,1..3,9001,19792,0
pi5,matrix1,LLC+BUS,44,4,2400000,0,1..3,9143,19792,0
pi5,matrix1,LLC+BUS,45,4,2400000,0,1..3,8958,19792,0
pi5,matrix1,LLC+BUS,46,4,2400000,0,1..3,8884,19792,0
pi5,matrix1,LLC+BUS,47,4,2400000,0,1..3,9198,19792,0
pi5,matrix1,LLC+BUS,48,4,2400000,0,1..3,9255,19792,1
pi5,matrix1,LLC+BUS,49,4,2400000,0,1..3,8970,19792,0
pi5,matrix1,LLC+BUS,50,4,2400000,0,1..3,9170,19792,0
