board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,minver,LLC,0,4,2400000,0,1..3,7599,4322,17
pi5,minver,LLC,1,4,2400000,0,1..3,3055,4436,7
pi5,minver,LLC,2,4,2400000,0,1..3,1936,4437,0
pi5,minver,LLC,3,4,2400000,0,1..3,2039,4120,1
pi5,minver,LLC,4,4,2400000,0,1..3,2049,4436,0
pi5,minver,LLC,5,4,2400000,0,1..3,1977,4438,0
pi5,minver,LLC,6,4,2400000,0,1..3,1846,4119,0
pi5,minver,LLC,7,4,2400000,0,1..3,1654,4118,0
pi5,minver,LLC,8,4,2400000,0,1..3,2073,4118,1
pi5,minver,LLC,9,4,2400000,0,1..3,1663,4119,0
pi5,minver,LLC,10,4,2400000,0,1..3,1700,4118,4
pi5,minver,LLC,11,4,2400000,0,1..3,1363,4118,0
pi5,minver,LLC,12,4,2400000,0,1..3,1410,4118,2
pi5,minver,LLC,13,4,2400000,0,1..3,1308,4118,0
pi5,minver,LLC,14,4,2400000,0,1..3,1344,4118,2
pi5,minver,LLC,15,4,2400000,0,1..3,1330,4118,0
pi5,minver,LLC,16,4,2400000,0,1..3,1329,4118,0
pi5,minver,LLC,17,4,2400000,0,1..3,1557,4118,0
pi5,minver,LLC,18,4,2400000,0,1..3,1331,4118,0
pi5,minver,LLC,19,4,2400000,0,1..3,1379,4118,0
pi5,minver,LLC,20,4,2400000,0,1..3,1387,4118,0
pi5,minver,LLC,21,4,2400000,0,1..3,1344,4118,0
pi5,minver,LLC,22,4,2400000,0,1..3,1336,4118,0
pi5,minver,LLC,23,4,2400000,0,1..3,1342,4118,0
pi5,minver,LLC,24,4,2400000,0,1..3,1375,4118,1
pi5,minver,LLC,25,4,2400000,0,1..3,1331,4118,0
pi5,minver,LLC,26,4,2400000,0,1..3,1336,4118,0
pi5,minver,LLC,27,4,2400000,0,1..3,1337,4118,0
pi5,minver,LLC,28,4,2400000,0,1..3,1385,4118,0
pi5,minver,LLC,29,4,2400000,0,1..3,1339,4118,0
pi5,minver,LLC,30,4,2400000,0,1..3,1334,4118,0
pi5,minver,LLC,31,4,2400000,0,1..3,5087,4118,1
pi5,minver,LLC,32,4,2400000,0,1..3,2739,4118,0
pi5,minver,LLC,33,4,2400000,0,1..3,2497,4118,1
pi5,minver,LLC,34,4,2400000,0,1..3,1333,4118,0
pi5,minver,LLC,35,4,2400000,0,1..3,1337,4118,0
pi5,minver,LLC,36,4,2400000,0,1..3,2186,4118,0
pi5,minver,LLC,37,4,2400000,0,1..3,2181,4118,0
pi5,minver,LLC,38,4,2400000,0,1..3,1395,4118,0
pi5,minver,LLC,39,4,2400000,0,1..3,1393,4118,0
pi5,minver,LLC,40,4,2400000,0,1..3,1347,4118,0
pi5,minver,LLC,41,4,2400000,0,1..3,1326,4118,0
pi5,minver,LLC,42,4,2400000,0,1..3,1390,4118,0
pi5,minver,LLC,43,4,2400000,0,1..3,4292,4118,0
