board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,mpeg2,LLC+BUS,0,4,2400000,0,1..3,269015606,394397492,9210
pi5,mpeg2,LLC+BUS,1,4,2400000,0,1..3,269379006,394397492,8282
pi5,mpeg2,LLC+BUS,2,4,2400000,0,1..3,269176734,394397492,8842
pi5,mpeg2,LLC+BUS,3,4,2400000,0,1..3,268975496,394397492,8980
pi5,mpeg2,LLC+BUS,4,4,2400000,0,1..3,269390077,394397492,9450
pi5,mpeg2,LLC+BUS,5,4,2400000,0,1..3,269192099,394397492,8764
pi5,mpeg2,LLC+BUS,6,4,2400000,0,1..3,269207995,394397492,9741
pi5,mpeg2,LLC+BUS,7,4,2400000,0,1..3,269005760,394397492,9002
pi5,mpeg2,LLC+BUS,8,4,2400000,0,1..3,269193887,394397492,8655
pi5,mpeg2,LLC+BUS,9,4,2400000,0,1..3,268851628,394397492,8696
pi5,mpeg2,LLC+BUS,10,4,2400000,0,1..3,269341016,394397492,8234
pi5,mpeg2,LLC+BUS,11,4,2400000,0,1..3,269064973,394397492,9424
pi5,mpeg2,LLC+BUS,12,4,2400000,0,1..3,269094356,394397492,9241
pi5,mpeg2,LLC+BUS,13,4,2400000,0,1..3,269428739,394397492,8288
pi5,mpeg2,LLC+BUS,14,4,2400000,0,1..3,269287967,394397492,9241
pi5,mpeg2,LLC+BUS,15,4,2400000,0,1..3,269378006,394397492,8533
pi5,mpeg2,LLC+BUS,16,4,2400000,0,1..3,269390840,394397492,9163
pi5,mpeg2,LLC+BUS,17,4,2400000,0,1..3,268978851,394397492,8790
pi5,mpeg2,LLC+BUS,18,4,2400000,0,1..3,269627360,394397492,9628
pi5,mpeg2,LLC+BUS,19,4,2400000,0,1..3,269009390,394397492,9124
pi5,mpeg2,LLC+BUS,20,4,2400000,0,1..3,269314690,394397492,8309
pi5,mpeg2,LLC+BUS,21,4,2400000,0,1..3,269786577,394397492,9448
pi5,mpeg2,LLC+BUS,22,4,2400000,0,1..3,269060448,394397492,9530
pi5,mpeg2,LLC+BUS,23,4,2400000,0,1..3,269579623,394397492,9250
pi5,mpeg2,LLC+BUS,24,4,2400000,0,1..3,269795316,394397492,8448
pi5,mpeg2,LLC+BUS,25,4,2400000,0,1..3,269347047,394397492,8973
pi5,mpeg2,LLC+BUS,26,4,2400000,0,1..3,269062570,394397492,8698
pi5,mpeg2,LLC+BUS,27,4,2400000,0,1..3,268673867,394397492,9942
pi5,mpeg2,LLC+BUS,28,4,2400000,0,1..3,269089959,394397492,8535
pi5,mpeg2,LLC+BUS,29,4,2400000,0,1..3,268962539,394397492,9042
pi5,mpeg2,LLC+BUS,30,4,2400000,0,1..3,268896892,394397492,9256
pi5,mpeg2,LLC+BUS,31,4,2400000,0,1..3,268952325,394397492,9003
