board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,mpeg2,LLC+MEM,0,4,2400000,0,1..3,273022273,394397492,8222
pi5,mpeg2,LLC+MEM,1,4,2400000,0,1..3,272877420,394397492,8814
pi5,mpeg2,LLC+MEM,2,4,2400000,0,1..3,272304961,394397492,8987
pi5,mpeg2,LLC+MEM,3,4,2400000,0,1..3,272396905,394397492,8996
pi5,mpeg2,LLC+MEM,4,4,2400000,0,1..3,273151549,394397492,8388
pi5,mpeg2,LLC+MEM,5,4,2400000,0,1..3,273053615,394397492,9437
pi5,mpeg2,LLC+MEM,6,4,2400000,0,1..3,272492252,394397492,9217
pi5,mpeg2,LLC+MEM,7,4,2400000,0,1..3,273004027,394397492,8298
pi5,mpeg2,LLC+MEM,8,4,2400000,0,1..3,272747358,394397492,8676
pi5,mpeg2,LLC+MEM,9,4,2400000,0,1..3,272984558,394397492,8871
pi5,mpeg2,LLC+MEM,10,4,2400000,0,1..3,272727606,394397492,9724
pi5,mpeg2,LLC+MEM,11,4,2400000,0,1..3,273064240,394397492,9276
pi5,mpeg2,LLC+MEM,12,4,2400000,0,1..3,272929636,394397492,8799
pi5,mpeg2,LLC+MEM,13,4,2400000,0,1..3,273214000,394397492,8695
pi5,mpeg2,LLC+MEM,14,4,2400000,0,1..3,271983507,394397492,9986
pi5,mpeg2,LLC+MEM,15,4,2400000,0,1..3,272400357,394397492,8792
pi5,mpeg2,LLC+MEM,16,4,2400000,0,1..3,273060201,394397492,9302
pi5,mpeg2,LLC+MEM,17,4,2400000,0,1..3,272192357,394397492,9718
pi5,mpeg2,LLC+MEM,18,4,2400000,0,1..3,272780425,394397492,8588
pi5,mpeg2,LLC+MEM,19,4,2400000,0,1..3,272753322,394397492,9165
pi5,mpeg2,LLC+MEM,20,4,2400000,0,1..3,272555937,394397492,9346
pi5,mpeg2,LLC+MEM,21,4,2400000,0,1..3,273331834,394397492,8656
pi5,mpeg2,LLC+MEM,22,4,2400000,0,1..3,272378143,394397492,9271
pi5,mpeg2,LLC+MEM,23,4,2400000,0,1..3,272728896,394397492,9079
pi5,mpeg2,LLC+MEM,24,4,2400000,0,1..3,273270440,394397492,8281
pi5,mpeg2,LLC+MEM,25,4,2400000,0,1..3,273031790,394397492,9337
pi5,mpeg2,LLC+MEM,26,4,2400000,0,1..3,272624502,394397492,9921
pi5,mpeg2,LLC+MEM,27,4,2400000,0,1..3,272547590,394397492,8673
pi5,mpeg2,LLC+MEM,28,4,2400000,0,1..3,272745694,394397492,9203
pi5,mpeg2,LLC+MEM,29,4,2400000,0,1..3,272657122,394397492,9354
pi5,mpeg2,LLC+MEM,30,4,2400000,0,1..3,273681697,394397492,8603
pi5,mpeg2,LLC+MEM,31,4,2400000,0,1..3,272731709,394397492,9354
pi5,mpeg2,LLC+MEM,32,4,2400000,0,1..3,273413195,394397492,8464
pi5,mpeg2,LLC+MEM,33,4,2400000,0,1..3,272931347,394397492,9150
pi5,mpeg2,LLC+MEM,34,4,2400000,0,1..3,272783302,394397492,8663
pi5,mpeg2,LLC+MEM,35,4,2400000,0,1..3,273224724,394397492,9012
pi5,mpeg2,LLC+MEM,36,4,2400000,0,1..3,272309815,394397492,9268
pi5,mpeg2,LLC+MEM,37,4,2400000,0,1..3,272606952,394397492,9223
pi5,mpeg2,LLC+MEM,38,4,2400000,0,1..3,273294232,394397492,9112
pi5,mpeg2,LLC+MEM,39,4,2400000,0,1..3,272111111,394397492,9532
pi5,mpeg2,LLC+MEM,40,4,2400000,0,1..3,273236783,394397492,8389
pi5,mpeg2,LLC+MEM,41,4,2400000,0,1..3,273248098,394397492,9433
pi5,mpeg2,LLC+MEM,42,4,2400000,0,1..3,272833333,394397492,8279
pi5,mpeg2,LLC+MEM,43,4,2400000,0,1..3,273222231,394397492,8305
