board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,ndes,LLC,0,4,2400000,0,1..3,41426,83531,58
pi5,ndes,LLC,1,4,2400000,0,1..3,37585,83082,44
pi5,ndes,LLC,2,4,2400000,0,1..3,30370,83082,2
pi5,ndes,LLC,3,4,2400000,0,1..3,30141,83082,4
pi5,ndes,LLC,4,4,2400000,0,1..3,30689,83082,3
pi5,ndes,LLC,5,4,2400000,0,1..3,29757,83082,2
pi5,ndes,LLC,6,4,2400000,0,1..3,29128,83082,2
pi5,ndes,LLC,7,4,2400000,0,1..3,30121,83082,2
pi5,ndes,LLC,8,4,2400000,0,1..3,28931,83082,2
pi5,ndes,LLC,9,4,2400000,0,1..3,28976,83082,5
pi5,ndes,LLC,10,4,2400000,0,1..3,29376,83082,5
pi5,ndes,LLC,11,4,2400000,0,1..3,29509,83082,4
pi5,ndes,LLC,12,4,2400000,0,1..3,29693,83082,4
pi5,ndes,LLC,13,4,2400000,0,1..3,29694,83082,2
pi5,ndes,LLC,14,4,2400000,0,1..3,29332,83082,5
pi5,ndes,LLC,15,4,2400000,0,1..3,29467,83082,1
pi5,ndes,LLC,16,4,2400000,0,1..3,29312,83082,6
pi5,ndes,LLC,17,4,2400000,0,1..3,32107,83082,9
pi5,ndes,LLC,18,4,2400000,0,1..3,30271,83082,4
pi5,ndes,LLC,19,4,2400000,0,1..3,29294,83082,5
pi5,ndes,LLC,20,4,2400000,0,1..3,30409,83082,6
pi5,ndes,LLC,21,4,2400000,0,1..3,30118,83082,6
pi5,ndes,LLC,22,4,2400000,0,1..3,31545,83082,5
pi5,ndes,LLC,23,4,2400000,0,1..3,28974,83082,4
pi5,ndes,LLC,24,4,2400000,0,1..3,35037,83082,9
pi5,ndes,LLC,25,4,2400000,0,1..3,32176,83082,3
pi5,ndes,LLC,26,4,2400000,0,1..3,33351,83082,2
pi5,ndes,LLC,27,4,2400000,0,1..3,32222,83082,2
pi5,ndes,LLC,28,4,2400000,0,1..3,30784,83082,3
pi5,ndes,LLC,29,4,2400000,0,1..3,29239,83082,2
pi5,ndes,LLC,30,4,2400000,0,1..3,28760,83082,1
pi5,ndes,LLC,31,4,2400000,0,1..3,29459,83082,1
pi5,ndes,LLC,32,4,2400000,0,1..3,29079,83082,2
pi5,ndes,LLC,33,4,2400000,0,1..3,29034,83082,2
