board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,petrinet,BUS,0,4,2400000,0,1..3,35752,2173,15
pi5,petrinet,BUS,1,4,2400000,0,1..3,5299,2173,3
pi5,petrinet,BUS,2,4,2400000,0,1..3,846,2173,0
pi5,petrinet,BUS,3,4,2400000,0,1..3,845,2173,0
pi5,petrinet,BUS,4,4,2400000,0,1..3,816,2173,0
pi5,petrinet,BUS,5,4,2400000,0,1..3,827,2173,0
pi5,petrinet,BUS,6,4,2400000,0,1..3,726,2173,0
pi5,petrinet,BUS,7,4,2400000,0,1..3,712,2173,0
pi5,petrinet,BUS,8,4,2400000,0,1..3,701,2173,0
pi5,petrinet,BUS,9,4,2400000,0,1..3,735,2173,0
pi5,petrinet,BUS,10,4,2400000,0,1..3,696,2173,0
pi5,petrinet,BUS,11,4,2400000,0,1..3,811,2173,0
pi5,petrinet,BUS,12,4,2400000,0,1..3,2607,2173,1
pi5,petrinet,BUS,13,4,2400000,0,1..3,815,2173,0
pi5,petrinet,BUS,14,4,2400000,0,1..3,769,2173,0
pi5,petrinet,BUS,15,4,2400000,0,1..3,742,2173,0
pi5,petrinet,BUS,16,4,2400000,0,1..3,736,2173,0
pi5,petrinet,BUS,17,4,2400000,0,1..3,703,2173,0
pi5,petrinet,BUS,18,4,2400000,0,1..3,775,2173,0
pi5,petrinet,BUS,19,4,2400000,0,1..3,755,2173,0
pi5,petrinet,BUS,20,4,2400000,0,1..3,741,2173,0
pi5,petrinet,BUS,21,4,2400000,0,1..3,743,2173,0
pi5,petrinet,BUS,22,4,2400000,0,1..3,705,2173,0
pi5,petrinet,BUS,23,4,2400000,0,1..3,733,2173,0
pi5,petrinet,BUS,24,4,2400000,0,1..3,752,2173,0
pi5,petrinet,BUS,25,4,2400000,0,1..3,704,2173,0
pi5,petrinet,BUS,26,4,2400000,0,1..3,745,2173,0
pi5,petrinet,BUS,27,4,2400000,0,1..3,732,2173,0
pi5,petrinet,BUS,28,4,2400000,0,1..3,698,2173,0
pi5,petrinet,BUS,29,4,2400000,0,1..3,1716,2173,0
pi5,petrinet,BUS,30,4,2400000,0,1..3,713,2173,0
pi5,petrinet,BUS,31,4,2400000,0,1..3,736,2173,0
pi5,petrinet,BUS,32,4,2400000,0,1..3,712,2173,0
pi5,petrinet,BUS,33,4,2400000,0,1..3,795,2173,0
pi5,petrinet,BUS,34,4,2400000,0,1..3,709,2173,0
pi5,petrinet,BUS,35,4,2400000,0,1..3,733,2173,0
pi5,petrinet,BUS,36,4,2400000,0,1..3,699,2173,0
pi5,petrinet,BUS,37,4,2400000,0,1..3,778,2173,0
pi5,petrinet,BUS,38,4,2400000,0,1..3,722,2173,0
pi5,petrinet,BUS,39,4,2400000,0,1..3,733,2173,0
pi5,petrinet,BUS,40,4,2400000,0,1..3,2291,2173,1
pi5,petrinet,BUS,41,4,2400000,0,1..3,772,2173,0
pi5,petrinet,BUS,42,4,2400000,0,1..3,772,2173,0
pi5,petrinet,BUS,43,4,2400000,0,1..3,736,2173,0
pi5,petrinet,BUS,44,4,2400000,0,1..3,749,2173,0
pi5,petrinet,BUS,45,4,2400000,0,1..3,2602,2173,0
pi5,petrinet,BUS,46,4,2400000,0,1..3,5001,2173,1
pi5,petrinet,BUS,47,4,2400000,0,1..3,738,2173,0
pi5,petrinet,BUS,48,4,2400000,0,1..3,772,2173,0
pi5,petrinet,BUS,49,4,2400000,0,1..3,2368,2173,0
pi5,petrinet,BUS,50,4,2400000,0,1..3,709,2173,0
pi5,petrinet,BUS,51,4,2400000,0,1..3,2362,2173,0
pi5,petrinet,BUS,52,4,2400000,0,1..3,2843,2173,0
pi5,petrinet,BUS,53,4,2400000,0,1..3,785,2173,0
pi5,petrinet,BUS,54,4,2400000,0,1..3,4730,2173,1
pi5,petrinet,BUS,55,4,2400000,0,1..3,706,2173,0
pi5,petrinet,BUS,56,4,2400000,0,1..3,775,2173,0
pi5,petrinet,BUS,57,4,2400000,0,1..3,737,2173,0
pi5,petrinet,BUS,58,4,2400000,0,1..3,767,2173,0
pi5,petrinet,BUS,59,4,2400000,0,1..3,734,2173,0
pi5,petrinet,BUS,60,4,2400000,0,1..3,728,2173,0
pi5,petrinet,BUS,61,4,2400000,0,1..3,733,2173,0
pi5,petrinet,BUS,62,4,2400000,0,1..3,824,2173,0
pi5,petrinet,BUS,63,4,2400000,0,1..3,732,2173,0
pi5,petrinet,BUS,64,4,2400000,0,1..3,737,2173,0
pi5,petrinet,BUS,65,4,2400000,0,1..3,730,2173,0
pi5,petrinet,BUS,66,4,2400000,0,1..3,747,2173,0
pi5,petrinet,BUS,67,4,2400000,0,1..3,736,2173,0
pi5,petrinet,BUS,68,4,2400000,0,1..3,3012,2173,0
pi5,petrinet,BUS,69,4,2400000,0,1..3,807,2173,0
pi5,petrinet,BUS,70,4,2400000,0,1..3,766,2173,0
pi5,petrinet,BUS,71,4,2400000,0,1..3,2366,2173,0
pi5,petrinet,BUS,72,4,2400000,0,1..3,4811,2173,0
pi5,petrinet,BUS,73,4,2400000,0,1..3,2156,2173,0
pi5,petrinet,BUS,74,4,2400000,0,1..3,722,2173,0
pi5,petrinet,BUS,75,4,2400000,0,1..3,771,2173,0
pi5,petrinet,BUS,76,4,2400000,0,1..3,747,2173,0
pi5,petrinet,BUS,77,4,2400000,0,1..3,2965,2173,0
pi5,petrinet,BUS,78,4,2400000,0,1..3,3006,2173,1
pi5,petrinet,BUS,79,4,2400000,0,1..3,2939,2173,0
pi5,petrinet,BUS,80,4,2400000,0,1..3,2342,2173,0
pi5,petrinet,BUS,81,4,2400000,0,1..3,10217,2173,1
pi5,petrinet,BUS,82,4,2400000,0,1..3,1267,2173,0
pi5,petrinet,BUS,83,4,2400000,0,1..3,2385,2173,0
pi5,petrinet,BUS,84,4,2400000,0,1..3,787,2173,0
pi5,petrinet,BUS,85,4,2400000,0,1..3,1284,2173,1
pi5,petrinet,BUS,86,4,2400000,0,1..3,6330,2173,1
pi5,petrinet,BUS,87,4,2400000,0,1..3,710,2173,0
pi5,petrinet,BUS,88,4,2400000,0,1..3,738,2173,0
pi5,petrinet,BUS,89,4,2400000,0,1..3,771,2173,0
pi5,petrinet,BUS,90,4,2400000,0,1..3,2531,2173,0
pi5,petrinet,BUS,91,4,2400000,0,1..3,713,2173,0
pi5,petrinet,BUS,92,4,2400000,0,1..3,774,2173,0
pi5,petrinet,BUS,93,4,2400000,0,1..3,809,2173,0
pi5,petrinet,BUS,94,4,2400000,0,1..3,741,2173,0
pi5,petrinet,BUS,95,4,2400000,0,1..3,1544,2173,0
pi5,petrinet,BUS,96,4,2400000,0,1..3,741,2173,0
pi5,petrinet,BUS,97,4,2400000,0,1..3,734,2173,0
pi5,petrinet,BUS,98,4,2400000,0,1..3,760,2173,0
pi5,petrinet,BUS,99,4,2400000,0,1..3,769,2173,0
pi5,petrinet,BUS,100,4,2400000,0,1..3,759,2173,0
pi5,petrinet,BUS,101,4,2400000,0,1..3,771,2173,0
pi5,petrinet,BUS,102,4,2400000,0,1..3,1506,2173,0
pi5,petrinet,BUS,103,4,2400000,0,1..3,773,2173,0
pi5,petrinet,BUS,104,4,2400000,0,1..3,739,2173,0
pi5,petrinet,BUS,105,4,2400000,0,1..3,713,2173,0
pi5,petrinet,BUS,106,4,2400000,0,1..3,1208,2173,0
pi5,petrinet,BUS,107,4,2400000,0,1..3,714,2173,0
pi5,petrinet,BUS,108,4,2400000,0,1..3,754,2173,0
pi5,petrinet,BUS,109,4,2400000,0,1..3,781,2173,0
pi5,petrinet,BUS,110,4,2400000,0,1..3,748,2173,0
pi5,petrinet,BUS,111,4,2400000,0,1..3,732,2173,0
pi5,petrinet,BUS,112,4,2400000,0,1..3,739,2173,0
pi5,petrinet,BUS,113,4,2400000,0,1..3,703,2173,0
pi5,petrinet,BUS,114,4,2400000,0,1..3,808,2173,0
pi5,petrinet,BUS,115,4,2400000,0,1..3,711,2173,0
pi5,petrinet,BUS,116,4,2400000,0,1..3,708,2173,0
pi5,petrinet,BUS,117,4,2400000,0,1..3,704,2173,0
pi5,petrinet,BUS,118,4,2400000,0,1..3,731,2173,0
pi5,petrinet,BUS,119,4,2400000,0,1..3,839,2173,0
pi5,petrinet,BUS,120,4,2400000,0,1..3,780,2173,0
pi5,petrinet,BUS,121,4,2400000,0,1..3,771,2173,0
pi5,petrinet,BUS,122,4,2400000,0,1..3,734,2173,0
pi5,petrinet,BUS,123,4,2400000,0,1..3,693,2173,0
pi5,petrinet,BUS,124,4,2400000,0,1..3,714,2173,0
pi5,petrinet,BUS,125,4,2400000,0,1..3,732,2173,0
pi5,petrinet,BUS,126,4,2400000,0,1..3,706,2173,0
pi5,petrinet,BUS,127,4,2400000,0,1..3,736,2173,1
pi5,petrinet,BUS,128,4,2400000,0,1..3,706,2173,0
pi5,petrinet,BUS,129,4,2400000,0,1..3,701,2173,0
pi5,petrinet,BUS,130,4,2400000,0,1..3,710,2173,0
pi5,petrinet,BUS,131,4,2400000,0,1..3,708,2173,0
pi5,petrinet,BUS,132,4,2400000,0,1..3,706,2173,0
pi5,petrinet,BUS,133,4,2400000,0,1..3,765,2173,0
pi5,petrinet,BUS,134,4,2400000,0,1..3,769,2173,0
pi5,petrinet,BUS,135,4,2400000,0,1..3,778,2173,0
pi5,petrinet,BUS,136,4,2400000,0,1..3,728,2173,0
pi5,petrinet,BUS,137,4,2400000,0,1..3,698,2173,0
pi5,petrinet,BUS,138,4,2400000,0,1..3,708,2173,0
pi5,petrinet,BUS,139,4,2400000,0,1..3,818,2173,0
pi5,petrinet,BUS,140,4,2400000,0,1..3,763,2173,0
pi5,petrinet,BUS,141,4,2400000,0,1..3,695,2173,0
pi5,petrinet,BUS,142,4,2400000,0,1..3,816,2173,0
pi5,petrinet,BUS,143,4,2400000,0,1..3,751,2173,0
pi5,petrinet,BUS,144,4,2400000,0,1..3,732,2173,0
pi5,petrinet,BUS,145,4,2400000,0,1..3,765,2173,0
pi5,petrinet,BUS,146,4,2400000,0,1..3,737,2173,0
pi5,petrinet,BUS,147,4,2400000,0,1..3,767,2173,0
