board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,petrinet,MEM,0,4,2400000,0,1..3,36279,2173,14
pi5,petrinet,MEM,1,4,2400000,0,1..3,40137,2173,11
pi5,petrinet,MEM,2,4,2400000,0,1..3,8850,2173,1
pi5,petrinet,MEM,3,4,2400000,0,1..3,1657,2173,0
pi5,petrinet,MEM,4,4,2400000,0,1..3,787,2173,0
pi5,petrinet,MEM,5,4,2400000,0,1..3,788,2173,0
pi5,petrinet,MEM,6,4,2400000,0,1..3,725,2173,0
pi5,petrinet,MEM,7,4,2400000,0,1..3,719,2173,0
pi5,petrinet,MEM,8,4,2400000,0,1..3,1895,2173,0
pi5,petrinet,MEM,9,4,2400000,0,1..3,719,2173,0
pi5,petrinet,MEM,10,4,2400000,0,1..3,717,2173,0
pi5,petrinet,MEM,11,4,2400000,0,1..3,716,2173,0
pi5,petrinet,MEM,12,4,2400000,0,1..3,729,2173,0
pi5,petrinet,MEM,13,4,2400000,0,1..3,711,2173,0
pi5,petrinet,MEM,14,4,2400000,0,1..3,1392,2173,0
pi5,petrinet,MEM,15,4,2400000,0,1..3,726,2173,0
pi5,petrinet,MEM,16,4,2400000,0,1..3,3673,2173,1
pi5,petrinet,MEM,17,4,2400000,0,1..3,777,2173,0
pi5,petrinet,MEM,18,4,2400000,0,1..3,689,2173,0
pi5,petrinet,MEM,19,4,2400000,0,1..3,730,2173,0
pi5,petrinet,MEM,20,4,2400000,0,1..3,688,2173,0
pi5,petrinet,MEM,21,4,2400000,0,1..3,2034,2173,0
pi5,petrinet,MEM,22,4,2400000,0,1..3,689,2173,0
pi5,petrinet,MEM,23,4,2400000,0,1..3,717,2173,0
pi5,petrinet,MEM,24,4,2400000,0,1..3,718,2173,0
pi5,petrinet,MEM,25,4,2400000,0,1..3,2498,2173,0
pi5,petrinet,MEM,26,4,2400000,0,1..3,728,2173,0
pi5,petrinet,MEM,27,4,2400000,0,1..3,13270,2173,0
pi5,petrinet,MEM,28,4,2400000,0,1..3,2241,2173,1
pi5,petrinet,MEM,29,4,2400000,0,1..3,2265,2173,1
