board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,petrinet,Mix,0,4,2400000,0,1..3,57627,2173,15
pi5,petrinet,Mix,1,4,2400000,0,1..3,13203,2173,8
pi5,petrinet,Mix,2,4,2400000,0,1..3,1104,2173,2
pi5,petrinet,Mix,3,4,2400000,0,1..3,722,2173,0
pi5,petrinet,Mix,4,4,2400000,0,1..3,811,2173,0
pi5,petrinet,Mix,5,4,2400000,0,1..3,746,2173,0
pi5,petrinet,Mix,6,4,2400000,0,1..3,1818,2173,0
pi5,petrinet,Mix,7,4,2400000,0,1..3,711,2173,0
pi5,petrinet,Mix,8,4,2400000,0,1..3,1855,2173,0
pi5,petrinet,Mix,9,4,2400000,0,1..3,706,2173,0
pi5,petrinet,Mix,10,4,2400000,0,1..3,750,2173,0
pi5,petrinet,Mix,11,4,2400000,0,1..3,678,2173,0
pi5,petrinet,Mix,12,4,2400000,0,1..3,735,2173,0
pi5,petrinet,Mix,13,4,2400000,0,1..3,1787,2173,0
pi5,petrinet,Mix,14,4,2400000,0,1..3,772,2173,0
pi5,petrinet,Mix,15,4,2400000,0,1..3,760,2173,0
pi5,petrinet,Mix,16,4,2400000,0,1..3,705,2173,0
pi5,petrinet,Mix,17,4,2400000,0,1..3,713,2173,0
pi5,petrinet,Mix,18,4,2400000,0,1..3,2058,2173,1
pi5,petrinet,Mix,19,4,2400000,0,1..3,1675,2173,1
pi5,petrinet,Mix,20,4,2400000,0,1..3,682,2173,0
pi5,petrinet,Mix,21,4,2400000,0,1..3,782,2173,0
pi5,petrinet,Mix,22,4,2400000,0,1..3,709,2173,0
pi5,petrinet,Mix,23,4,2400000,0,1..3,735,2173,0
pi5,petrinet,Mix,24,4,2400000,0,1..3,744,2173,0
pi5,petrinet,Mix,25,4,2400000,0,1..3,745,2173,0
pi5,petrinet,Mix,26,4,2400000,0,1..3,752,2173,0
pi5,petrinet,Mix,27,4,2400000,0,1..3,745,2173,0
pi5,petrinet,Mix,28,4,2400000,0,1..3,1834,2173,1
pi5,petrinet,Mix,29,4,2400000,0,1..3,665,2173,0
pi5,petrinet,Mix,30,4,2400000,0,1..3,743,2173,0
pi5,petrinet,Mix,31,4,2400000,0,1..3,740,2173,0
pi5,petrinet,Mix,32,4,2400000,0,1..3,700,2173,0
pi5,petrinet,Mix,33,4,2400000,0,1..3,734,2173,0
pi5,petrinet,Mix,34,4,2400000,0,1..3,677,2173,0
pi5,petrinet,Mix,35,4,2400000,0,1..3,711,2173,0
pi5,petrinet,Mix,36,4,2400000,0,1..3,679,2173,0
pi5,petrinet,Mix,37,4,2400000,0,1..3,711,2173,0
pi5,petrinet,Mix,38,4,2400000,0,1..3,702,2173,1
pi5,petrinet,Mix,39,4,2400000,0,1..3,673,2173,0
pi5,petrinet,Mix,40,4,2400000,0,1..3,744,2173,0
pi5,petrinet,Mix,41,4,2400000,0,1..3,673,2173,0
pi5,petrinet,Mix,42,4,2400000,0,1..3,682,2173,0
pi5,petrinet,Mix,43,4,2400000,0,1..3,671,2173,0
pi5,petrinet,Mix,44,4,2400000,0,1..3,678,2173,0
pi5,petrinet,Mix,45,4,2400000,0,1..3,673,2173,0
pi5,petrinet,Mix,46,4,2400000,0,1..3,673,2173,0
pi5,petrinet,Mix,47,4,2400000,0,1..3,681,2173,0
pi5,petrinet,Mix,48,4,2400000,0,1..3,680,2173,0
pi5,petrinet,Mix,49,4,2400000,0,1..3,665,2173,0
pi5,petrinet,Mix,50,4,2400000,0,1..3,1501,2173,0
pi5,petrinet,Mix,51,4,2400000,0,1..3,670,2173,0
pi5,petrinet,Mix,52,4,2400000,0,1..3,721,2173,0
pi5,petrinet,Mix,53,4,2400000,0,1..3,671,2173,0
pi5,petrinet,Mix,54,4,2400000,0,1..3,3119,2173,0
pi5,petrinet,Mix,55,4,2400000,0,1..3,1938,2173,0
pi5,petrinet,Mix,56,4,2400000,0,1..3,722,2173,0
pi5,petrinet,Mix,57,4,2400000,0,1..3,713,2173,0
pi5,petrinet,Mix,58,4,2400000,0,1..3,3958,2173,0
pi5,petrinet,Mix,59,4,2400000,0,1..3,775,2173,0
pi5,petrinet,Mix,60,4,2400000,0,1..3,4041,2173,2
pi5,petrinet,Mix,61,4,2400000,0,1..3,717,2173,0
pi5,petrinet,Mix,62,4,2400000,0,1..3,4301,2173,0
pi5,petrinet,Mix,63,4,2400000,0,1..3,1707,2173,0
pi5,petrinet,Mix,64,4,2400000,0,1..3,728,2173,0
pi5,petrinet,Mix,65,4,2400000,0,1..3,783,2173,0
pi5,petrinet,Mix,66,4,2400000,0,1..3,739,2173,0
pi5,petrinet,Mix,67,4,2400000,0,1..3,679,2173,0
pi5,petrinet,Mix,68,4,2400000,0,1..3,693,2173,0
pi5,petrinet,Mix,69,4,2400000,0,1..3,4070,2173,0
pi5,petrinet,Mix,70,4,2400000,0,1..3,2025,2173,0
pi5,petrinet,Mix,71,4,2400000,0,1..3,680,2173,0
pi5,petrinet,Mix,72,4,2400000,0,1..3,758,2173,0
pi5,petrinet,Mix,73,4,2400000,0,1..3,751,2173,0
pi5,petrinet,Mix,74,4,2400000,0,1..3,732,2173,0
pi5,petrinet,Mix,75,4,2400000,0,1..3,685,2173,0
pi5,petrinet,Mix,76,4,2400000,0,1..3,4093,2173,0
pi5,petrinet,Mix,77,4,2400000,0,1..3,9726,2173,2
pi5,petrinet,Mix,78,4,2400000,0,1..3,3164,2173,2
pi5,petrinet,Mix,79,4,2400000,0,1..3,2033,2173,0
pi5,petrinet,Mix,80,4,2400000,0,1..3,1981,2173,0
pi5,petrinet,Mix,81,4,2400000,0,1..3,763,2173,0
pi5,petrinet,Mix,82,4,2400000,0,1..3,690,2173,0
pi5,petrinet,Mix,83,4,2400000,0,1..3,777,2173,0
pi5,petrinet,Mix,84,4,2400000,0,1..3,2661,2173,0
pi5,petrinet,Mix,85,4,2400000,0,1..3,720,2173,0
pi5,petrinet,Mix,86,4,2400000,0,1..3,821,2173,0
pi5,petrinet,Mix,87,4,2400000,0,1..3,762,2173,0
pi5,petrinet,Mix,88,4,2400000,0,1..3,777,2173,0
pi5,petrinet,Mix,89,4,2400000,0,1..3,2162,2173,0
pi5,petrinet,Mix,90,4,2400000,0,1..3,682,2173,0
pi5,petrinet,Mix,91,4,2400000,0,1..3,707,2173,0
pi5,petrinet,Mix,92,4,2400000,0,1..3,695,2173,0
pi5,petrinet,Mix,93,4,2400000,0,1..3,698,2173,0
pi5,petrinet,Mix,94,4,2400000,0,1..3,731,2173,0
pi5,petrinet,Mix,95,4,2400000,0,1..3,693,2173,0
pi5,petrinet,Mix,96,4,2400000,0,1..3,688,2173,0
pi5,petrinet,Mix,97,4,2400000,0,1..3,674,2173,0
pi5,petrinet,Mix,98,4,2400000,0,1..3,685,2173,0
pi5,petrinet,Mix,99,4,2400000,0,1..3,3160,2173,0
pi5,petrinet,Mix,100,4,2400000,0,1..3,689,2173,0
pi5,petrinet,Mix,101,4,2400000,0,1..3,2160,2173,0
pi5,petrinet,Mix,102,4,2400000,0,1..3,694,2173,0
pi5,petrinet,Mix,103,4,2400000,0,1..3,694,2173,0
pi5,petrinet,Mix,104,4,2400000,0,1..3,753,2173,0
pi5,petrinet,Mix,105,4,2400000,0,1..3,681,2173,0
pi5,petrinet,Mix,106,4,2400000,0,1..3,13003,2173,5
pi5,petrinet,Mix,107,4,2400000,0,1..3,718,2173,0
pi5,petrinet,Mix,108,4,2400000,0,1..3,751,2173,0
pi5,petrinet,Mix,109,4,2400000,0,1..3,749,2173,0
pi5,petrinet,Mix,110,4,2400000,0,1..3,764,2173,0
pi5,petrinet,Mix,111,4,2400000,0,1..3,2323,2173,1
pi5,petrinet,Mix,112,4,2400000,0,1..3,8679,2173,1
pi5,petrinet,Mix,113,4,2400000,0,1..3,724,2173,0
pi5,petrinet,Mix,114,4,2400000,0,1..3,793,2173,0
pi5,petrinet,Mix,115,4,2400000,0,1..3,785,2173,0
pi5,petrinet,Mix,116,4,2400000,0,1..3,1858,2173,0
pi5,petrinet,Mix,117,4,2400000,0,1..3,3528,2173,0
pi5,petrinet,Mix,118,4,2400000,0,1..3,722,2173,0
pi5,petrinet,Mix,119,4,2400000,0,1..3,686,2173,0
pi5,petrinet,Mix,120,4,2400000,0,1..3,2697,2173,0
pi5,petrinet,Mix,121,4,2400000,0,1..3,756,2173,0
pi5,petrinet,Mix,122,4,2400000,0,1..3,684,2173,0
pi5,petrinet,Mix,123,4,2400000,0,1..3,759,2173,0
pi5,petrinet,Mix,124,4,2400000,0,1..3,690,2173,0
pi5,petrinet,Mix,125,4,2400000,0,1..3,715,2173,0
pi5,petrinet,Mix,126,4,2400000,0,1..3,740,2173,0
pi5,petrinet,Mix,127,4,2400000,0,1..3,718,2173,0
pi5,petrinet,Mix,128,4,2400000,0,1..3,751,2173,0
pi5,petrinet,Mix,129,4,2400000,0,1..3,691,2173,0
