board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,petrinet,solo,0,1,2400000,0,,6370,2173,14
pi5,petrinet,solo,1,1,2400000,0,,1302,2173,9
pi5,petrinet,solo,2,1,2400000,0,,865,2173,0
pi5,petrinet,solo,3,1,2400000,0,,795,2173,0
pi5,petrinet,solo,4,1,2400000,0,,787,2173,0
pi5,petrinet,solo,5,1,2400000,0,,714,2173,0
pi5,petrinet,solo,6,1,2400000,0,,744,2173,0
pi5,petrinet,solo,7,1,2400000,0,,789,2173,0
pi5,petrinet,solo,8,1,2400000,0,,688,2173,0
pi5,petrinet,solo,9,1,2400000,0,,710,2173,0
pi5,petrinet,solo,10,1,2400000,0,,836,2173,0
pi5,petrinet,solo,11,1,2400000,0,,842,2173,0
pi5,petrinet,solo,12,1,2400000,0,,726,2173,0
pi5,petrinet,solo,13,1,2400000,0,,707,2173,0
pi5,petrinet,solo,14,1,2400000,0,,708,2173,0
pi5,petrinet,solo,15,1,2400000,0,,707,2173,0
pi5,petrinet,solo,16,1,2400000,0,,740,2173,0
pi5,petrinet,solo,17,1,2400000,0,,706,2173,0
pi5,petrinet,solo,18,1,2400000,0,,741,2173,0
pi5,petrinet,solo,19,1,2400000,0,,711,2173,0
pi5,petrinet,solo,20,1,2400000,0,,747,2173,0
pi5,petrinet,solo,21,1,2400000,0,,744,2173,0
pi5,petrinet,solo,22,1,2400000,0,,690,2173,0
pi5,petrinet,solo,23,1,2400000,0,,737,2173,0
pi5,petrinet,solo,24,1,2400000,0,,712,2173,0
pi5,petrinet,solo,25,1,2400000,0,,708,2173,0
pi5,petrinet,solo,26,1,2400000,0,,919,2173,1
pi5,petrinet,solo,27,1,2400000,0,,706,2173,0
pi5,petrinet,solo,28,1,2400000,0,,739,2173,0
pi5,petrinet,solo,29,1,2400000,0,,741,2173,0
pi5,petrinet,solo,30,1,2400000,0,,674,2173,0
pi5,petrinet,solo,31,1,2400000,0,,791,2173,0
pi5,petrinet,solo,32,1,2400000,0,,709,2173,0
pi5,petrinet,solo,33,1,2400000,0,,748,2173,0
pi5,petrinet,solo,34,1,2400000,0,,673,2173,0
pi5,petrinet,solo,35,1,2400000,0,,679,2173,0
pi5,petrinet,solo,36,1,2400000,0,,668,2173,0
pi5,petrinet,solo,37,1,2400000,0,,678,2173,0
pi5,petrinet,solo,38,1,2400000,0,,668,2173,0
pi5,petrinet,solo,39,1,2400000,0,,679,2173,0
pi5,petrinet,solo,40,1,2400000,0,,673,2173,0
pi5,petrinet,solo,41,1,2400000,0,,681,2173,0
pi5,petrinet,solo,42,1,2400000,0,,675,2173,0
pi5,petrinet,solo,43,1,2400000,0,,678,2173,0
pi5,petrinet,solo,44,1,2400000,0,,675,2173,0
pi5,petrinet,solo,45,1,2400000,0,,676,2173,0
pi5,petrinet,solo,46,1,2400000,0,,668,2173,0
pi5,petrinet,solo,47,1,2400000,0,,699,2173,0
