board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,powerwindow,LLC+BUS,0,4,2400000,0,1..3,1037400,2190791,694
pi5,powerwindow,LLC+BUS,1,4,2400000,0,1..3,911878,2190791,548
pi5,powerwindow,LLC+BUS,2,4,2400000,0,1..3,983960,2190791,387
pi5,powerwindow,LLC+BUS,3,4,2400000,0,1..3,884840,2190791,352
pi5,powerwindow,LLC+BUS,4,4,2400000,0,1..3,840181,2190791,301
pi5,powerwindow,LLC+BUS,5,4,2400000,0,1..3,954646,2190791,404
pi5,powerwindow,LLC+BUS,6,4,2400000,0,1..3,919809,2190791,499
pi5,powerwindow,LLC+BUS,7,4,2400000,0,1..3,922175,2190791,380
pi5,powerwindow,LLC+BUS,8,4,2400000,0,1..3,864397,2190791,318
pi5,powerwindow,LLC+BUS,9,4,2400000,0,1..3,913716,2190791,320
pi5,powerwindow,LLC+BUS,10,4,2400000,0,1..3,945268,2190791,370
pi5,powerwindow,LLC+BUS,11,4,2400000,0,1..3,1135153,2190791,583
pi5,powerwindow,LLC+BUS,12,4,2400000,0,1..3,1062084,2190791,531
pi5,powerwindow,LLC+BUS,13,4,2400000,0,1..3,841260,2190791,318
pi5,powerwindow,LLC+BUS,14,4,2400000,0,1..3,835011,2190791,238
pi5,powerwindow,LLC+BUS,15,4,2400000,0,1..3,1041843,2190791,409
pi5,powerwindow,LLC+BUS,16,4,2400000,0,1..3,974121,2190791,482
pi5,powerwindow,LLC+BUS,17,4,2400000,0,1..3,988340,2190791,462
pi5,powerwindow,LLC+BUS,18,4,2400000,0,1..3,924016,2190791,417
pi5,powerwindow,LLC+BUS,19,4,2400000,0,1..3,827826,2190791,253
pi5,powerwindow,LLC+BUS,20,4,2400000,0,1..3,999754,2190791,310
pi5,powerwindow,LLC+BUS,21,4,2400000,0,1..3,840594,2190791,291
pi5,powerwindow,LLC+BUS,22,4,2400000,0,1..3,1133717,2190791,472
pi5,powerwindow,LLC+BUS,23,4,2400000,0,1..3,939121,2190791,459
pi5,powerwindow,LLC+BUS,24,4,2400000,0,1..3,814257,2190791,336
pi5,powerwindow,LLC+BUS,25,4,2400000,0,1..3,942615,2190791,263
pi5,powerwindow,LLC+BUS,26,4,2400000,0,1..3,977814,2190791,449
pi5,powerwindow,LLC+BUS,27,4,2400000,0,1..3,802358,2190791,240
pi5,powerwindow,LLC+BUS,28,4,2400000,0,1..3,1246795,2190791,512
pi5,powerwindow,LLC+BUS,29,4,2400000,0,1..3,841881,2190791,455
pi5,powerwindow,LLC+BUS,30,4,2400000,0,1..3,840965,2190791,284
pi5,powerwindow,LLC+BUS,31,4,2400000,0,1..3,951319,2190791,388
pi5,powerwindow,LLC+BUS,32,4,2400000,0,1..3,826817,2190791,279
pi5,powerwindow,LLC+BUS,33,4,2400000,0,1..3,1092874,2190791,404
pi5,powerwindow,LLC+BUS,34,4,2400000,0,1..3,915113,2190791,490
pi5,powerwindow,LLC+BUS,35,4,2400000,0,1..3,878765,2190791,304
pi5,powerwindow,LLC+BUS,36,4,2400000,0,1..3,870891,2190791,334
pi5,powerwindow,LLC+BUS,37,4,2400000,0,1..3,881488,2190791,301
pi5,powerwindow,LLC+BUS,38,4,2400000,0,1..3,897808,2190791,358
pi5,powerwindow,LLC+BUS,39,4,2400000,0,1..3,1057089,2190791,399
pi5,powerwindow,LLC+BUS,40,4,2400000,0,1..3,1019708,2190791,519
pi5,powerwindow,LLC+BUS,41,4,2400000,0,1..3,850976,2190791,300
pi5,powerwindow,LLC+BUS,42,4,2400000,0,1..3,885978,2190791,309
pi5,powerwindow,LLC+BUS,43,4,2400000,0,1..3,929436,2190791,353
pi5,powerwindow,LLC+BUS,44,4,2400000,0,1..3,818281,2190791,263
pi5,powerwindow,LLC+BUS,45,4,2400000,0,1..3,1151802,2190791,469
pi5,powerwindow,LLC+BUS,46,4,2400000,0,1..3,862838,2190791,432
pi5,powerwindow,LLC+BUS,47,4,2400000,0,1..3,907065,2190791,261
pi5,powerwindow,LLC+BUS,48,4,2400000,0,1..3,939401,2190791,378
pi5,powerwindow,LLC+BUS,49,4,2400000,0,1..3,849562,2190791,286
pi5,powerwindow,LLC+BUS,50,4,2400000,0,1..3,963632,2190791,326
pi5,powerwindow,LLC+BUS,51,4,2400000,0,1..3,1073670,2190791,593
pi5,powerwindow,LLC+BUS,52,4,2400000,0,1..3,900839,2190791,372
pi5,powerwindow,LLC+BUS,53,4,2400000,0,1..3,1055817,2190791,433
pi5,powerwindow,LLC+BUS,54,4,2400000,0,1..3,850852,2190791,342
pi5,powerwindow,LLC+BUS,55,4,2400000,0,1..3,816272,2190791,302
pi5,powerwindow,LLC+BUS,56,4,2400000,0,1..3,968438,2190791,339
pi5,powerwindow,LLC+BUS,57,4,2400000,0,1..3,919984,2190791,563
pi5,powerwindow,LLC+BUS,58,4,2400000,0,1..3,898857,2190791,312
pi5,powerwindow,LLC+BUS,59,4,2400000,0,1..3,852365,2190791,366
pi5,powerwindow,LLC+BUS,60,4,2400000,0,1..3,944867,2190791,322
pi5,powerwindow,LLC+BUS,61,4,2400000,0,1..3,822970,2190791,331
pi5,powerwindow,LLC+BUS,62,4,2400000,0,1..3,855127,2190791,230
pi5,powerwindow,LLC+BUS,63,4,2400000,0,1..3,1128842,2190791,536
pi5,powerwindow,LLC+BUS,64,4,2400000,0,1..3,934918,2190791,413
pi5,powerwindow,LLC+BUS,65,4,2400000,0,1..3,935487,2190791,367
pi5,powerwindow,LLC+BUS,66,4,2400000,0,1..3,901448,2190791,288
pi5,powerwindow,LLC+BUS,67,4,2400000,0,1..3,895288,2190791,365
pi5,powerwindow,LLC+BUS,68,4,2400000,0,1..3,878071,2190791,296
pi5,powerwindow,LLC+BUS,69,4,2400000,0,1..3,1099693,2190791,533
pi5,powerwindow,LLC+BUS,70,4,2400000,0,1..3,923179,2190791,416
pi5,powerwindow,LLC+BUS,71,4,2400000,0,1..3,842866,2190791,356
pi5,powerwindow,LLC+BUS,72,4,2400000,0,1..3,841656,2190791,266
pi5,powerwindow,LLC+BUS,73,4,2400000,0,1..3,894841,2190791,335
pi5,powerwindow,LLC+BUS,74,4,2400000,0,1..3,893643,2190791,312
pi5,powerwindow,LLC+BUS,75,4,2400000,0,1..3,1156203,2190791,560
pi5,powerwindow,LLC+BUS,76,4,2400000,0,1..3,918066,2190791,396
pi5,powerwindow,LLC+BUS,77,4,2400000,0,1..3,901559,2190791,359
pi5,powerwindow,LLC+BUS,78,4,2400000,0,1..3,961980,2190791,340
pi5,powerwindow,LLC+BUS,79,4,2400000,0,1..3,849245,2190791,344
pi5,powerwindow,LLC+BUS,80,4,2400000,0,1..3,839823,2190791,249
pi5,powerwindow,LLC+BUS,81,4,2400000,0,1..3,1138201,2190791,567
pi5,powerwindow,LLC+BUS,82,4,2400000,0,1..3,861662,2190791,360
pi5,powerwindow,LLC+BUS,83,4,2400000,0,1..3,1022588,2190791,416
pi5,powerwindow,LLC+BUS,84,4,2400000,0,1..3,876362,2190791,300
pi5,powerwindow,LLC+BUS,85,4,2400000,0,1..3,896030,2190791,325
pi5,powerwindow,LLC+BUS,86,4,2400000,0,1..3,1012946,2190791,408
pi5,powerwindow,LLC+BUS,87,4,2400000,0,1..3,975667,2190791,577
pi5,powerwindow,LLC+BUS,88,4,2400000,0,1..3,1080282,2190791,388
pi5,powerwindow,LLC+BUS,89,4,2400000,0,1..3,991623,2190791,433
pi5,powerwindow,LLC+BUS,90,4,2400000,0,1..3,807118,2190791,237
pi5,powerwindow,LLC+BUS,91,4,2400000,0,1..3,1016708,2190791,374
pi5,powerwindow,LLC+BUS,92,4,2400000,0,1..3,983726,2190791,456
pi5,powerwindow,LLC+BUS,93,4,2400000,0,1..3,987283,2190791,498
pi5,powerwindow,LLC+BUS,94,4,2400000,0,1..3,981335,2190791,392
pi5,powerwindow,LLC+BUS,95,4,2400000,0,1..3,812495,2190791,285
pi5,powerwindow,LLC+BUS,96,4,2400000,0,1..3,989978,2190791,316
pi5,powerwindow,LLC+BUS,97,4,2400000,0,1..3,843748,2190791,323
pi5,powerwindow,LLC+BUS,98,4,2400000,0,1..3,966614,2190791,345
pi5,powerwindow,LLC+BUS,99,4,2400000,0,1..3,962501,2190791,523
pi5,powerwindow,LLC+BUS,100,4,2400000,0,1..3,938435,2190791,312
pi5,powerwindow,LLC+BUS,101,4,2400000,0,1..3,895344,2190791,364
pi5,powerwindow,LLC+BUS,102,4,2400000,0,1..3,880263,2190791,288
pi5,powerwindow,LLC+BUS,103,4,2400000,0,1..3,880588,2190791,326
pi5,powerwindow,LLC+BUS,104,4,2400000,0,1..3,932161,2190791,391
pi5,powerwindow,LLC+BUS,105,4,2400000,0,1..3,940554,2190791,501
pi5,powerwindow,LLC+BUS,106,4,2400000,0,1..3,959355,2190791,343
pi5,powerwindow,LLC+BUS,107,4,2400000,0,1..3,854276,2190791,322
pi5,powerwindow,LLC+BUS,108,4,2400000,0,1..3,852540,2190791,251
pi5,powerwindow,LLC+BUS,109,4,2400000,0,1..3,846973,2190791,347
pi5,powerwindow,LLC+BUS,110,4,2400000,0,1..3,869885,2190791,262
pi5,powerwindow,LLC+BUS,111,4,2400000,0,1..3,1049552,2190791,588
pi5,powerwindow,LLC+BUS,112,4,2400000,0,1..3,948363,2190791,348
pi5,powerwindow,LLC+BUS,113,4,2400000,0,1..3,877355,2190791,319
pi5,powerwindow,LLC+BUS,114,4,2400000,0,1..3,972119,2190791,359
pi5,powerwindow,LLC+BUS,115,4,2400000,0,1..3,846032,2190791,340
pi5,powerwindow,LLC+BUS,116,4,2400000,0,1..3,901747,2190791,285
pi5,powerwindow,LLC+BUS,117,4,2400000,0,1..3,886716,2190791,540
