board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,powerwindow,MEM,0,4,2400000,0,1..3,1238530,2190791,670
pi5,powerwindow,MEM,1,4,2400000,0,1..3,1221360,2190791,564
pi5,powerwindow,MEM,2,4,2400000,0,1..3,1028918,2190791,386
pi5,powerwindow,MEM,3,4,2400000,0,1..3,1129143,2190791,431
pi5,powerwindow,MEM,4,4,2400000,0,1..3,1026856,2190791,531
pi5,powerwindow,MEM,5,4,2400000,0,1..3,1027904,2190791,417
pi5,powerwindow,MEM,6,4,2400000,0,1..3,960641,2190791,272
pi5,powerwindow,MEM,7,4,2400000,0,1..3,934689,2190791,335
pi5,powerwindow,MEM,8,4,2400000,0,1..3,1225013,2190791,473
pi5,powerwindow,MEM,9,4,2400000,0,1..3,963380,2190791,415
pi5,powerwindow,MEM,10,4,2400000,0,1..3,966429,2190791,350
pi5,powerwindow,MEM,11,4,2400000,0,1..3,973819,2190791,304
pi5,powerwindow,MEM,12,4,2400000,0,1..3,956895,2190791,343
pi5,powerwindow,MEM,13,4,2400000,0,1..3,1230293,2190791,466
pi5,powerwindow,MEM,14,4,2400000,0,1..3,1127114,2190791,462
pi5,powerwindow,MEM,15,4,2400000,0,1..3,1029173,2190791,353
pi5,powerwindow,MEM,16,4,2400000,0,1..3,1026558,2190791,386
pi5,powerwindow,MEM,17,4,2400000,0,1..3,950849,2190791,301
pi5,powerwindow,MEM,18,4,2400000,0,1..3,1142533,2190791,553
pi5,powerwindow,MEM,19,4,2400000,0,1..3,1055022,2190791,347
pi5,powerwindow,MEM,20,4,2400000,0,1..3,1019837,2190791,333
pi5,powerwindow,MEM,21,4,2400000,0,1..3,1061307,2190791,401
pi5,powerwindow,MEM,22,4,2400000,0,1..3,1252512,2190791,459
pi5,powerwindow,MEM,23,4,2400000,0,1..3,1138721,2190791,495
pi5,powerwindow,MEM,24,4,2400000,0,1..3,955824,2190791,357
pi5,powerwindow,MEM,25,4,2400000,0,1..3,1026512,2190791,352
pi5,powerwindow,MEM,26,4,2400000,0,1..3,1147715,2190791,400
pi5,powerwindow,MEM,27,4,2400000,0,1..3,1163085,2190791,526
pi5,powerwindow,MEM,28,4,2400000,0,1..3,958409,2190791,378
pi5,powerwindow,MEM,29,4,2400000,0,1..3,1043614,2190791,327
pi5,powerwindow,MEM,30,4,2400000,0,1..3,1019706,2190791,339
pi5,powerwindow,MEM,31,4,2400000,0,1..3,1291110,2190791,529
pi5,powerwindow,MEM,32,4,2400000,0,1..3,1034882,2190791,428
pi5,powerwindow,MEM,33,4,2400000,0,1..3,895363,2190791,307
pi5,powerwindow,MEM,34,4,2400000,0,1..3,962508,2190791,305
pi5,powerwindow,MEM,35,4,2400000,0,1..3,949097,2190791,300
pi5,powerwindow,MEM,36,4,2400000,0,1..3,1270583,2190791,505
pi5,powerwindow,MEM,37,4,2400000,0,1..3,1012310,2190791,461
pi5,powerwindow,MEM,38,4,2400000,0,1..3,951075,2190791,283
pi5,powerwindow,MEM,39,4,2400000,0,1..3,1031989,2190791,345
pi5,powerwindow,MEM,40,4,2400000,0,1..3,1229684,2190791,472
pi5,powerwindow,MEM,41,4,2400000,0,1..3,1077479,2190791,468
pi5,powerwindow,MEM,42,4,2400000,0,1..3,971028,2190791,371
pi5,powerwindow,MEM,43,4,2400000,0,1..3,1018959,2190791,341
pi5,powerwindow,MEM,44,4,2400000,0,1..3,1107857,2190791,371
pi5,powerwindow,MEM,45,4,2400000,0,1..3,1215069,2190791,580
pi5,powerwindow,MEM,46,4,2400000,0,1..3,956537,2190791,308
pi5,powerwindow,MEM,47,4,2400000,0,1..3,1009301,2190791,345
pi5,powerwindow,MEM,48,4,2400000,0,1..3,1023590,2190791,408
pi5,powerwindow,MEM,49,4,2400000,0,1..3,1155359,2190791,413
pi5,powerwindow,MEM,50,4,2400000,0,1..3,1183309,2190791,508
pi5,powerwindow,MEM,51,4,2400000,0,1..3,931375,2190791,332
