board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,prime,LLC,0,4,2400000,0,1..3,14884,669,4
pi5,prime,LLC,1,4,2400000,0,1..3,7440,669,2
pi5,prime,LLC,2,4,2400000,0,1..3,2346,669,0
pi5,prime,LLC,3,4,2400000,0,1..3,348,669,0
pi5,prime,LLC,4,4,2400000,0,1..3,356,669,0
pi5,prime,LLC,5,4,2400000,0,1..3,380,669,0
pi5,prime,LLC,6,4,2400000,0,1..3,343,669,0
pi5,prime,LLC,7,4,2400000,0,1..3,1401,669,1
pi5,prime,LLC,8,4,2400000,0,1..3,379,669,1
pi5,prime,LLC,9,4,2400000,0,1..3,368,669,0
pi5,prime,LLC,10,4,2400000,0,1..3,356,669,0
pi5,prime,LLC,11,4,2400000,0,1..3,354,669,0
pi5,prime,LLC,12,4,2400000,0,1..3,356,669,0
pi5,prime,LLC,13,4,2400000,0,1..3,348,669,0
pi5,prime,LLC,14,4,2400000,0,1..3,345,669,0
pi5,prime,LLC,15,4,2400000,0,1..3,348,669,0
pi5,prime,LLC,16,4,2400000,0,1..3,360,669,0
pi5,prime,LLC,17,4,2400000,0,1..3,348,669,0
pi5,prime,LLC,18,4,2400000,0,1..3,345,669,0
pi5,prime,LLC,19,4,2400000,0,1..3,349,669,0
pi5,prime,LLC,20,4,2400000,0,1..3,366,669,0
pi5,prime,LLC,21,4,2400000,0,1..3,348,669,0
pi5,prime,LLC,22,4,2400000,0,1..3,345,669,0
pi5,prime,LLC,23,4,2400000,0,1..3,348,669,0
pi5,prime,LLC,24,4,2400000,0,1..3,354,669,0
pi5,prime,LLC,25,4,2400000,0,1..3,373,669,0
pi5,prime,LLC,26,4,2400000,0,1..3,377,669,1
pi5,prime,LLC,27,4,2400000,0,1..3,346,669,0
pi5,prime,LLC,28,4,2400000,0,1..3,345,669,0
pi5,prime,LLC,29,4,2400000,0,1..3,381,669,0
pi5,prime,LLC,30,4,2400000,0,1..3,349,669,0
pi5,prime,LLC,31,4,2400000,0,1..3,353,669,0
pi5,prime,LLC,32,4,2400000,0,1..3,356,669,0
pi5,prime,LLC,33,4,2400000,0,1..3,348,669,0
pi5,prime,LLC,34,4,2400000,0,1..3,373,669,1
pi5,prime,LLC,35,4,2400000,0,1..3,346,669,0
pi5,prime,LLC,36,4,2400000,0,1..3,356,669,0
pi5,prime,LLC,37,4,2400000,0,1..3,348,669,0
pi5,prime,LLC,38,4,2400000,0,1..3,356,669,0
pi5,prime,LLC,39,4,2400000,0,1..3,348,669,0
pi5,prime,LLC,40,4,2400000,0,1..3,356,669,0
pi5,prime,LLC,41,4,2400000,0,1..3,348,669,0
pi5,prime,LLC,42,4,2400000,0,1..3,374,669,0
pi5,prime,LLC,43,4,2400000,0,1..3,348,669,0
pi5,prime,LLC,44,4,2400000,0,1..3,363,669,0
pi5,prime,LLC,45,4,2400000,0,1..3,353,669,0
pi5,prime,LLC,46,4,2400000,0,1..3,351,669,0
pi5,prime,LLC,47,4,2400000,0,1..3,353,669,0
pi5,prime,LLC,48,4,2400000,0,1..3,360,669,0
pi5,prime,LLC,49,4,2400000,0,1..3,353,669,0
pi5,prime,LLC,50,4,2400000,0,1..3,379,669,0
pi5,prime,LLC,51,4,2400000,0,1..3,348,669,1
