board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,quicksort,LLC+BUS,0,4,2400000,0,1..3,3175236,4621443,958
pi5,quicksort,LLC+BUS,1,4,2400000,0,1..3,3265020,4621443,882
pi5,quicksort,LLC+BUS,2,4,2400000,0,1..3,3351317,4621443,856
pi5,quicksort,LLC+BUS,3,4,2400000,0,1..3,3366340,4621443,949
pi5,quicksort,LLC+BUS,4,4,2400000,0,1..3,3251882,4621443,856
pi5,quicksort,LLC+BUS,5,4,2400000,0,1..3,3374266,4621443,986
pi5,quicksort,LLC+BUS,6,4,2400000,0,1..3,3132794,4621443,830
pi5,quicksort,LLC+BUS,7,4,2400000,0,1..3,3339586,4621443,944
pi5,quicksort,LLC+BUS,8,4,2400000,0,1..3,3151393,4621443,804
pi5,quicksort,LLC+BUS,9,4,2400000,0,1..3,3301543,4621443,850
pi5,quicksort,LLC+BUS,10,4,2400000,0,1..3,3108652,4621443,903
pi5,quicksort,LLC+BUS,11,4,2400000,0,1..3,3142655,4621443,875
pi5,quicksort,LLC+BUS,12,4,2400000,0,1..3,3173175,4621443,874
pi5,quicksort,LLC+BUS,13,4,2400000,0,1..3,3248877,4621443,868
pi5,quicksort,LLC+BUS,14,4,2400000,0,1..3,3212786,4621443,918
pi5,quicksort,LLC+BUS,15,4,2400000,0,1..3,3204612,4621443,888
pi5,quicksort,LLC+BUS,16,4,2400000,0,1..3,3113748,4621443,889
pi5,quicksort,LLC+BUS,17,4,2400000,0,1..3,3168210,4621443,813
pi5,quicksort,LLC+BUS,18,4,2400000,0,1..3,3169656,4621443,964
pi5,quicksort,LLC+BUS,19,4,2400000,0,1..3,3169023,4621443,855
pi5,quicksort,LLC+BUS,20,4,2400000,0,1..3,3338571,4621443,939
pi5,quicksort,LLC+BUS,21,4,2400000,0,1..3,3224443,4621443,880
pi5,quicksort,LLC+BUS,22,4,2400000,0,1..3,3259228,4621443,908
pi5,quicksort,LLC+BUS,23,4,2400000,0,1..3,3069694,4621443,824
pi5,quicksort,LLC+BUS,24,4,2400000,0,1..3,3337914,4621443,929
pi5,quicksort,LLC+BUS,25,4,2400000,0,1..3,3258222,4621443,907
pi5,quicksort,LLC+BUS,26,4,2400000,0,1..3,3176501,4621443,980
pi5,quicksort,LLC+BUS,27,4,2400000,0,1..3,3150180,4621443,815
pi5,quicksort,LLC+BUS,28,4,2400000,0,1..3,3249317,4621443,1048
pi5,quicksort,LLC+BUS,29,4,2400000,0,1..3,3100965,4621443,831
pi5,quicksort,LLC+BUS,30,4,2400000,0,1..3,3203526,4621443,977
