board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,recursion,BUS+MEM,0,4,2400000,0,1..3,18704,3147,11
pi5,recursion,BUS+MEM,1,4,2400000,0,1..3,3525,3147,6
pi5,recursion,BUS+MEM,2,4,2400000,0,1..3,1361,3147,0
pi5,recursion,BUS+MEM,3,4,2400000,0,1..3,1344,3147,0
pi5,recursion,BUS+MEM,4,4,2400000,0,1..3,1344,3147,0
pi5,recursion,BUS+MEM,5,4,2400000,0,1..3,3394,3147,1
pi5,recursion,BUS+MEM,6,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,7,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,8,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,9,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,10,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,11,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,12,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,13,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,14,4,2400000,0,1..3,3955,3147,1
pi5,recursion,BUS+MEM,15,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,16,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,17,4,2400000,0,1..3,2058,3147,1
pi5,recursion,BUS+MEM,18,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,19,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,20,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,21,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,22,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,23,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,24,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS+MEM,25,4,2400000,0,1..3,1293,3147,0
