board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,recursion,BUS,0,4,2400000,0,1..3,15143,3147,15
pi5,recursion,BUS,1,4,2400000,0,1..3,3185,3147,5
pi5,recursion,BUS,2,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,3,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,4,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,5,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,6,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,7,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,8,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,9,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,10,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,11,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,12,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,13,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,14,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,15,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,16,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,17,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,18,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,19,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,20,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,21,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,22,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,23,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,24,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,25,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,26,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,27,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,28,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,29,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,30,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,31,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,32,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,33,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,34,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,35,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,36,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,37,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,38,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,39,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,40,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,41,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,42,4,2400000,0,1..3,1293,3147,1
pi5,recursion,BUS,43,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,44,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,45,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,46,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,47,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,48,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,49,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,50,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,51,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,52,4,2400000,0,1..3,1293,3147,3
pi5,recursion,BUS,53,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,54,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,55,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,56,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,57,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,58,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,59,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,60,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,61,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,62,4,2400000,0,1..3,3085,3147,0
pi5,recursion,BUS,63,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,64,4,2400000,0,1..3,1310,3147,1
pi5,recursion,BUS,65,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,66,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,67,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,68,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,69,4,2400000,0,1..3,2702,3147,1
pi5,recursion,BUS,70,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,71,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,72,4,2400000,0,1..3,2813,3147,1
pi5,recursion,BUS,73,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,74,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,75,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,76,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,77,4,2400000,0,1..3,3036,3147,1
pi5,recursion,BUS,78,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,79,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,80,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,81,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,82,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,83,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,84,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,85,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,86,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,87,4,2400000,0,1..3,2751,3147,1
pi5,recursion,BUS,88,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,89,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,90,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,91,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,92,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,93,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,94,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,95,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,96,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,97,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,98,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,99,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,100,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,101,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,102,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,103,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,104,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,105,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,106,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,107,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,108,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,109,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,110,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,111,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,112,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,113,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,114,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,115,4,2400000,0,1..3,1780,3147,1
pi5,recursion,BUS,116,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,117,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,118,4,2400000,0,1..3,1308,3147,1
pi5,recursion,BUS,119,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,120,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,121,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,122,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,123,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,124,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,125,4,2400000,0,1..3,2297,3147,1
pi5,recursion,BUS,126,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,127,4,2400000,0,1..3,1293,3147,0
pi5,recursion,BUS,128,4,2400000,0,1..3,1293,3147,0
