board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,sha,LLC+BUS,0,4,2400000,0,1..3,1555589,4189183,489
pi5,sha,LLC+BUS,1,4,2400000,0,1..3,1539877,4189183,486
pi5,sha,LLC+BUS,2,4,2400000,0,1..3,1528642,4189183,432
pi5,sha,LLC+BUS,3,4,2400000,0,1..3,1505586,4189183,365
pi5,sha,LLC+BUS,4,4,2400000,0,1..3,1541282,4189183,439
pi5,sha,LLC+BUS,5,4,2400000,0,1..3,1563825,4189183,411
pi5,sha,LLC+BUS,6,4,2400000,0,1..3,1568435,4189183,450
pi5,sha,LLC+BUS,7,4,2400000,0,1..3,1521121,4189183,397
pi5,sha,LLC+BUS,8,4,2400000,0,1..3,1485117,4189183,330
pi5,sha,LLC+BUS,9,4,2400000,0,1..3,1573494,4189183,431
pi5,sha,LLC+BUS,10,4,2400000,0,1..3,1626444,4189183,382
pi5,sha,LLC+BUS,11,4,2400000,0,1..3,1592551,4189183,434
pi5,sha,LLC+BUS,12,4,2400000,0,1..3,1537771,4189183,411
pi5,sha,LLC+BUS,13,4,2400000,0,1..3,1508346,4189183,361
pi5,sha,LLC+BUS,14,4,2400000,0,1..3,1600327,4189183,469
pi5,sha,LLC+BUS,15,4,2400000,0,1..3,1546826,4189183,375
pi5,sha,LLC+BUS,16,4,2400000,0,1..3,1527068,4189183,422
pi5,sha,LLC+BUS,17,4,2400000,0,1..3,1532188,4189183,406
pi5,sha,LLC+BUS,18,4,2400000,0,1..3,1514071,4189183,379
pi5,sha,LLC+BUS,19,4,2400000,0,1..3,1576805,4189183,450
pi5,sha,LLC+BUS,20,4,2400000,0,1..3,1521178,4189183,385
pi5,sha,LLC+BUS,21,4,2400000,0,1..3,1517519,4189183,367
pi5,sha,LLC+BUS,22,4,2400000,0,1..3,1515583,4189183,416
pi5,sha,LLC+BUS,23,4,2400000,0,1..3,1527328,4189183,328
pi5,sha,LLC+BUS,24,4,2400000,0,1..3,1556875,4189183,427
pi5,sha,LLC+BUS,25,4,2400000,0,1..3,1547245,4189183,388
pi5,sha,LLC+BUS,26,4,2400000,0,1..3,1567118,4189183,329
pi5,sha,LLC+BUS,27,4,2400000,0,1..3,1605126,4189183,423
pi5,sha,LLC+BUS,28,4,2400000,0,1..3,1560804,4189183,379
pi5,sha,LLC+BUS,29,4,2400000,0,1..3,1523642,4189183,324
pi5,sha,LLC+BUS,30,4,2400000,0,1..3,1523562,4189183,301
pi5,sha,LLC+BUS,31,4,2400000,0,1..3,1592238,4189183,408
pi5,sha,LLC+BUS,32,4,2400000,0,1..3,1505282,4189183,358
pi5,sha,LLC+BUS,33,4,2400000,0,1..3,1549200,4189183,321
pi5,sha,LLC+BUS,34,4,2400000,0,1..3,1529042,4189183,299
pi5,sha,LLC+BUS,35,4,2400000,0,1..3,1591974,4189183,397
pi5,sha,LLC+BUS,36,4,2400000,0,1..3,1590522,4189183,365
pi5,sha,LLC+BUS,37,4,2400000,0,1..3,1572229,4189183,302
pi5,sha,LLC+BUS,38,4,2400000,0,1..3,1548780,4189183,357
pi5,sha,LLC+BUS,39,4,2400000,0,1..3,1548422,4189183,413
pi5,sha,LLC+BUS,40,4,2400000,0,1..3,1566200,4189183,321
pi5,sha,LLC+BUS,41,4,2400000,0,1..3,1532917,4189183,327
pi5,sha,LLC+BUS,42,4,2400000,0,1..3,1577864,4189183,400
pi5,sha,LLC+BUS,43,4,2400000,0,1..3,1533642,4189183,362
pi5,sha,LLC+BUS,44,4,2400000,0,1..3,1530041,4189183,299
pi5,sha,LLC+BUS,45,4,2400000,0,1..3,1561353,4189183,347
pi5,sha,LLC+BUS,46,4,2400000,0,1..3,1631642,4189183,434
pi5,sha,LLC+BUS,47,4,2400000,0,1..3,1517860,4189183,348
pi5,sha,LLC+BUS,48,4,2400000,0,1..3,1576494,4189183,325
pi5,sha,LLC+BUS,49,4,2400000,0,1..3,1557012,4189183,298
pi5,sha,LLC+BUS,50,4,2400000,0,1..3,1578278,4189183,406
pi5,sha,LLC+BUS,51,4,2400000,0,1..3,1587257,4189183,328
pi5,sha,LLC+BUS,52,4,2400000,0,1..3,1575781,4189183,319
pi5,sha,LLC+BUS,53,4,2400000,0,1..3,1680365,4189183,446
pi5,sha,LLC+BUS,54,4,2400000,0,1..3,1583610,4189183,413
pi5,sha,LLC+BUS,55,4,2400000,0,1..3,1570050,4189183,348
pi5,sha,LLC+BUS,56,4,2400000,0,1..3,1459327,4189183,291
pi5,sha,LLC+BUS,57,4,2400000,0,1..3,1536757,4189183,398
pi5,sha,LLC+BUS,58,4,2400000,0,1..3,1565978,4189183,367
pi5,sha,LLC+BUS,59,4,2400000,0,1..3,1563598,4189183,339
pi5,sha,LLC+BUS,60,4,2400000,0,1..3,1649227,4189183,414
pi5,sha,LLC+BUS,61,4,2400000,0,1..3,1590186,4189183,383
pi5,sha,LLC+BUS,62,4,2400000,0,1..3,1525413,4189183,312
pi5,sha,LLC+BUS,63,4,2400000,0,1..3,1525800,4189183,275
pi5,sha,LLC+BUS,64,4,2400000,0,1..3,1544592,4189183,371
pi5,sha,LLC+BUS,65,4,2400000,0,1..3,1612061,4189183,402
pi5,sha,LLC+BUS,66,4,2400000,0,1..3,1560074,4189183,295
pi5,sha,LLC+BUS,67,4,2400000,0,1..3,1547016,4189183,355
pi5,sha,LLC+BUS,68,4,2400000,0,1..3,1635479,4189183,472
pi5,sha,LLC+BUS,69,4,2400000,0,1..3,1538662,4189183,340
pi5,sha,LLC+BUS,70,4,2400000,0,1..3,1555457,4189183,349
pi5,sha,LLC+BUS,71,4,2400000,0,1..3,1621638,4189183,429
pi5,sha,LLC+BUS,72,4,2400000,0,1..3,1597252,4189183,403
pi5,sha,LLC+BUS,73,4,2400000,0,1..3,1572266,4189183,345
pi5,sha,LLC+BUS,74,4,2400000,0,1..3,1605300,4189183,366
pi5,sha,LLC+BUS,75,4,2400000,0,1..3,1641043,4189183,432
pi5,sha,LLC+BUS,76,4,2400000,0,1..3,1585013,4189183,383
pi5,sha,LLC+BUS,77,4,2400000,0,1..3,1605352,4189183,341
pi5,sha,LLC+BUS,78,4,2400000,0,1..3,1626241,4189183,360
pi5,sha,LLC+BUS,79,4,2400000,0,1..3,1568983,4189183,431
pi5,sha,LLC+BUS,80,4,2400000,0,1..3,1537274,4189183,322
pi5,sha,LLC+BUS,81,4,2400000,0,1..3,1581631,4189183,314
pi5,sha,LLC+BUS,82,4,2400000,0,1..3,1676204,4189183,446
pi5,sha,LLC+BUS,83,4,2400000,0,1..3,1584314,4189183,370
pi5,sha,LLC+BUS,84,4,2400000,0,1..3,1575003,4189183,311
pi5,sha,LLC+BUS,85,4,2400000,0,1..3,1531948,4189183,331
pi5,sha,LLC+BUS,86,4,2400000,0,1..3,1548606,4189183,441
pi5,sha,LLC+BUS,87,4,2400000,0,1..3,1559766,4189183,389
