[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=CACHE
[sample=0] cpu=0 bench=binarysearch cycles=7175 instructions=1263 cache-misses=17
[sample=1] cpu=0 bench=binarysearch cycles=7088 instructions=1257 cache-misses=11
[sample=2] cpu=0 bench=binarysearch cycles=2143 instructions=1259 cache-misses=3
[sample=3] cpu=0 bench=binarysearch cycles=2193 instructions=1258 cache-misses=0
[sample=4] cpu=0 bench=binarysearch cycles=1903 instructions=1259 cache-misses=3
[sample=5] cpu=0 bench=binarysearch cycles=1845 instructions=1257 cache-misses=2
[sample=6] cpu=0 bench=binarysearch cycles=1893 instructions=1258 cache-misses=1
[sample=7] cpu=0 bench=binarysearch cycles=1877 instructions=1258 cache-misses=2
[sample=8] cpu=0 bench=binarysearch cycles=1928 instructions=1257 cache-misses=1
[sample=9] cpu=0 bench=binarysearch cycles=1905 instructions=1257 cache-misses=2
[sample=10] cpu=0 bench=binarysearch cycles=1910 instructions=1257 cache-misses=2
[sample=11] cpu=0 bench=binarysearch cycles=1897 instructions=1257 cache-misses=1
[sample=12] cpu=0 bench=binarysearch cycles=1871 instructions=1257 cache-misses=1
[sample=13] cpu=0 bench=binarysearch cycles=1860 instructions=1257 cache-misses=3
[sample=14] cpu=0 bench=binarysearch cycles=1909 instructions=1257 cache-misses=2
[sample=15] cpu=0 bench=binarysearch cycles=1873 instructions=1257 cache-misses=1
[sample=16] cpu=0 bench=binarysearch cycles=1894 instructions=1257 cache-misses=2
[sample=17] cpu=0 bench=binarysearch cycles=1856 instructions=1257 cache-misses=1
[sample=18] cpu=0 bench=binarysearch cycles=1843 instructions=1257 cache-misses=0
[sample=19] cpu=0 bench=binarysearch cycles=1863 instructions=1257 cache-misses=2
[sample=20] cpu=0 bench=binarysearch cycles=1871 instructions=1258 cache-misses=2
[sample=21] cpu=0 bench=binarysearch cycles=1900 instructions=1257 cache-misses=1
[sample=22] cpu=0 bench=binarysearch cycles=1875 instructions=1257 cache-misses=0
[sample=23] cpu=0 bench=binarysearch cycles=1899 instructions=1257 cache-misses=1
[sample=24] cpu=0 bench=binarysearch cycles=1898 instructions=1257 cache-misses=1
[sample=25] cpu=0 bench=binarysearch cycles=1873 instructions=1257 cache-misses=1
[sample=26] cpu=0 bench=binarysearch cycles=1857 instructions=1257 cache-misses=1
[sample=27] cpu=0 bench=binarysearch cycles=1870 instructions=1257 cache-misses=1
[sample=28] cpu=0 bench=binarysearch cycles=1862 instructions=1257 cache-misses=2
[sample=29] cpu=0 bench=binarysearch cycles=1853 instructions=1257 cache-misses=1
[sample=30] cpu=0 bench=binarysearch cycles=1850 instructions=1257 cache-misses=1
[sample=31] cpu=0 bench=binarysearch cycles=1854 instructions=1257 cache-misses=1
[sample=32] cpu=0 bench=binarysearch cycles=1880 instructions=1257 cache-misses=1
[sample=33] cpu=0 bench=binarysearch cycles=1848 instructions=1257 cache-misses=1
[sample=34] cpu=0 bench=binarysearch cycles=1884 instructions=1257 cache-misses=1
[sample=35] cpu=0 bench=binarysearch cycles=1900 instructions=1257 cache-misses=1
[sample=36] cpu=0 bench=binarysearch cycles=1887 instructions=1257 cache-misses=1
[sample=37] cpu=0 bench=binarysearch cycles=1896 instructions=1257 cache-misses=1
[sample=38] cpu=0 bench=binarysearch cycles=1835 instructions=1258 cache-misses=1
[sample=39] cpu=0 bench=binarysearch cycles=1901 instructions=1257 cache-misses=1
[sample=40] cpu=0 bench=binarysearch cycles=1889 instructions=1257 cache-misses=1
[sample=41] cpu=0 bench=binarysearch cycles=1855 instructions=1257 cache-misses=1
[sample=42] cpu=0 bench=binarysearch cycles=1878 instructions=1257 cache-misses=1
[sample=43] cpu=0 bench=binarysearch cycles=1882 instructions=1257 cache-misses=1
[sample=44] cpu=0 bench=binarysearch cycles=1896 instructions=1257 cache-misses=1
[sample=45] cpu=0 bench=binarysearch cycles=1882 instructions=1257 cache-misses=1
[sample=46] cpu=0 bench=binarysearch cycles=1867 instructions=1257 cache-misses=2
[sample=47] cpu=0 bench=binarysearch cycles=1952 instructions=1258 cache-misses=3
[sample=48] cpu=0 bench=binarysearch cycles=1866 instructions=1257 cache-misses=1
[sample=49] cpu=0 bench=binarysearch cycles=1887 instructions=1257 cache-misses=1
[sample=50] cpu=0 bench=binarysearch cycles=1894 instructions=1257 cache-misses=3
[sample=51] cpu=0 bench=binarysearch cycles=1876 instructions=1257 cache-misses=2
[sample=52] cpu=0 bench=binarysearch cycles=1892 instructions=1257 cache-misses=2
[sample=53] cpu=0 bench=binarysearch cycles=1883 instructions=1257 cache-misses=1
[sample=54] cpu=0 bench=binarysearch cycles=1884 instructions=1257 cache-misses=3
[sample=55] cpu=0 bench=binarysearch cycles=1847 instructions=1257 cache-misses=1
[sample=56] cpu=0 bench=binarysearch cycles=1870 instructions=1257 cache-misses=1
[sample=57] cpu=0 bench=binarysearch cycles=1857 instructions=1257 cache-misses=1
[sample=58] cpu=0 bench=binarysearch cycles=1871 instructions=1257 cache-misses=1
