[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=CACHE
[sample=0] cpu=0 bench=fir2dim cycles=20437 instructions=10132 cache-misses=20
[sample=1] cpu=0 bench=fir2dim cycles=21636 instructions=10112 cache-misses=11
[sample=2] cpu=0 bench=fir2dim cycles=18436 instructions=10115 cache-misses=13
[sample=3] cpu=0 bench=fir2dim cycles=13611 instructions=10110 cache-misses=10
[sample=4] cpu=0 bench=fir2dim cycles=13294 instructions=10117 cache-misses=8
[sample=5] cpu=0 bench=fir2dim cycles=13597 instructions=10115 cache-misses=11
[sample=6] cpu=0 bench=fir2dim cycles=13668 instructions=10114 cache-misses=9
[sample=7] cpu=0 bench=fir2dim cycles=13639 instructions=10113 cache-misses=14
[sample=8] cpu=0 bench=fir2dim cycles=14403 instructions=10117 cache-misses=10
[sample=9] cpu=0 bench=fir2dim cycles=13710 instructions=10110 cache-misses=10
[sample=10] cpu=0 bench=fir2dim cycles=13679 instructions=10112 cache-misses=10
[sample=11] cpu=0 bench=fir2dim cycles=13651 instructions=10112 cache-misses=7
[sample=12] cpu=0 bench=fir2dim cycles=13811 instructions=10126 cache-misses=8
[sample=13] cpu=0 bench=fir2dim cycles=13695 instructions=10114 cache-misses=7
[sample=14] cpu=0 bench=fir2dim cycles=13955 instructions=10122 cache-misses=10
[sample=15] cpu=0 bench=fir2dim cycles=13815 instructions=10120 cache-misses=9
[sample=16] cpu=0 bench=fir2dim cycles=13886 instructions=10115 cache-misses=8
[sample=17] cpu=0 bench=fir2dim cycles=13544 instructions=10114 cache-misses=7
[sample=18] cpu=0 bench=fir2dim cycles=13723 instructions=10110 cache-misses=8
[sample=19] cpu=0 bench=fir2dim cycles=13681 instructions=10112 cache-misses=7
[sample=20] cpu=0 bench=fir2dim cycles=18090 instructions=10113 cache-misses=9
[sample=21] cpu=0 bench=fir2dim cycles=13511 instructions=10108 cache-misses=8
[sample=22] cpu=0 bench=fir2dim cycles=13698 instructions=10107 cache-misses=8
[sample=23] cpu=0 bench=fir2dim cycles=13655 instructions=10111 cache-misses=11
[sample=24] cpu=0 bench=fir2dim cycles=13707 instructions=10109 cache-misses=7
[sample=25] cpu=0 bench=fir2dim cycles=13695 instructions=10117 cache-misses=9
[sample=26] cpu=0 bench=fir2dim cycles=13511 instructions=10113 cache-misses=10
[sample=27] cpu=0 bench=fir2dim cycles=13632 instructions=10113 cache-misses=7
[sample=28] cpu=0 bench=fir2dim cycles=13633 instructions=10110 cache-misses=7
[sample=29] cpu=0 bench=fir2dim cycles=13653 instructions=10119 cache-misses=9
[sample=30] cpu=0 bench=fir2dim cycles=13598 instructions=10117 cache-misses=8
[sample=31] cpu=0 bench=fir2dim cycles=13867 instructions=10111 cache-misses=8
[sample=32] cpu=0 bench=fir2dim cycles=13976 instructions=10115 cache-misses=9
[sample=33] cpu=0 bench=fir2dim cycles=14264 instructions=10116 cache-misses=9
[sample=34] cpu=0 bench=fir2dim cycles=14380 instructions=10115 cache-misses=8
[sample=35] cpu=0 bench=fir2dim cycles=13968 instructions=10118 cache-misses=9
[sample=36] cpu=0 bench=fir2dim cycles=13901 instructions=10118 cache-misses=7
[sample=37] cpu=0 bench=fir2dim cycles=13824 instructions=10112 cache-misses=8
[sample=38] cpu=0 bench=fir2dim cycles=13614 instructions=10114 cache-misses=10
[sample=39] cpu=0 bench=fir2dim cycles=13562 instructions=10116 cache-misses=8
[sample=40] cpu=0 bench=fir2dim cycles=13616 instructions=10112 cache-misses=8
[sample=41] cpu=0 bench=fir2dim cycles=13501 instructions=10117 cache-misses=7
[sample=42] cpu=0 bench=fir2dim cycles=13655 instructions=10113 cache-misses=8
[sample=43] cpu=0 bench=fir2dim cycles=13316 instructions=10109 cache-misses=8
[sample=44] cpu=0 bench=fir2dim cycles=13280 instructions=10109 cache-misses=8
[sample=45] cpu=0 bench=fir2dim cycles=13232 instructions=10112 cache-misses=7
[sample=46] cpu=0 bench=fir2dim cycles=13290 instructions=10116 cache-misses=8
[sample=47] cpu=0 bench=fir2dim cycles=13917 instructions=10110 cache-misses=7
[sample=48] cpu=0 bench=fir2dim cycles=13598 instructions=10114 cache-misses=9
[sample=49] cpu=0 bench=fir2dim cycles=14183 instructions=10113 cache-misses=9
[sample=50] cpu=0 bench=fir2dim cycles=13756 instructions=10118 cache-misses=8
[sample=51] cpu=0 bench=fir2dim cycles=14505 instructions=10120 cache-misses=11
[sample=52] cpu=0 bench=fir2dim cycles=14452 instructions=10115 cache-misses=7
[sample=53] cpu=0 bench=fir2dim cycles=13516 instructions=10111 cache-misses=8
[sample=54] cpu=0 bench=fir2dim cycles=13378 instructions=10110 cache-misses=8
[sample=55] cpu=0 bench=fir2dim cycles=13443 instructions=10111 cache-misses=7
[sample=56] cpu=0 bench=fir2dim cycles=13622 instructions=10112 cache-misses=7
[sample=57] cpu=0 bench=fir2dim cycles=14121 instructions=10110 cache-misses=9
[sample=58] cpu=0 bench=fir2dim cycles=13721 instructions=10116 cache-misses=8
[sample=59] cpu=0 bench=fir2dim cycles=16574 instructions=10111 cache-misses=7
[sample=60] cpu=0 bench=fir2dim cycles=13497 instructions=10111 cache-misses=7
[sample=61] cpu=0 bench=fir2dim cycles=13929 instructions=10112 cache-misses=8
[sample=62] cpu=0 bench=fir2dim cycles=13992 instructions=10109 cache-misses=8
[sample=63] cpu=0 bench=fir2dim cycles=13599 instructions=10113 cache-misses=7
[sample=64] cpu=0 bench=fir2dim cycles=14612 instructions=10112 cache-misses=8
[sample=65] cpu=0 bench=fir2dim cycles=13850 instructions=10109 cache-misses=8
[sample=66] cpu=0 bench=fir2dim cycles=13638 instructions=10114 cache-misses=8
[sample=67] cpu=0 bench=fir2dim cycles=14391 instructions=10115 cache-misses=9
[sample=68] cpu=0 bench=fir2dim cycles=13795 instructions=10109 cache-misses=12
[sample=69] cpu=0 bench=fir2dim cycles=13998 instructions=10111 cache-misses=8
[sample=70] cpu=0 bench=fir2dim cycles=16444 instructions=10113 cache-misses=9
[sample=71] cpu=0 bench=fir2dim cycles=13526 instructions=10112 cache-misses=7
[sample=72] cpu=0 bench=fir2dim cycles=14230 instructions=10119 cache-misses=8
[sample=73] cpu=0 bench=fir2dim cycles=13775 instructions=10114 cache-misses=7
[sample=74] cpu=0 bench=fir2dim cycles=14326 instructions=10113 cache-misses=9
[sample=75] cpu=0 bench=fir2dim cycles=14215 instructions=10116 cache-misses=8
[sample=76] cpu=0 bench=fir2dim cycles=14075 instructions=10113 cache-misses=11
[sample=77] cpu=0 bench=fir2dim cycles=13760 instructions=10119 cache-misses=7
