[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=CACHE
[sample=0] cpu=0 bench=fmref cycles=753231 instructions=454814 cache-misses=175
[sample=1] cpu=0 bench=fmref cycles=664936 instructions=417303 cache-misses=70
[sample=2] cpu=0 bench=fmref cycles=656157 instructions=417309 cache-misses=91
[sample=3] cpu=0 bench=fmref cycles=656056 instructions=417299 cache-misses=68
[sample=4] cpu=0 bench=fmref cycles=654317 instructions=417297 cache-misses=67
[sample=5] cpu=0 bench=fmref cycles=654829 instructions=417304 cache-misses=69
[sample=6] cpu=0 bench=fmref cycles=654613 instructions=417298 cache-misses=65
[sample=7] cpu=0 bench=fmref cycles=654995 instructions=417302 cache-misses=66
[sample=8] cpu=0 bench=fmref cycles=654914 instructions=417308 cache-misses=80
[sample=9] cpu=0 bench=fmref cycles=655642 instructions=417300 cache-misses=70
[sample=10] cpu=0 bench=fmref cycles=655062 instructions=417308 cache-misses=66
[sample=11] cpu=0 bench=fmref cycles=655131 instructions=417297 cache-misses=69
[sample=12] cpu=0 bench=fmref cycles=654612 instructions=417302 cache-misses=70
[sample=13] cpu=0 bench=fmref cycles=654860 instructions=417302 cache-misses=76
[sample=14] cpu=0 bench=fmref cycles=655080 instructions=417302 cache-misses=70
[sample=15] cpu=0 bench=fmref cycles=667649 instructions=417300 cache-misses=77
[sample=16] cpu=0 bench=fmref cycles=658252 instructions=417302 cache-misses=72
[sample=17] cpu=0 bench=fmref cycles=657131 instructions=417299 cache-misses=62
[sample=18] cpu=0 bench=fmref cycles=655553 instructions=417296 cache-misses=71
[sample=19] cpu=0 bench=fmref cycles=654795 instructions=417297 cache-misses=68
[sample=20] cpu=0 bench=fmref cycles=658132 instructions=417307 cache-misses=90
[sample=21] cpu=0 bench=fmref cycles=655398 instructions=417305 cache-misses=68
[sample=22] cpu=0 bench=fmref cycles=655417 instructions=417306 cache-misses=66
