[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=CACHE
[sample=0] cpu=0 bench=fmref cycles=751379 instructions=454812 cache-misses=126
[sample=1] cpu=0 bench=fmref cycles=658676 instructions=417307 cache-misses=72
[sample=2] cpu=0 bench=fmref cycles=659519 instructions=417305 cache-misses=70
[sample=3] cpu=0 bench=fmref cycles=656462 instructions=417305 cache-misses=89
[sample=4] cpu=0 bench=fmref cycles=660318 instructions=417304 cache-misses=79
[sample=5] cpu=0 bench=fmref cycles=656399 instructions=417305 cache-misses=69
[sample=6] cpu=0 bench=fmref cycles=656871 instructions=417304 cache-misses=69
[sample=7] cpu=0 bench=fmref cycles=658077 instructions=417309 cache-misses=72
[sample=8] cpu=0 bench=fmref cycles=658845 instructions=417303 cache-misses=64
[sample=9] cpu=0 bench=fmref cycles=658891 instructions=417299 cache-misses=68
[sample=10] cpu=0 bench=fmref cycles=660688 instructions=417297 cache-misses=72
[sample=11] cpu=0 bench=fmref cycles=657626 instructions=417305 cache-misses=68
[sample=12] cpu=0 bench=fmref cycles=657446 instructions=417302 cache-misses=68
[sample=13] cpu=0 bench=fmref cycles=655585 instructions=417306 cache-misses=67
[sample=14] cpu=0 bench=fmref cycles=658567 instructions=417309 cache-misses=71
[sample=15] cpu=0 bench=fmref cycles=661506 instructions=417301 cache-misses=71
[sample=16] cpu=0 bench=fmref cycles=656497 instructions=417304 cache-misses=70
[sample=17] cpu=0 bench=fmref cycles=654762 instructions=417303 cache-misses=66
[sample=18] cpu=0 bench=fmref cycles=659328 instructions=417316 cache-misses=114
[sample=19] cpu=0 bench=fmref cycles=673552 instructions=417303 cache-misses=81
[sample=20] cpu=0 bench=fmref cycles=657131 instructions=417304 cache-misses=70
[sample=21] cpu=0 bench=fmref cycles=660758 instructions=417304 cache-misses=68
[sample=22] cpu=0 bench=fmref cycles=656552 instructions=417304 cache-misses=70
[sample=23] cpu=0 bench=fmref cycles=656659 instructions=417303 cache-misses=71
[sample=24] cpu=0 bench=fmref cycles=662429 instructions=417301 cache-misses=69
[sample=25] cpu=0 bench=fmref cycles=662662 instructions=417307 cache-misses=111
[sample=26] cpu=0 bench=fmref cycles=660673 instructions=417301 cache-misses=73
[sample=27] cpu=0 bench=fmref cycles=659144 instructions=417301 cache-misses=72
[sample=28] cpu=0 bench=fmref cycles=660334 instructions=417305 cache-misses=69
[sample=29] cpu=0 bench=fmref cycles=656425 instructions=417301 cache-misses=67
[sample=30] cpu=0 bench=fmref cycles=657181 instructions=417300 cache-misses=69
[sample=31] cpu=0 bench=fmref cycles=658491 instructions=417300 cache-misses=66
[sample=32] cpu=0 bench=fmref cycles=658414 instructions=417303 cache-misses=101
[sample=33] cpu=0 bench=fmref cycles=654800 instructions=417309 cache-misses=67
[sample=34] cpu=0 bench=fmref cycles=654920 instructions=417307 cache-misses=70
[sample=35] cpu=0 bench=fmref cycles=657647 instructions=417301 cache-misses=73
[sample=36] cpu=0 bench=fmref cycles=656098 instructions=417299 cache-misses=65
[sample=37] cpu=0 bench=fmref cycles=657003 instructions=417304 cache-misses=71
[sample=38] cpu=0 bench=fmref cycles=659830 instructions=417302 cache-misses=89
[sample=39] cpu=0 bench=fmref cycles=655937 instructions=417304 cache-misses=66
[sample=40] cpu=0 bench=fmref cycles=657229 instructions=417301 cache-misses=70
[sample=41] cpu=0 bench=fmref cycles=659182 instructions=417304 cache-misses=71
[sample=42] cpu=0 bench=fmref cycles=662019 instructions=417304 cache-misses=66
[sample=43] cpu=0 bench=fmref cycles=659595 instructions=417299 cache-misses=66
[sample=44] cpu=0 bench=fmref cycles=663957 instructions=417294 cache-misses=77
[sample=45] cpu=0 bench=fmref cycles=665764 instructions=417302 cache-misses=67
[sample=46] cpu=0 bench=fmref cycles=654819 instructions=417301 cache-misses=63
[sample=47] cpu=0 bench=fmref cycles=657040 instructions=417301 cache-misses=81
[sample=48] cpu=0 bench=fmref cycles=660432 instructions=417300 cache-misses=68
[sample=49] cpu=0 bench=fmref cycles=656282 instructions=417303 cache-misses=88
[sample=50] cpu=0 bench=fmref cycles=654818 instructions=417298 cache-misses=64
[sample=51] cpu=0 bench=fmref cycles=654288 instructions=417305 cache-misses=65
[sample=52] cpu=0 bench=fmref cycles=655796 instructions=417299 cache-misses=71
[sample=53] cpu=0 bench=fmref cycles=656702 instructions=417302 cache-misses=68
[sample=54] cpu=0 bench=fmref cycles=656067 instructions=417302 cache-misses=67
[sample=55] cpu=0 bench=fmref cycles=656531 instructions=417301 cache-misses=78
[sample=56] cpu=0 bench=fmref cycles=660325 instructions=417300 cache-misses=83
[sample=57] cpu=0 bench=fmref cycles=663711 instructions=417300 cache-misses=69
[sample=58] cpu=0 bench=fmref cycles=659718 instructions=417300 cache-misses=69
[sample=59] cpu=0 bench=fmref cycles=660827 instructions=417298 cache-misses=71
[sample=60] cpu=0 bench=fmref cycles=659523 instructions=417301 cache-misses=70
[sample=61] cpu=0 bench=fmref cycles=660395 instructions=417299 cache-misses=72
[sample=62] cpu=0 bench=fmref cycles=661431 instructions=417298 cache-misses=72
[sample=63] cpu=0 bench=fmref cycles=655438 instructions=417300 cache-misses=71
[sample=64] cpu=0 bench=fmref cycles=662415 instructions=417304 cache-misses=95
[sample=65] cpu=0 bench=fmref cycles=660670 instructions=417302 cache-misses=68
[sample=66] cpu=0 bench=fmref cycles=654642 instructions=417298 cache-misses=67
[sample=67] cpu=0 bench=fmref cycles=654397 instructions=417304 cache-misses=71
[sample=68] cpu=0 bench=fmref cycles=655716 instructions=417299 cache-misses=70
[sample=69] cpu=0 bench=fmref cycles=656117 instructions=417300 cache-misses=68
[sample=70] cpu=0 bench=fmref cycles=657192 instructions=417303 cache-misses=68
[sample=71] cpu=0 bench=fmref cycles=656931 instructions=417303 cache-misses=68
[sample=72] cpu=0 bench=fmref cycles=655848 instructions=417302 cache-misses=74
[sample=73] cpu=0 bench=fmref cycles=655944 instructions=417299 cache-misses=74
[sample=74] cpu=0 bench=fmref cycles=658028 instructions=417298 cache-misses=71
