[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=CACHE
[sample=0] cpu=0 bench=insertsort cycles=12336 instructions=2954 cache-misses=21
[sample=1] cpu=0 bench=insertsort cycles=8158 instructions=2947 cache-misses=14
[sample=2] cpu=0 bench=insertsort cycles=5676 instructions=2947 cache-misses=15
[sample=3] cpu=0 bench=insertsort cycles=4497 instructions=2947 cache-misses=14
[sample=4] cpu=0 bench=insertsort cycles=4469 instructions=2947 cache-misses=15
[sample=5] cpu=0 bench=insertsort cycles=4504 instructions=2947 cache-misses=15
[sample=6] cpu=0 bench=insertsort cycles=4486 instructions=2947 cache-misses=15
[sample=7] cpu=0 bench=insertsort cycles=4487 instructions=2947 cache-misses=15
[sample=8] cpu=0 bench=insertsort cycles=4474 instructions=2947 cache-misses=15
[sample=9] cpu=0 bench=insertsort cycles=4501 instructions=2947 cache-misses=14
[sample=10] cpu=0 bench=insertsort cycles=4506 instructions=2947 cache-misses=16
[sample=11] cpu=0 bench=insertsort cycles=4481 instructions=2947 cache-misses=15
[sample=12] cpu=0 bench=insertsort cycles=4471 instructions=2947 cache-misses=14
[sample=13] cpu=0 bench=insertsort cycles=4462 instructions=2947 cache-misses=15
[sample=14] cpu=0 bench=insertsort cycles=4510 instructions=2947 cache-misses=15
[sample=15] cpu=0 bench=insertsort cycles=4425 instructions=2947 cache-misses=13
[sample=16] cpu=0 bench=insertsort cycles=4538 instructions=2947 cache-misses=15
[sample=17] cpu=0 bench=insertsort cycles=4527 instructions=2947 cache-misses=15
[sample=18] cpu=0 bench=insertsort cycles=4515 instructions=2947 cache-misses=15
[sample=19] cpu=0 bench=insertsort cycles=4516 instructions=2947 cache-misses=16
[sample=20] cpu=0 bench=insertsort cycles=4485 instructions=2947 cache-misses=16
[sample=21] cpu=0 bench=insertsort cycles=4494 instructions=2947 cache-misses=16
