[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=CACHE  cpu2=CACHE  cpu3=BUS
[sample=0] cpu=0 bench=fir2dim cycles=28378 instructions=10139 cache-misses=17
[sample=1] cpu=0 bench=fir2dim cycles=21360 instructions=10120 cache-misses=13
[sample=2] cpu=0 bench=fir2dim cycles=16730 instructions=10125 cache-misses=10
[sample=3] cpu=0 bench=fir2dim cycles=14403 instructions=10127 cache-misses=10
[sample=4] cpu=0 bench=fir2dim cycles=13347 instructions=10116 cache-misses=10
[sample=5] cpu=0 bench=fir2dim cycles=13443 instructions=10119 cache-misses=10
[sample=6] cpu=0 bench=fir2dim cycles=13313 instructions=10113 cache-misses=10
[sample=7] cpu=0 bench=fir2dim cycles=13320 instructions=10119 cache-misses=8
[sample=8] cpu=0 bench=fir2dim cycles=13486 instructions=10118 cache-misses=10
[sample=9] cpu=0 bench=fir2dim cycles=13639 instructions=10117 cache-misses=10
[sample=10] cpu=0 bench=fir2dim cycles=13255 instructions=10114 cache-misses=10
[sample=11] cpu=0 bench=fir2dim cycles=13409 instructions=10119 cache-misses=10
[sample=12] cpu=0 bench=fir2dim cycles=14080 instructions=10119 cache-misses=11
[sample=13] cpu=0 bench=fir2dim cycles=13252 instructions=10112 cache-misses=9
[sample=14] cpu=0 bench=fir2dim cycles=13383 instructions=10121 cache-misses=10
[sample=15] cpu=0 bench=fir2dim cycles=13379 instructions=10119 cache-misses=9
[sample=16] cpu=0 bench=fir2dim cycles=13332 instructions=10115 cache-misses=12
[sample=17] cpu=0 bench=fir2dim cycles=13371 instructions=10111 cache-misses=9
[sample=18] cpu=0 bench=fir2dim cycles=13255 instructions=10117 cache-misses=9
[sample=19] cpu=0 bench=fir2dim cycles=13245 instructions=10112 cache-misses=9
[sample=20] cpu=0 bench=fir2dim cycles=13283 instructions=10113 cache-misses=11
[sample=21] cpu=0 bench=fir2dim cycles=13260 instructions=10116 cache-misses=10
[sample=22] cpu=0 bench=fir2dim cycles=13354 instructions=10116 cache-misses=10
[sample=23] cpu=0 bench=fir2dim cycles=13348 instructions=10114 cache-misses=9
[sample=24] cpu=0 bench=fir2dim cycles=13326 instructions=10113 cache-misses=10
[sample=25] cpu=0 bench=fir2dim cycles=13334 instructions=10116 cache-misses=8
[sample=26] cpu=0 bench=fir2dim cycles=13272 instructions=10112 cache-misses=9
[sample=27] cpu=0 bench=fir2dim cycles=13754 instructions=10113 cache-misses=9
[sample=28] cpu=0 bench=fir2dim cycles=13318 instructions=10114 cache-misses=11
[sample=29] cpu=0 bench=fir2dim cycles=13283 instructions=10111 cache-misses=9
[sample=30] cpu=0 bench=fir2dim cycles=13256 instructions=10113 cache-misses=9
[sample=31] cpu=0 bench=fir2dim cycles=13301 instructions=10111 cache-misses=8
[sample=32] cpu=0 bench=fir2dim cycles=13423 instructions=10113 cache-misses=11
[sample=33] cpu=0 bench=fir2dim cycles=13342 instructions=10120 cache-misses=7
[sample=34] cpu=0 bench=fir2dim cycles=13376 instructions=10115 cache-misses=11
[sample=35] cpu=0 bench=fir2dim cycles=13291 instructions=10112 cache-misses=10
[sample=36] cpu=0 bench=fir2dim cycles=13340 instructions=10113 cache-misses=10
[sample=37] cpu=0 bench=fir2dim cycles=13347 instructions=10119 cache-misses=8
[sample=38] cpu=0 bench=fir2dim cycles=13364 instructions=10120 cache-misses=12
[sample=39] cpu=0 bench=fir2dim cycles=13388 instructions=10116 cache-misses=10
[sample=40] cpu=0 bench=fir2dim cycles=13302 instructions=10113 cache-misses=11
[sample=41] cpu=0 bench=fir2dim cycles=13298 instructions=10112 cache-misses=9
[sample=42] cpu=0 bench=fir2dim cycles=13320 instructions=10112 cache-misses=11
[sample=43] cpu=0 bench=fir2dim cycles=13416 instructions=10111 cache-misses=8
[sample=44] cpu=0 bench=fir2dim cycles=13289 instructions=10110 cache-misses=10
[sample=45] cpu=0 bench=fir2dim cycles=13266 instructions=10109 cache-misses=9
[sample=46] cpu=0 bench=fir2dim cycles=13647 instructions=10111 cache-misses=11
[sample=47] cpu=0 bench=fir2dim cycles=13254 instructions=10111 cache-misses=8
[sample=48] cpu=0 bench=fir2dim cycles=13284 instructions=10114 cache-misses=10
[sample=49] cpu=0 bench=fir2dim cycles=18506 instructions=10118 cache-misses=10
[sample=50] cpu=0 bench=fir2dim cycles=14284 instructions=10117 cache-misses=9
[sample=51] cpu=0 bench=fir2dim cycles=13656 instructions=10116 cache-misses=10
[sample=52] cpu=0 bench=fir2dim cycles=14045 instructions=10111 cache-misses=10
[sample=53] cpu=0 bench=fir2dim cycles=13612 instructions=10111 cache-misses=10
[sample=54] cpu=0 bench=fir2dim cycles=13410 instructions=10113 cache-misses=11
