[info] offlined cpu3..cpu3 to isolate the active cores
[info] cpu0..cpu2 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=CACHE  cpu2=BUS
[sample=0] cpu=0 bench=fir2dim cycles=22232 instructions=10125 cache-misses=19
[sample=1] cpu=0 bench=fir2dim cycles=16844 instructions=10116 cache-misses=9
[sample=2] cpu=0 bench=fir2dim cycles=13087 instructions=10110 cache-misses=4
[sample=3] cpu=0 bench=fir2dim cycles=12991 instructions=10107 cache-misses=5
[sample=4] cpu=0 bench=fir2dim cycles=12978 instructions=10104 cache-misses=2
[sample=5] cpu=0 bench=fir2dim cycles=13209 instructions=10100 cache-misses=1
[sample=6] cpu=0 bench=fir2dim cycles=12946 instructions=10101 cache-misses=2
[sample=7] cpu=0 bench=fir2dim cycles=12941 instructions=10102 cache-misses=0
[sample=8] cpu=0 bench=fir2dim cycles=12926 instructions=10100 cache-misses=1
[sample=9] cpu=0 bench=fir2dim cycles=12974 instructions=10100 cache-misses=1
[sample=10] cpu=0 bench=fir2dim cycles=12917 instructions=10100 cache-misses=0
[sample=11] cpu=0 bench=fir2dim cycles=12970 instructions=10103 cache-misses=0
[sample=12] cpu=0 bench=fir2dim cycles=13005 instructions=10109 cache-misses=1
[sample=13] cpu=0 bench=fir2dim cycles=12916 instructions=10103 cache-misses=2
[sample=14] cpu=0 bench=fir2dim cycles=12982 instructions=10104 cache-misses=0
[sample=15] cpu=0 bench=fir2dim cycles=12965 instructions=10102 cache-misses=1
[sample=16] cpu=0 bench=fir2dim cycles=12918 instructions=10102 cache-misses=1
[sample=17] cpu=0 bench=fir2dim cycles=12916 instructions=10099 cache-misses=1
[sample=18] cpu=0 bench=fir2dim cycles=12929 instructions=10106 cache-misses=0
[sample=19] cpu=0 bench=fir2dim cycles=12975 instructions=10105 cache-misses=0
[sample=20] cpu=0 bench=fir2dim cycles=12986 instructions=10106 cache-misses=1
[sample=21] cpu=0 bench=fir2dim cycles=12923 instructions=10105 cache-misses=0
[sample=22] cpu=0 bench=fir2dim cycles=13010 instructions=10108 cache-misses=0
[sample=23] cpu=0 bench=fir2dim cycles=12977 instructions=10104 cache-misses=0
[sample=24] cpu=0 bench=fir2dim cycles=13014 instructions=10107 cache-misses=0
[sample=25] cpu=0 bench=fir2dim cycles=12891 instructions=10100 cache-misses=0
[sample=26] cpu=0 bench=fir2dim cycles=12937 instructions=10102 cache-misses=0
[sample=27] cpu=0 bench=fir2dim cycles=12886 instructions=10104 cache-misses=1
[sample=28] cpu=0 bench=fir2dim cycles=12926 instructions=10104 cache-misses=1
[sample=29] cpu=0 bench=fir2dim cycles=12924 instructions=10100 cache-misses=2
[sample=30] cpu=0 bench=fir2dim cycles=12957 instructions=10101 cache-misses=0
[sample=31] cpu=0 bench=fir2dim cycles=12902 instructions=10103 cache-misses=1
[sample=32] cpu=0 bench=fir2dim cycles=12906 instructions=10102 cache-misses=1
[sample=33] cpu=0 bench=fir2dim cycles=12946 instructions=10105 cache-misses=0
[sample=34] cpu=0 bench=fir2dim cycles=12948 instructions=10102 cache-misses=1
[sample=35] cpu=0 bench=fir2dim cycles=12945 instructions=10102 cache-misses=2
[sample=36] cpu=0 bench=fir2dim cycles=12933 instructions=10102 cache-misses=1
[sample=37] cpu=0 bench=fir2dim cycles=12968 instructions=10105 cache-misses=1
[sample=38] cpu=0 bench=fir2dim cycles=12964 instructions=10105 cache-misses=1
[sample=39] cpu=0 bench=fir2dim cycles=12915 instructions=10103 cache-misses=1
