[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=BUS
[sample=0] cpu=0 bench=fir2dim cycles=20702 instructions=10133 cache-misses=17
[sample=1] cpu=0 bench=fir2dim cycles=19414 instructions=10124 cache-misses=11
[sample=2] cpu=0 bench=fir2dim cycles=13223 instructions=10131 cache-misses=5
[sample=3] cpu=0 bench=fir2dim cycles=13086 instructions=10121 cache-misses=5
[sample=4] cpu=0 bench=fir2dim cycles=13092 instructions=10115 cache-misses=6
[sample=5] cpu=0 bench=fir2dim cycles=12950 instructions=10105 cache-misses=2
[sample=6] cpu=0 bench=fir2dim cycles=12918 instructions=10101 cache-misses=4
[sample=7] cpu=0 bench=fir2dim cycles=12882 instructions=10102 cache-misses=0
[sample=8] cpu=0 bench=fir2dim cycles=12909 instructions=10104 cache-misses=0
[sample=9] cpu=0 bench=fir2dim cycles=12876 instructions=10102 cache-misses=1
[sample=10] cpu=0 bench=fir2dim cycles=12827 instructions=10101 cache-misses=1
[sample=11] cpu=0 bench=fir2dim cycles=12876 instructions=10102 cache-misses=1
[sample=12] cpu=0 bench=fir2dim cycles=12870 instructions=10104 cache-misses=1
[sample=13] cpu=0 bench=fir2dim cycles=12864 instructions=10102 cache-misses=1
[sample=14] cpu=0 bench=fir2dim cycles=12903 instructions=10101 cache-misses=1
[sample=15] cpu=0 bench=fir2dim cycles=12859 instructions=10102 cache-misses=1
[sample=16] cpu=0 bench=fir2dim cycles=12923 instructions=10106 cache-misses=1
[sample=17] cpu=0 bench=fir2dim cycles=12851 instructions=10100 cache-misses=1
[sample=18] cpu=0 bench=fir2dim cycles=12861 instructions=10100 cache-misses=1
[sample=19] cpu=0 bench=fir2dim cycles=12825 instructions=10100 cache-misses=1
[sample=20] cpu=0 bench=fir2dim cycles=12893 instructions=10101 cache-misses=2
[sample=21] cpu=0 bench=fir2dim cycles=12820 instructions=10101 cache-misses=1
