[info] offlined cpu3..cpu3 to isolate the active cores
[info] cpu0..cpu2 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=CACHE  cpu2=BUS
[sample=0] cpu=0 bench=fmref cycles=751886 instructions=454821 cache-misses=168
[sample=1] cpu=0 bench=fmref cycles=674190 instructions=417305 cache-misses=86
[sample=2] cpu=0 bench=fmref cycles=660775 instructions=417304 cache-misses=81
[sample=3] cpu=0 bench=fmref cycles=656420 instructions=417301 cache-misses=83
[sample=4] cpu=0 bench=fmref cycles=654966 instructions=417307 cache-misses=76
[sample=5] cpu=0 bench=fmref cycles=655896 instructions=417302 cache-misses=70
[sample=6] cpu=0 bench=fmref cycles=656296 instructions=417304 cache-misses=92
[sample=7] cpu=0 bench=fmref cycles=658320 instructions=417305 cache-misses=84
[sample=8] cpu=0 bench=fmref cycles=656000 instructions=417307 cache-misses=78
[sample=9] cpu=0 bench=fmref cycles=655064 instructions=417306 cache-misses=77
[sample=10] cpu=0 bench=fmref cycles=654667 instructions=417302 cache-misses=81
[sample=11] cpu=0 bench=fmref cycles=654607 instructions=417305 cache-misses=72
[sample=12] cpu=0 bench=fmref cycles=655265 instructions=417300 cache-misses=89
[sample=13] cpu=0 bench=fmref cycles=655167 instructions=417307 cache-misses=78
[sample=14] cpu=0 bench=fmref cycles=654347 instructions=417300 cache-misses=75
[sample=15] cpu=0 bench=fmref cycles=654542 instructions=417306 cache-misses=80
[sample=16] cpu=0 bench=fmref cycles=654489 instructions=417305 cache-misses=80
[sample=17] cpu=0 bench=fmref cycles=654888 instructions=417301 cache-misses=75
[sample=18] cpu=0 bench=fmref cycles=655342 instructions=417302 cache-misses=87
[sample=19] cpu=0 bench=fmref cycles=655503 instructions=417301 cache-misses=79
[sample=20] cpu=0 bench=fmref cycles=656047 instructions=417302 cache-misses=73
[sample=21] cpu=0 bench=fmref cycles=655413 instructions=417305 cache-misses=74
[sample=22] cpu=0 bench=fmref cycles=655500 instructions=417302 cache-misses=80
[sample=23] cpu=0 bench=fmref cycles=654627 instructions=417307 cache-misses=83
[sample=24] cpu=0 bench=fmref cycles=654758 instructions=417302 cache-misses=73
[sample=25] cpu=0 bench=fmref cycles=654531 instructions=417302 cache-misses=78
[sample=26] cpu=0 bench=fmref cycles=654560 instructions=417303 cache-misses=82
[sample=27] cpu=0 bench=fmref cycles=655277 instructions=417306 cache-misses=73
[sample=28] cpu=0 bench=fmref cycles=655035 instructions=417304 cache-misses=76
[sample=29] cpu=0 bench=fmref cycles=654925 instructions=417306 cache-misses=83
[sample=30] cpu=0 bench=fmref cycles=654479 instructions=417308 cache-misses=74
[sample=31] cpu=0 bench=fmref cycles=655276 instructions=417307 cache-misses=88
[sample=32] cpu=0 bench=fmref cycles=655437 instructions=417300 cache-misses=82
[sample=33] cpu=0 bench=fmref cycles=654747 instructions=417303 cache-misses=77
[sample=34] cpu=0 bench=fmref cycles=654817 instructions=417308 cache-misses=79
[sample=35] cpu=0 bench=fmref cycles=655125 instructions=417305 cache-misses=78
[sample=36] cpu=0 bench=fmref cycles=654974 instructions=417305 cache-misses=75
[sample=37] cpu=0 bench=fmref cycles=655034 instructions=417307 cache-misses=105
[sample=38] cpu=0 bench=fmref cycles=654880 instructions=417301 cache-misses=72
[sample=39] cpu=0 bench=fmref cycles=654726 instructions=417303 cache-misses=81
[sample=40] cpu=0 bench=fmref cycles=654768 instructions=417300 cache-misses=80
[sample=41] cpu=0 bench=fmref cycles=654429 instructions=417305 cache-misses=79
[sample=42] cpu=0 bench=fmref cycles=654729 instructions=417302 cache-misses=78
[sample=43] cpu=0 bench=fmref cycles=659022 instructions=417301 cache-misses=94
[sample=44] cpu=0 bench=fmref cycles=655335 instructions=417302 cache-misses=73
[sample=45] cpu=0 bench=fmref cycles=655144 instructions=417303 cache-misses=73
[sample=46] cpu=0 bench=fmref cycles=655060 instructions=417307 cache-misses=77
[sample=47] cpu=0 bench=fmref cycles=658162 instructions=417301 cache-misses=83
[sample=48] cpu=0 bench=fmref cycles=654944 instructions=417299 cache-misses=76
[sample=49] cpu=0 bench=fmref cycles=659079 instructions=417308 cache-misses=97
[sample=50] cpu=0 bench=fmref cycles=655504 instructions=417305 cache-misses=72
[sample=51] cpu=0 bench=fmref cycles=654922 instructions=417306 cache-misses=73
[sample=52] cpu=0 bench=fmref cycles=655304 instructions=417308 cache-misses=84
[sample=53] cpu=0 bench=fmref cycles=657115 instructions=417306 cache-misses=83
[sample=54] cpu=0 bench=fmref cycles=655236 instructions=417305 cache-misses=81
[sample=55] cpu=0 bench=fmref cycles=655189 instructions=417307 cache-misses=91
[sample=56] cpu=0 bench=fmref cycles=654867 instructions=417307 cache-misses=77
[sample=57] cpu=0 bench=fmref cycles=654942 instructions=417303 cache-misses=78
[sample=58] cpu=0 bench=fmref cycles=655506 instructions=417299 cache-misses=73
[sample=59] cpu=0 bench=fmref cycles=655449 instructions=417306 cache-misses=75
[sample=60] cpu=0 bench=fmref cycles=655351 instructions=417303 cache-misses=73
[sample=61] cpu=0 bench=fmref cycles=655875 instructions=417304 cache-misses=75
[sample=62] cpu=0 bench=fmref cycles=655791 instructions=417304 cache-misses=77
[sample=63] cpu=0 bench=fmref cycles=656282 instructions=417299 cache-misses=76
[sample=64] cpu=0 bench=fmref cycles=658618 instructions=417305 cache-misses=80
[sample=65] cpu=0 bench=fmref cycles=656808 instructions=417302 cache-misses=76
[sample=66] cpu=0 bench=fmref cycles=655346 instructions=417304 cache-misses=81
[sample=67] cpu=0 bench=fmref cycles=655748 instructions=417299 cache-misses=77
[sample=68] cpu=0 bench=fmref cycles=655729 instructions=417300 cache-misses=82
[sample=69] cpu=0 bench=fmref cycles=656955 instructions=417304 cache-misses=77
[sample=70] cpu=0 bench=fmref cycles=659817 instructions=417303 cache-misses=86
[sample=71] cpu=0 bench=fmref cycles=657068 instructions=417303 cache-misses=79
[sample=72] cpu=0 bench=fmref cycles=655748 instructions=417300 cache-misses=81
[sample=73] cpu=0 bench=fmref cycles=656356 instructions=417310 cache-misses=90
[sample=74] cpu=0 bench=fmref cycles=657071 instructions=417305 cache-misses=76
[sample=75] cpu=0 bench=fmref cycles=656330 instructions=417300 cache-misses=74
[sample=76] cpu=0 bench=fmref cycles=655947 instructions=417301 cache-misses=80
[sample=77] cpu=0 bench=fmref cycles=656631 instructions=417300 cache-misses=77
[sample=78] cpu=0 bench=fmref cycles=658962 instructions=417301 cache-misses=72
[sample=79] cpu=0 bench=fmref cycles=659987 instructions=417304 cache-misses=74
[sample=80] cpu=0 bench=fmref cycles=659668 instructions=417301 cache-misses=75
[sample=81] cpu=0 bench=fmref cycles=665428 instructions=417300 cache-misses=81
[sample=82] cpu=0 bench=fmref cycles=656766 instructions=417306 cache-misses=80
[sample=83] cpu=0 bench=fmref cycles=655477 instructions=417303 cache-misses=83
[sample=84] cpu=0 bench=fmref cycles=655364 instructions=417304 cache-misses=97
[sample=85] cpu=0 bench=fmref cycles=654777 instructions=417303 cache-misses=81
[sample=86] cpu=0 bench=fmref cycles=659557 instructions=417306 cache-misses=80
[sample=87] cpu=0 bench=fmref cycles=654399 instructions=417301 cache-misses=77
[sample=88] cpu=0 bench=fmref cycles=654596 instructions=417298 cache-misses=79
[sample=89] cpu=0 bench=fmref cycles=654531 instructions=417302 cache-misses=77
[sample=90] cpu=0 bench=fmref cycles=654296 instructions=417302 cache-misses=70
[sample=91] cpu=0 bench=fmref cycles=654964 instructions=417304 cache-misses=83
[sample=92] cpu=0 bench=fmref cycles=656028 instructions=417302 cache-misses=80
[sample=93] cpu=0 bench=fmref cycles=654771 instructions=417302 cache-misses=81
[sample=94] cpu=0 bench=fmref cycles=654985 instructions=417308 cache-misses=81
[sample=95] cpu=0 bench=fmref cycles=654786 instructions=417310 cache-misses=78
[sample=96] cpu=0 bench=fmref cycles=654931 instructions=417301 cache-misses=82
[sample=97] cpu=0 bench=fmref cycles=655058 instructions=417308 cache-misses=88
[sample=98] cpu=0 bench=fmref cycles=656991 instructions=417300 cache-misses=74
[sample=99] cpu=0 bench=fmref cycles=655505 instructions=417306 cache-misses=85

# Statistics over 100 samples on cpu0 bench=fmref (background load on cpu1..cpu2)
# event                          min                  max                  avg               median
  cycles                      654296               751886            657028.02            655338.50
  instructions                417298               454821            417678.75            417303.50
  cache-misses                    70                  168                80.49                79.00
