[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=CACHE  cpu2=CACHE  cpu3=BUS
[sample=0] cpu=0 bench=iir cycles=8859 instructions=2593 cache-misses=18
[sample=1] cpu=0 bench=iir cycles=6858 instructions=2589 cache-misses=12
[sample=2] cpu=0 bench=iir cycles=4103 instructions=2589 cache-misses=13
[sample=3] cpu=0 bench=iir cycles=4359 instructions=2589 cache-misses=13
[sample=4] cpu=0 bench=iir cycles=4279 instructions=2589 cache-misses=13
[sample=5] cpu=0 bench=iir cycles=3892 instructions=2589 cache-misses=11
[sample=6] cpu=0 bench=iir cycles=8153 instructions=2589 cache-misses=14
[sample=7] cpu=0 bench=iir cycles=4953 instructions=2589 cache-misses=13
[sample=8] cpu=0 bench=iir cycles=4173 instructions=2589 cache-misses=14
[sample=9] cpu=0 bench=iir cycles=4264 instructions=2589 cache-misses=12
[sample=10] cpu=0 bench=iir cycles=3831 instructions=2589 cache-misses=13
[sample=11] cpu=0 bench=iir cycles=3611 instructions=2589 cache-misses=13
[sample=12] cpu=0 bench=iir cycles=3683 instructions=2589 cache-misses=15
[sample=13] cpu=0 bench=iir cycles=3591 instructions=2589 cache-misses=11
[sample=14] cpu=0 bench=iir cycles=3626 instructions=2589 cache-misses=15
[sample=15] cpu=0 bench=iir cycles=3705 instructions=2589 cache-misses=17
[sample=16] cpu=0 bench=iir cycles=3618 instructions=2589 cache-misses=13
[sample=17] cpu=0 bench=iir cycles=3605 instructions=2589 cache-misses=11
[sample=18] cpu=0 bench=iir cycles=3615 instructions=2589 cache-misses=11
[sample=19] cpu=0 bench=iir cycles=3835 instructions=2589 cache-misses=12
[sample=20] cpu=0 bench=iir cycles=3629 instructions=2589 cache-misses=13
[sample=21] cpu=0 bench=iir cycles=3623 instructions=2589 cache-misses=10
[sample=22] cpu=0 bench=iir cycles=3675 instructions=2589 cache-misses=13
[sample=23] cpu=0 bench=iir cycles=3685 instructions=2589 cache-misses=12
[sample=24] cpu=0 bench=iir cycles=3628 instructions=2589 cache-misses=11
[sample=25] cpu=0 bench=iir cycles=3676 instructions=2589 cache-misses=14
[sample=26] cpu=0 bench=iir cycles=3652 instructions=2589 cache-misses=12
[sample=27] cpu=0 bench=iir cycles=3853 instructions=2589 cache-misses=14
[sample=28] cpu=0 bench=iir cycles=3954 instructions=2589 cache-misses=14
[sample=29] cpu=0 bench=iir cycles=3628 instructions=2589 cache-misses=15
[sample=30] cpu=0 bench=iir cycles=3694 instructions=2589 cache-misses=16
[sample=31] cpu=0 bench=iir cycles=3624 instructions=2589 cache-misses=12
[sample=32] cpu=0 bench=iir cycles=3683 instructions=2589 cache-misses=13
[sample=33] cpu=0 bench=iir cycles=3647 instructions=2589 cache-misses=14
[sample=34] cpu=0 bench=iir cycles=3674 instructions=2589 cache-misses=12
[sample=35] cpu=0 bench=iir cycles=3687 instructions=2589 cache-misses=15
[sample=36] cpu=0 bench=iir cycles=3615 instructions=2589 cache-misses=12
[sample=37] cpu=0 bench=iir cycles=3963 instructions=2589 cache-misses=14
[sample=38] cpu=0 bench=iir cycles=3629 instructions=2589 cache-misses=13
[sample=39] cpu=0 bench=iir cycles=3638 instructions=2589 cache-misses=13
[sample=40] cpu=0 bench=iir cycles=3648 instructions=2589 cache-misses=12
[sample=41] cpu=0 bench=iir cycles=3673 instructions=2589 cache-misses=14
[sample=42] cpu=0 bench=iir cycles=3596 instructions=2589 cache-misses=10
[sample=43] cpu=0 bench=iir cycles=3645 instructions=2589 cache-misses=14
[sample=44] cpu=0 bench=iir cycles=3678 instructions=2589 cache-misses=11
[sample=45] cpu=0 bench=iir cycles=3655 instructions=2589 cache-misses=12
[sample=46] cpu=0 bench=iir cycles=3604 instructions=2589 cache-misses=11
[sample=47] cpu=0 bench=iir cycles=3652 instructions=2589 cache-misses=13
[sample=48] cpu=0 bench=iir cycles=3651 instructions=2589 cache-misses=14
[sample=49] cpu=0 bench=iir cycles=3648 instructions=2589 cache-misses=15
[sample=50] cpu=0 bench=iir cycles=3662 instructions=2589 cache-misses=15
[sample=51] cpu=0 bench=iir cycles=3605 instructions=2589 cache-misses=12
[sample=52] cpu=0 bench=iir cycles=3677 instructions=2589 cache-misses=10
[sample=53] cpu=0 bench=iir cycles=3669 instructions=2589 cache-misses=14
[sample=54] cpu=0 bench=iir cycles=3609 instructions=2589 cache-misses=10
[sample=55] cpu=0 bench=iir cycles=3603 instructions=2589 cache-misses=11
[sample=56] cpu=0 bench=iir cycles=3613 instructions=2589 cache-misses=12
[sample=57] cpu=0 bench=iir cycles=3973 instructions=2589 cache-misses=13
[sample=58] cpu=0 bench=iir cycles=3643 instructions=2589 cache-misses=13
[sample=59] cpu=0 bench=iir cycles=3648 instructions=2589 cache-misses=16
[sample=60] cpu=0 bench=iir cycles=3923 instructions=2589 cache-misses=11
[sample=61] cpu=0 bench=iir cycles=3646 instructions=2589 cache-misses=13
[sample=62] cpu=0 bench=iir cycles=3605 instructions=2589 cache-misses=12
[sample=63] cpu=0 bench=iir cycles=3696 instructions=2589 cache-misses=16
[sample=64] cpu=0 bench=iir cycles=3610 instructions=2589 cache-misses=11
[sample=65] cpu=0 bench=iir cycles=3619 instructions=2589 cache-misses=15
[sample=66] cpu=0 bench=iir cycles=3729 instructions=2589 cache-misses=14
[sample=67] cpu=0 bench=iir cycles=3621 instructions=2589 cache-misses=13
[sample=68] cpu=0 bench=iir cycles=3827 instructions=2589 cache-misses=13
[sample=69] cpu=0 bench=iir cycles=3651 instructions=2589 cache-misses=12
[sample=70] cpu=0 bench=iir cycles=3671 instructions=2589 cache-misses=14
[sample=71] cpu=0 bench=iir cycles=3632 instructions=2589 cache-misses=11
[sample=72] cpu=0 bench=iir cycles=3788 instructions=2591 cache-misses=17
[sample=73] cpu=0 bench=iir cycles=3648 instructions=2589 cache-misses=14
[sample=74] cpu=0 bench=iir cycles=3626 instructions=2589 cache-misses=12
[sample=75] cpu=0 bench=iir cycles=3663 instructions=2589 cache-misses=14
[sample=76] cpu=0 bench=iir cycles=3587 instructions=2589 cache-misses=11
[sample=77] cpu=0 bench=iir cycles=3850 instructions=2589 cache-misses=13
[sample=78] cpu=0 bench=iir cycles=3619 instructions=2589 cache-misses=16
[sample=79] cpu=0 bench=iir cycles=3651 instructions=2589 cache-misses=16
[sample=80] cpu=0 bench=iir cycles=3698 instructions=2589 cache-misses=15
[sample=81] cpu=0 bench=iir cycles=3644 instructions=2589 cache-misses=14
[sample=82] cpu=0 bench=iir cycles=3631 instructions=2589 cache-misses=14
[sample=83] cpu=0 bench=iir cycles=3642 instructions=2589 cache-misses=13
[sample=84] cpu=0 bench=iir cycles=3676 instructions=2589 cache-misses=14
[sample=85] cpu=0 bench=iir cycles=3624 instructions=2589 cache-misses=14
[sample=86] cpu=0 bench=iir cycles=3620 instructions=2589 cache-misses=12
[sample=87] cpu=0 bench=iir cycles=3635 instructions=2589 cache-misses=14
[sample=88] cpu=0 bench=iir cycles=3660 instructions=2589 cache-misses=13
[sample=89] cpu=0 bench=iir cycles=3646 instructions=2589 cache-misses=14
[sample=90] cpu=0 bench=iir cycles=3602 instructions=2589 cache-misses=13
[sample=91] cpu=0 bench=iir cycles=3642 instructions=2589 cache-misses=13
[sample=92] cpu=0 bench=iir cycles=3678 instructions=2589 cache-misses=15
[sample=93] cpu=0 bench=iir cycles=4086 instructions=2589 cache-misses=14
[sample=94] cpu=0 bench=iir cycles=3701 instructions=2589 cache-misses=14
[sample=95] cpu=0 bench=iir cycles=4408 instructions=2589 cache-misses=11
[sample=96] cpu=0 bench=iir cycles=4427 instructions=2589 cache-misses=13
[sample=97] cpu=0 bench=iir cycles=4017 instructions=2589 cache-misses=14
