[info] offlined cpu3..cpu3 to isolate the active cores
[info] cpu0..cpu2 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=CACHE  cpu2=BUS
[sample=0] cpu=0 bench=iir cycles=9835 instructions=2592 cache-misses=16
[sample=1] cpu=0 bench=iir cycles=4192 instructions=2589 cache-misses=10
[sample=2] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=4
[sample=3] cpu=0 bench=iir cycles=3464 instructions=2588 cache-misses=4
[sample=4] cpu=0 bench=iir cycles=3536 instructions=2588 cache-misses=4
[sample=5] cpu=0 bench=iir cycles=3498 instructions=2588 cache-misses=6
[sample=6] cpu=0 bench=iir cycles=3514 instructions=2588 cache-misses=5
[sample=7] cpu=0 bench=iir cycles=3494 instructions=2588 cache-misses=4
[sample=8] cpu=0 bench=iir cycles=3491 instructions=2588 cache-misses=4
[sample=9] cpu=0 bench=iir cycles=3464 instructions=2588 cache-misses=3
[sample=10] cpu=0 bench=iir cycles=3475 instructions=2588 cache-misses=4
[sample=11] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=3
[sample=12] cpu=0 bench=iir cycles=3441 instructions=2588 cache-misses=4
[sample=13] cpu=0 bench=iir cycles=3473 instructions=2588 cache-misses=4
[sample=14] cpu=0 bench=iir cycles=3483 instructions=2588 cache-misses=3
[sample=15] cpu=0 bench=iir cycles=3507 instructions=2588 cache-misses=2
[sample=16] cpu=0 bench=iir cycles=3503 instructions=2588 cache-misses=8
[sample=17] cpu=0 bench=iir cycles=3469 instructions=2588 cache-misses=4
[sample=18] cpu=0 bench=iir cycles=3517 instructions=2588 cache-misses=5
[sample=19] cpu=0 bench=iir cycles=3491 instructions=2588 cache-misses=5
[sample=20] cpu=0 bench=iir cycles=3478 instructions=2588 cache-misses=5
[sample=21] cpu=0 bench=iir cycles=3494 instructions=2588 cache-misses=5
[sample=22] cpu=0 bench=iir cycles=3481 instructions=2588 cache-misses=4
[sample=23] cpu=0 bench=iir cycles=3486 instructions=2588 cache-misses=4
[sample=24] cpu=0 bench=iir cycles=3513 instructions=2588 cache-misses=5
[sample=25] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=3
[sample=26] cpu=0 bench=iir cycles=3518 instructions=2588 cache-misses=5
[sample=27] cpu=0 bench=iir cycles=3517 instructions=2588 cache-misses=5
[sample=28] cpu=0 bench=iir cycles=3543 instructions=2588 cache-misses=5
[sample=29] cpu=0 bench=iir cycles=3495 instructions=2588 cache-misses=4
[sample=30] cpu=0 bench=iir cycles=3492 instructions=2588 cache-misses=2
[sample=31] cpu=0 bench=iir cycles=3477 instructions=2588 cache-misses=3
[sample=32] cpu=0 bench=iir cycles=3511 instructions=2588 cache-misses=5
[sample=33] cpu=0 bench=iir cycles=3503 instructions=2588 cache-misses=3
[sample=34] cpu=0 bench=iir cycles=3493 instructions=2588 cache-misses=3
[sample=35] cpu=0 bench=iir cycles=3486 instructions=2588 cache-misses=4
[sample=36] cpu=0 bench=iir cycles=3495 instructions=2588 cache-misses=4
[sample=37] cpu=0 bench=iir cycles=3483 instructions=2588 cache-misses=4
[sample=38] cpu=0 bench=iir cycles=3517 instructions=2588 cache-misses=4
[sample=39] cpu=0 bench=iir cycles=3489 instructions=2588 cache-misses=3
[sample=40] cpu=0 bench=iir cycles=3476 instructions=2588 cache-misses=4
[sample=41] cpu=0 bench=iir cycles=3465 instructions=2588 cache-misses=5
[sample=42] cpu=0 bench=iir cycles=3510 instructions=2588 cache-misses=5
[sample=43] cpu=0 bench=iir cycles=3457 instructions=2588 cache-misses=4
[sample=44] cpu=0 bench=iir cycles=3497 instructions=2588 cache-misses=6
[sample=45] cpu=0 bench=iir cycles=3442 instructions=2588 cache-misses=5
[sample=46] cpu=0 bench=iir cycles=3506 instructions=2588 cache-misses=4
[sample=47] cpu=0 bench=iir cycles=3491 instructions=2588 cache-misses=4
[sample=48] cpu=0 bench=iir cycles=3496 instructions=2588 cache-misses=6
[sample=49] cpu=0 bench=iir cycles=3505 instructions=2588 cache-misses=4
[sample=50] cpu=0 bench=iir cycles=3511 instructions=2588 cache-misses=5
[sample=51] cpu=0 bench=iir cycles=3478 instructions=2588 cache-misses=4
[sample=52] cpu=0 bench=iir cycles=3500 instructions=2588 cache-misses=6
[sample=53] cpu=0 bench=iir cycles=3544 instructions=2588 cache-misses=6
[sample=54] cpu=0 bench=iir cycles=3496 instructions=2588 cache-misses=3
