[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=CACHE
[sample=0] cpu=0 bench=binarysearch cycles=6705 instructions=1263 cache-misses=16
[sample=1] cpu=0 bench=binarysearch cycles=4354 instructions=1257 cache-misses=14
[sample=2] cpu=0 bench=binarysearch cycles=2076 instructions=1258 cache-misses=13
[sample=3] cpu=0 bench=binarysearch cycles=2022 instructions=1258 cache-misses=8
[sample=4] cpu=0 bench=binarysearch cycles=2121 instructions=1258 cache-misses=15
[sample=5] cpu=0 bench=binarysearch cycles=1994 instructions=1258 cache-misses=10
[sample=6] cpu=0 bench=binarysearch cycles=2062 instructions=1259 cache-misses=11
[sample=7] cpu=0 bench=binarysearch cycles=2105 instructions=1259 cache-misses=13
[sample=8] cpu=0 bench=binarysearch cycles=2039 instructions=1258 cache-misses=12
[sample=9] cpu=0 bench=binarysearch cycles=2023 instructions=1259 cache-misses=9
[sample=10] cpu=0 bench=binarysearch cycles=2011 instructions=1258 cache-misses=9
[sample=11] cpu=0 bench=binarysearch cycles=2085 instructions=1258 cache-misses=13
[sample=12] cpu=0 bench=binarysearch cycles=2129 instructions=1259 cache-misses=15
[sample=13] cpu=0 bench=binarysearch cycles=2276 instructions=1258 cache-misses=14
[sample=14] cpu=0 bench=binarysearch cycles=2048 instructions=1258 cache-misses=11
[sample=15] cpu=0 bench=binarysearch cycles=2034 instructions=1259 cache-misses=9
[sample=16] cpu=0 bench=binarysearch cycles=2043 instructions=1258 cache-misses=11
[sample=17] cpu=0 bench=binarysearch cycles=2054 instructions=1259 cache-misses=12
[sample=18] cpu=0 bench=binarysearch cycles=2014 instructions=1259 cache-misses=9
[sample=19] cpu=0 bench=binarysearch cycles=2081 instructions=1259 cache-misses=13
[sample=20] cpu=0 bench=binarysearch cycles=2075 instructions=1258 cache-misses=12
[sample=21] cpu=0 bench=binarysearch cycles=2011 instructions=1259 cache-misses=9
[sample=22] cpu=0 bench=binarysearch cycles=2068 instructions=1258 cache-misses=12
[sample=23] cpu=0 bench=binarysearch cycles=2082 instructions=1258 cache-misses=13
[sample=24] cpu=0 bench=binarysearch cycles=2092 instructions=1259 cache-misses=13
[sample=25] cpu=0 bench=binarysearch cycles=2054 instructions=1259 cache-misses=12
[sample=26] cpu=0 bench=binarysearch cycles=2420 instructions=1259 cache-misses=13
[sample=27] cpu=0 bench=binarysearch cycles=1991 instructions=1259 cache-misses=9
[sample=28] cpu=0 bench=binarysearch cycles=2119 instructions=1259 cache-misses=15
[sample=29] cpu=0 bench=binarysearch cycles=2006 instructions=1259 cache-misses=7
[sample=30] cpu=0 bench=binarysearch cycles=2012 instructions=1259 cache-misses=8
[sample=31] cpu=0 bench=binarysearch cycles=2061 instructions=1259 cache-misses=11
[sample=32] cpu=0 bench=binarysearch cycles=2069 instructions=1259 cache-misses=12
[sample=33] cpu=0 bench=binarysearch cycles=2107 instructions=1259 cache-misses=14
[sample=34] cpu=0 bench=binarysearch cycles=2053 instructions=1259 cache-misses=7
[sample=35] cpu=0 bench=binarysearch cycles=2105 instructions=1259 cache-misses=14
[sample=36] cpu=0 bench=binarysearch cycles=2084 instructions=1259 cache-misses=13
[sample=37] cpu=0 bench=binarysearch cycles=2142 instructions=1259 cache-misses=12
[sample=38] cpu=0 bench=binarysearch cycles=2112 instructions=1259 cache-misses=13
[sample=39] cpu=0 bench=binarysearch cycles=2002 instructions=1258 cache-misses=10
[sample=40] cpu=0 bench=binarysearch cycles=2001 instructions=1259 cache-misses=10
[sample=41] cpu=0 bench=binarysearch cycles=2022 instructions=1258 cache-misses=12
[sample=42] cpu=0 bench=binarysearch cycles=2084 instructions=1259 cache-misses=12
[sample=43] cpu=0 bench=binarysearch cycles=2067 instructions=1259 cache-misses=14
[sample=44] cpu=0 bench=binarysearch cycles=2085 instructions=1259 cache-misses=14
[sample=45] cpu=0 bench=binarysearch cycles=2054 instructions=1259 cache-misses=11
[sample=46] cpu=0 bench=binarysearch cycles=1985 instructions=1258 cache-misses=8
[sample=47] cpu=0 bench=binarysearch cycles=2097 instructions=1258 cache-misses=14
[sample=48] cpu=0 bench=binarysearch cycles=2061 instructions=1258 cache-misses=13
[sample=49] cpu=0 bench=binarysearch cycles=2075 instructions=1258 cache-misses=13
[sample=50] cpu=0 bench=binarysearch cycles=2068 instructions=1259 cache-misses=12
[sample=51] cpu=0 bench=binarysearch cycles=2058 instructions=1259 cache-misses=13
[sample=52] cpu=0 bench=binarysearch cycles=2046 instructions=1259 cache-misses=12
[sample=53] cpu=0 bench=binarysearch cycles=2049 instructions=1259 cache-misses=13
[sample=54] cpu=0 bench=binarysearch cycles=1999 instructions=1259 cache-misses=9
[sample=55] cpu=0 bench=binarysearch cycles=1981 instructions=1259 cache-misses=8
