[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=CACHE
[sample=0] cpu=0 bench=binarysearch cycles=6794 instructions=1262 cache-misses=13
[sample=1] cpu=0 bench=binarysearch cycles=4857 instructions=1258 cache-misses=12
[sample=2] cpu=0 bench=binarysearch cycles=2406 instructions=1259 cache-misses=10
[sample=3] cpu=0 bench=binarysearch cycles=2009 instructions=1257 cache-misses=9
[sample=4] cpu=0 bench=binarysearch cycles=2022 instructions=1259 cache-misses=7
[sample=5] cpu=0 bench=binarysearch cycles=2017 instructions=1259 cache-misses=9
[sample=6] cpu=0 bench=binarysearch cycles=2012 instructions=1258 cache-misses=8
[sample=7] cpu=0 bench=binarysearch cycles=2015 instructions=1259 cache-misses=11
[sample=8] cpu=0 bench=binarysearch cycles=3936 instructions=1258 cache-misses=9
[sample=9] cpu=0 bench=binarysearch cycles=2098 instructions=1259 cache-misses=14
[sample=10] cpu=0 bench=binarysearch cycles=2406 instructions=1257 cache-misses=8
[sample=11] cpu=0 bench=binarysearch cycles=2020 instructions=1258 cache-misses=9
[sample=12] cpu=0 bench=binarysearch cycles=2028 instructions=1258 cache-misses=7
[sample=13] cpu=0 bench=binarysearch cycles=2009 instructions=1259 cache-misses=8
[sample=14] cpu=0 bench=binarysearch cycles=2008 instructions=1259 cache-misses=8
[sample=15] cpu=0 bench=binarysearch cycles=1995 instructions=1257 cache-misses=9
[sample=16] cpu=0 bench=binarysearch cycles=2270 instructions=1258 cache-misses=10
[sample=17] cpu=0 bench=binarysearch cycles=2089 instructions=1258 cache-misses=8
[sample=18] cpu=0 bench=binarysearch cycles=4440 instructions=1257 cache-misses=10
[sample=19] cpu=0 bench=binarysearch cycles=3416 instructions=1257 cache-misses=9
[sample=20] cpu=0 bench=binarysearch cycles=2010 instructions=1258 cache-misses=8
[sample=21] cpu=0 bench=binarysearch cycles=2073 instructions=1259 cache-misses=7
[sample=22] cpu=0 bench=binarysearch cycles=2006 instructions=1258 cache-misses=8
[sample=23] cpu=0 bench=binarysearch cycles=2331 instructions=1258 cache-misses=9
[sample=24] cpu=0 bench=binarysearch cycles=2367 instructions=1257 cache-misses=12
[sample=25] cpu=0 bench=binarysearch cycles=14736 instructions=1258 cache-misses=23
[sample=26] cpu=0 bench=binarysearch cycles=2271 instructions=1258 cache-misses=3
[sample=27] cpu=0 bench=binarysearch cycles=1835 instructions=1258 cache-misses=0
[sample=28] cpu=0 bench=binarysearch cycles=1848 instructions=1257 cache-misses=0
[sample=29] cpu=0 bench=binarysearch cycles=1862 instructions=1257 cache-misses=0
[sample=30] cpu=0 bench=binarysearch cycles=1844 instructions=1258 cache-misses=0
[sample=31] cpu=0 bench=binarysearch cycles=1847 instructions=1257 cache-misses=0
[sample=32] cpu=0 bench=binarysearch cycles=1845 instructions=1257 cache-misses=0
[sample=33] cpu=0 bench=binarysearch cycles=1855 instructions=1257 cache-misses=0
[sample=34] cpu=0 bench=binarysearch cycles=1843 instructions=1257 cache-misses=0
[sample=35] cpu=0 bench=binarysearch cycles=1863 instructions=1257 cache-misses=0
[sample=36] cpu=0 bench=binarysearch cycles=1852 instructions=1257 cache-misses=0
[sample=37] cpu=0 bench=binarysearch cycles=1838 instructions=1257 cache-misses=0
[sample=38] cpu=0 bench=binarysearch cycles=1827 instructions=1257 cache-misses=0
[sample=39] cpu=0 bench=binarysearch cycles=1845 instructions=1258 cache-misses=0
