[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=CACHE
[sample=0] cpu=0 bench=fmref cycles=750583 instructions=454813 cache-misses=121
[sample=1] cpu=0 bench=fmref cycles=685336 instructions=417310 cache-misses=78
[sample=2] cpu=0 bench=fmref cycles=659240 instructions=417302 cache-misses=65
[sample=3] cpu=0 bench=fmref cycles=656120 instructions=417300 cache-misses=65
[sample=4] cpu=0 bench=fmref cycles=660966 instructions=417303 cache-misses=71
[sample=5] cpu=0 bench=fmref cycles=656992 instructions=417297 cache-misses=70
[sample=6] cpu=0 bench=fmref cycles=662333 instructions=417304 cache-misses=82
[sample=7] cpu=0 bench=fmref cycles=658071 instructions=417306 cache-misses=65
[sample=8] cpu=0 bench=fmref cycles=657480 instructions=417304 cache-misses=68
[sample=9] cpu=0 bench=fmref cycles=655665 instructions=417308 cache-misses=69
[sample=10] cpu=0 bench=fmref cycles=657007 instructions=417300 cache-misses=67
[sample=11] cpu=0 bench=fmref cycles=657092 instructions=417307 cache-misses=67
[sample=12] cpu=0 bench=fmref cycles=656664 instructions=417305 cache-misses=83
[sample=13] cpu=0 bench=fmref cycles=664008 instructions=417304 cache-misses=74
[sample=14] cpu=0 bench=fmref cycles=662184 instructions=417300 cache-misses=66
[sample=15] cpu=0 bench=fmref cycles=656478 instructions=417297 cache-misses=65
[sample=16] cpu=0 bench=fmref cycles=655527 instructions=417299 cache-misses=65
[sample=17] cpu=0 bench=fmref cycles=656993 instructions=417300 cache-misses=70
[sample=18] cpu=0 bench=fmref cycles=656130 instructions=417298 cache-misses=66
[sample=19] cpu=0 bench=fmref cycles=664840 instructions=417306 cache-misses=84
[sample=20] cpu=0 bench=fmref cycles=660269 instructions=417305 cache-misses=69
[sample=21] cpu=0 bench=fmref cycles=657635 instructions=417301 cache-misses=72
[sample=22] cpu=0 bench=fmref cycles=656285 instructions=417297 cache-misses=68
