[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=CACHE
[sample=0] cpu=0 bench=fmref cycles=750972 instructions=454813 cache-misses=111
[sample=1] cpu=0 bench=fmref cycles=664943 instructions=417302 cache-misses=67
[sample=2] cpu=0 bench=fmref cycles=655767 instructions=417298 cache-misses=69
[sample=3] cpu=0 bench=fmref cycles=654565 instructions=417306 cache-misses=70
[sample=4] cpu=0 bench=fmref cycles=654310 instructions=417299 cache-misses=69
[sample=5] cpu=0 bench=fmref cycles=654570 instructions=417304 cache-misses=70
[sample=6] cpu=0 bench=fmref cycles=654722 instructions=417303 cache-misses=78
[sample=7] cpu=0 bench=fmref cycles=654554 instructions=417303 cache-misses=70
[sample=8] cpu=0 bench=fmref cycles=654530 instructions=417300 cache-misses=72
[sample=9] cpu=0 bench=fmref cycles=654712 instructions=417306 cache-misses=73
[sample=10] cpu=0 bench=fmref cycles=654754 instructions=417303 cache-misses=68
[sample=11] cpu=0 bench=fmref cycles=654598 instructions=417303 cache-misses=78
[sample=12] cpu=0 bench=fmref cycles=654488 instructions=417306 cache-misses=69
[sample=13] cpu=0 bench=fmref cycles=654702 instructions=417300 cache-misses=88
[sample=14] cpu=0 bench=fmref cycles=654954 instructions=417303 cache-misses=72
[sample=15] cpu=0 bench=fmref cycles=658899 instructions=417310 cache-misses=101
[sample=16] cpu=0 bench=fmref cycles=654484 instructions=417303 cache-misses=67
[sample=17] cpu=0 bench=fmref cycles=654658 instructions=417301 cache-misses=71
[sample=18] cpu=0 bench=fmref cycles=655920 instructions=417301 cache-misses=72
[sample=19] cpu=0 bench=fmref cycles=654995 instructions=417308 cache-misses=84
[sample=20] cpu=0 bench=fmref cycles=654813 instructions=417306 cache-misses=66
[sample=21] cpu=0 bench=fmref cycles=654416 instructions=417304 cache-misses=68
[sample=22] cpu=0 bench=fmref cycles=655024 instructions=417302 cache-misses=71
[sample=23] cpu=0 bench=fmref cycles=654973 instructions=417302 cache-misses=68
[sample=24] cpu=0 bench=fmref cycles=654545 instructions=417305 cache-misses=70
[sample=25] cpu=0 bench=fmref cycles=654315 instructions=417302 cache-misses=70
[sample=26] cpu=0 bench=fmref cycles=654431 instructions=417297 cache-misses=71
[sample=27] cpu=0 bench=fmref cycles=654534 instructions=417303 cache-misses=72
[sample=28] cpu=0 bench=fmref cycles=654647 instructions=417301 cache-misses=69
[sample=29] cpu=0 bench=fmref cycles=654332 instructions=417299 cache-misses=69
[sample=30] cpu=0 bench=fmref cycles=654392 instructions=417299 cache-misses=66
[sample=31] cpu=0 bench=fmref cycles=654625 instructions=417299 cache-misses=72
[sample=32] cpu=0 bench=fmref cycles=654801 instructions=417300 cache-misses=82
[sample=33] cpu=0 bench=fmref cycles=654550 instructions=417302 cache-misses=70
[sample=34] cpu=0 bench=fmref cycles=654559 instructions=417299 cache-misses=74
[sample=35] cpu=0 bench=fmref cycles=654446 instructions=417301 cache-misses=68
[sample=36] cpu=0 bench=fmref cycles=655051 instructions=417299 cache-misses=70
[sample=37] cpu=0 bench=fmref cycles=654910 instructions=417298 cache-misses=69
[sample=38] cpu=0 bench=fmref cycles=654342 instructions=417300 cache-misses=68
[sample=39] cpu=0 bench=fmref cycles=654862 instructions=417303 cache-misses=68
[sample=40] cpu=0 bench=fmref cycles=657571 instructions=417299 cache-misses=70
[sample=41] cpu=0 bench=fmref cycles=654470 instructions=417303 cache-misses=70
[sample=42] cpu=0 bench=fmref cycles=654455 instructions=417299 cache-misses=69
[sample=43] cpu=0 bench=fmref cycles=654787 instructions=417297 cache-misses=69
[sample=44] cpu=0 bench=fmref cycles=654807 instructions=417301 cache-misses=69
[sample=45] cpu=0 bench=fmref cycles=654729 instructions=417304 cache-misses=104
[sample=46] cpu=0 bench=fmref cycles=654431 instructions=417297 cache-misses=71
[sample=47] cpu=0 bench=fmref cycles=654540 instructions=417305 cache-misses=74
[sample=48] cpu=0 bench=fmref cycles=654680 instructions=417298 cache-misses=72
[sample=49] cpu=0 bench=fmref cycles=654639 instructions=417302 cache-misses=70
[sample=50] cpu=0 bench=fmref cycles=654565 instructions=417300 cache-misses=68
[sample=51] cpu=0 bench=fmref cycles=654741 instructions=417303 cache-misses=80
[sample=52] cpu=0 bench=fmref cycles=654308 instructions=417300 cache-misses=70
[sample=53] cpu=0 bench=fmref cycles=654638 instructions=417303 cache-misses=70
[sample=54] cpu=0 bench=fmref cycles=654496 instructions=417298 cache-misses=69
[sample=55] cpu=0 bench=fmref cycles=654413 instructions=417299 cache-misses=73
[sample=56] cpu=0 bench=fmref cycles=654551 instructions=417302 cache-misses=69
[sample=57] cpu=0 bench=fmref cycles=654436 instructions=417297 cache-misses=72
[sample=58] cpu=0 bench=fmref cycles=654747 instructions=417297 cache-misses=66
[sample=59] cpu=0 bench=fmref cycles=654873 instructions=417302 cache-misses=70
[sample=60] cpu=0 bench=fmref cycles=654374 instructions=417300 cache-misses=71
[sample=61] cpu=0 bench=fmref cycles=654466 instructions=417301 cache-misses=68
[sample=62] cpu=0 bench=fmref cycles=654776 instructions=417304 cache-misses=66
[sample=63] cpu=0 bench=fmref cycles=654641 instructions=417306 cache-misses=75
[sample=64] cpu=0 bench=fmref cycles=654760 instructions=417302 cache-misses=80
[sample=65] cpu=0 bench=fmref cycles=654543 instructions=417305 cache-misses=68
[sample=66] cpu=0 bench=fmref cycles=654492 instructions=417303 cache-misses=67
[sample=67] cpu=0 bench=fmref cycles=654619 instructions=417299 cache-misses=71
[sample=68] cpu=0 bench=fmref cycles=654842 instructions=417300 cache-misses=72
