[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=CACHE
[sample=0] cpu=0 bench=fmref cycles=753541 instructions=454813 cache-misses=119
[sample=1] cpu=0 bench=fmref cycles=667857 instructions=417310 cache-misses=71
[sample=2] cpu=0 bench=fmref cycles=658143 instructions=417303 cache-misses=73
[sample=3] cpu=0 bench=fmref cycles=660029 instructions=417303 cache-misses=73
[sample=4] cpu=0 bench=fmref cycles=657918 instructions=417304 cache-misses=66
[sample=5] cpu=0 bench=fmref cycles=658218 instructions=417305 cache-misses=85
[sample=6] cpu=0 bench=fmref cycles=658562 instructions=417297 cache-misses=73
[sample=7] cpu=0 bench=fmref cycles=657853 instructions=417300 cache-misses=69
[sample=8] cpu=0 bench=fmref cycles=657093 instructions=417304 cache-misses=66
[sample=9] cpu=0 bench=fmref cycles=656746 instructions=417305 cache-misses=66
[sample=10] cpu=0 bench=fmref cycles=662352 instructions=417301 cache-misses=72
[sample=11] cpu=0 bench=fmref cycles=661421 instructions=417303 cache-misses=78
[sample=12] cpu=0 bench=fmref cycles=658363 instructions=417298 cache-misses=71
[sample=13] cpu=0 bench=fmref cycles=659551 instructions=417300 cache-misses=71
[sample=14] cpu=0 bench=fmref cycles=657299 instructions=417301 cache-misses=71
[sample=15] cpu=0 bench=fmref cycles=657329 instructions=417301 cache-misses=73
[sample=16] cpu=0 bench=fmref cycles=656014 instructions=417303 cache-misses=71
[sample=17] cpu=0 bench=fmref cycles=657150 instructions=417302 cache-misses=67
[sample=18] cpu=0 bench=fmref cycles=657751 instructions=417308 cache-misses=104
[sample=19] cpu=0 bench=fmref cycles=657918 instructions=417301 cache-misses=79
[sample=20] cpu=0 bench=fmref cycles=657217 instructions=417301 cache-misses=75
[sample=21] cpu=0 bench=fmref cycles=659596 instructions=417301 cache-misses=65
[sample=22] cpu=0 bench=fmref cycles=656142 instructions=417304 cache-misses=70
[sample=23] cpu=0 bench=fmref cycles=657048 instructions=417298 cache-misses=76
[sample=24] cpu=0 bench=fmref cycles=657549 instructions=417305 cache-misses=99
[sample=25] cpu=0 bench=fmref cycles=667142 instructions=417320 cache-misses=118
[sample=26] cpu=0 bench=fmref cycles=663741 instructions=417325 cache-misses=114
[sample=27] cpu=0 bench=fmref cycles=662741 instructions=417316 cache-misses=124
[sample=28] cpu=0 bench=fmref cycles=660654 instructions=417323 cache-misses=150
[sample=29] cpu=0 bench=fmref cycles=663259 instructions=417316 cache-misses=128
[sample=30] cpu=0 bench=fmref cycles=661271 instructions=417321 cache-misses=108
[sample=31] cpu=0 bench=fmref cycles=662967 instructions=417321 cache-misses=134
[sample=32] cpu=0 bench=fmref cycles=664399 instructions=417317 cache-misses=116
[sample=33] cpu=0 bench=fmref cycles=663982 instructions=417324 cache-misses=134
[sample=34] cpu=0 bench=fmref cycles=661234 instructions=417319 cache-misses=116
[sample=35] cpu=0 bench=fmref cycles=659759 instructions=417318 cache-misses=120
[sample=36] cpu=0 bench=fmref cycles=656776 instructions=417306 cache-misses=74
[sample=37] cpu=0 bench=fmref cycles=655989 instructions=417305 cache-misses=79
[sample=38] cpu=0 bench=fmref cycles=656626 instructions=417307 cache-misses=97
[sample=39] cpu=0 bench=fmref cycles=658275 instructions=417301 cache-misses=66
[sample=40] cpu=0 bench=fmref cycles=657563 instructions=417303 cache-misses=68
[sample=41] cpu=0 bench=fmref cycles=656391 instructions=417303 cache-misses=74
[sample=42] cpu=0 bench=fmref cycles=658519 instructions=417302 cache-misses=77
[sample=43] cpu=0 bench=fmref cycles=656285 instructions=417304 cache-misses=70
[sample=44] cpu=0 bench=fmref cycles=656391 instructions=417302 cache-misses=81
[sample=45] cpu=0 bench=fmref cycles=659704 instructions=417299 cache-misses=71
[sample=46] cpu=0 bench=fmref cycles=656981 instructions=417300 cache-misses=76
[sample=47] cpu=0 bench=fmref cycles=656894 instructions=417300 cache-misses=70
[sample=48] cpu=0 bench=fmref cycles=656661 instructions=417303 cache-misses=68
[sample=49] cpu=0 bench=fmref cycles=656984 instructions=417302 cache-misses=79
[sample=50] cpu=0 bench=fmref cycles=656988 instructions=417304 cache-misses=67
[sample=51] cpu=0 bench=fmref cycles=660295 instructions=417301 cache-misses=78
[sample=52] cpu=0 bench=fmref cycles=657526 instructions=417299 cache-misses=72
[sample=53] cpu=0 bench=fmref cycles=657395 instructions=417299 cache-misses=78
[sample=54] cpu=0 bench=fmref cycles=657326 instructions=417301 cache-misses=72
[sample=55] cpu=0 bench=fmref cycles=657346 instructions=417304 cache-misses=66
[sample=56] cpu=0 bench=fmref cycles=660502 instructions=417302 cache-misses=75
[sample=57] cpu=0 bench=fmref cycles=657533 instructions=417298 cache-misses=70
[sample=58] cpu=0 bench=fmref cycles=658968 instructions=417300 cache-misses=70
[sample=59] cpu=0 bench=fmref cycles=656207 instructions=417305 cache-misses=74
[sample=60] cpu=0 bench=fmref cycles=656598 instructions=417304 cache-misses=76
[sample=61] cpu=0 bench=fmref cycles=661065 instructions=417302 cache-misses=66
[sample=62] cpu=0 bench=fmref cycles=655271 instructions=417302 cache-misses=73
[sample=63] cpu=0 bench=fmref cycles=659829 instructions=417309 cache-misses=90
[sample=64] cpu=0 bench=fmref cycles=657893 instructions=417301 cache-misses=67
[sample=65] cpu=0 bench=fmref cycles=656541 instructions=417303 cache-misses=72
[sample=66] cpu=0 bench=fmref cycles=657134 instructions=417302 cache-misses=79
[sample=67] cpu=0 bench=fmref cycles=656108 instructions=417302 cache-misses=68
[sample=68] cpu=0 bench=fmref cycles=656237 instructions=417306 cache-misses=66
[sample=69] cpu=0 bench=fmref cycles=657658 instructions=417304 cache-misses=71
[sample=70] cpu=0 bench=fmref cycles=657903 instructions=417303 cache-misses=69
[sample=71] cpu=0 bench=fmref cycles=657328 instructions=417301 cache-misses=65
[sample=72] cpu=0 bench=fmref cycles=659007 instructions=417300 cache-misses=68
[sample=73] cpu=0 bench=fmref cycles=656259 instructions=417301 cache-misses=74
[sample=74] cpu=0 bench=fmref cycles=655825 instructions=417300 cache-misses=74
[sample=75] cpu=0 bench=fmref cycles=657196 instructions=417302 cache-misses=72
[sample=76] cpu=0 bench=fmref cycles=657462 instructions=417301 cache-misses=76
[sample=77] cpu=0 bench=fmref cycles=658976 instructions=417305 cache-misses=68
[sample=78] cpu=0 bench=fmref cycles=659144 instructions=417307 cache-misses=70
[sample=79] cpu=0 bench=fmref cycles=656566 instructions=417297 cache-misses=69
[sample=80] cpu=0 bench=fmref cycles=658649 instructions=417298 cache-misses=73
[sample=81] cpu=0 bench=fmref cycles=656576 instructions=417299 cache-misses=77
[sample=82] cpu=0 bench=fmref cycles=663947 instructions=417307 cache-misses=99
[sample=83] cpu=0 bench=fmref cycles=658344 instructions=417306 cache-misses=68
[sample=84] cpu=0 bench=fmref cycles=656283 instructions=417301 cache-misses=66
[sample=85] cpu=0 bench=fmref cycles=656544 instructions=417300 cache-misses=74
[sample=86] cpu=0 bench=fmref cycles=656979 instructions=417307 cache-misses=67
[sample=87] cpu=0 bench=fmref cycles=656991 instructions=417304 cache-misses=80
[sample=88] cpu=0 bench=fmref cycles=656803 instructions=417304 cache-misses=81
[sample=89] cpu=0 bench=fmref cycles=661351 instructions=417303 cache-misses=71
[sample=90] cpu=0 bench=fmref cycles=656754 instructions=417304 cache-misses=78
[sample=91] cpu=0 bench=fmref cycles=656912 instructions=417298 cache-misses=70
[sample=92] cpu=0 bench=fmref cycles=657157 instructions=417300 cache-misses=69
[sample=93] cpu=0 bench=fmref cycles=659087 instructions=417300 cache-misses=69
[sample=94] cpu=0 bench=fmref cycles=663502 instructions=417305 cache-misses=65
[sample=95] cpu=0 bench=fmref cycles=659282 instructions=417301 cache-misses=78
[sample=96] cpu=0 bench=fmref cycles=659605 instructions=417307 cache-misses=79
[sample=97] cpu=0 bench=fmref cycles=661035 instructions=417298 cache-misses=76
[sample=98] cpu=0 bench=fmref cycles=656397 instructions=417299 cache-misses=65
[sample=99] cpu=0 bench=fmref cycles=656709 instructions=417304 cache-misses=72

# Statistics over 100 samples on cpu0 bench=fmref (background load on cpu1..cpu1)
# event                          min                  max                  avg               median
  cycles                      655271               753541            659488.41            657556.00
  instructions                417297               454813            417679.38            417303.00
  cache-misses                    65                  150                79.47                73.00
