[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=CACHE
[sample=0] cpu=0 bench=insertsort cycles=18135 instructions=2953 cache-misses=24
[sample=1] cpu=0 bench=insertsort cycles=5397 instructions=2947 cache-misses=13
[sample=2] cpu=0 bench=insertsort cycles=4439 instructions=2947 cache-misses=12
[sample=3] cpu=0 bench=insertsort cycles=4462 instructions=2947 cache-misses=13
[sample=4] cpu=0 bench=insertsort cycles=4381 instructions=2946 cache-misses=10
[sample=5] cpu=0 bench=insertsort cycles=4477 instructions=2946 cache-misses=12
[sample=6] cpu=0 bench=insertsort cycles=4474 instructions=2947 cache-misses=13
[sample=7] cpu=0 bench=insertsort cycles=4856 instructions=2947 cache-misses=17
[sample=8] cpu=0 bench=insertsort cycles=6570 instructions=2946 cache-misses=15
[sample=9] cpu=0 bench=insertsort cycles=4547 instructions=2947 cache-misses=13
[sample=10] cpu=0 bench=insertsort cycles=4404 instructions=2946 cache-misses=13
[sample=11] cpu=0 bench=insertsort cycles=4420 instructions=2946 cache-misses=10
[sample=12] cpu=0 bench=insertsort cycles=4430 instructions=2947 cache-misses=13
[sample=13] cpu=0 bench=insertsort cycles=4438 instructions=2947 cache-misses=12
[sample=14] cpu=0 bench=insertsort cycles=4501 instructions=2946 cache-misses=13
[sample=15] cpu=0 bench=insertsort cycles=4807 instructions=2947 cache-misses=16
[sample=16] cpu=0 bench=insertsort cycles=4451 instructions=2947 cache-misses=14
[sample=17] cpu=0 bench=insertsort cycles=4519 instructions=2946 cache-misses=14
[sample=18] cpu=0 bench=insertsort cycles=4458 instructions=2947 cache-misses=15
[sample=19] cpu=0 bench=insertsort cycles=4476 instructions=2947 cache-misses=12
[sample=20] cpu=0 bench=insertsort cycles=4404 instructions=2947 cache-misses=10
[sample=21] cpu=0 bench=insertsort cycles=4430 instructions=2947 cache-misses=14
[sample=22] cpu=0 bench=insertsort cycles=4467 instructions=2947 cache-misses=14
[sample=23] cpu=0 bench=insertsort cycles=4408 instructions=2947 cache-misses=13
[sample=24] cpu=0 bench=insertsort cycles=4536 instructions=2946 cache-misses=16
[sample=25] cpu=0 bench=insertsort cycles=4422 instructions=2946 cache-misses=12
[sample=26] cpu=0 bench=insertsort cycles=4468 instructions=2946 cache-misses=16
[sample=27] cpu=0 bench=insertsort cycles=4352 instructions=2947 cache-misses=10
[sample=28] cpu=0 bench=insertsort cycles=4401 instructions=2946 cache-misses=14
[sample=29] cpu=0 bench=insertsort cycles=4412 instructions=2946 cache-misses=12
