[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=adpcm_dec cycles=474133 instructions=228480 cache-misses=65
[sample=1] cpu=0 bench=adpcm_dec cycles=440787 instructions=228474 cache-misses=51
[sample=2] cpu=0 bench=adpcm_dec cycles=444844 instructions=228475 cache-misses=53
[sample=3] cpu=0 bench=adpcm_dec cycles=392742 instructions=228473 cache-misses=43
[sample=4] cpu=0 bench=adpcm_dec cycles=428429 instructions=228473 cache-misses=52
[sample=5] cpu=0 bench=adpcm_dec cycles=385650 instructions=228471 cache-misses=48
[sample=6] cpu=0 bench=adpcm_dec cycles=332918 instructions=228471 cache-misses=54
[sample=7] cpu=0 bench=adpcm_dec cycles=341425 instructions=228472 cache-misses=44
[sample=8] cpu=0 bench=adpcm_dec cycles=361806 instructions=228470 cache-misses=47
[sample=9] cpu=0 bench=adpcm_dec cycles=333242 instructions=228472 cache-misses=41
[sample=10] cpu=0 bench=adpcm_dec cycles=363557 instructions=228471 cache-misses=45
[sample=11] cpu=0 bench=adpcm_dec cycles=334243 instructions=228469 cache-misses=55
[sample=12] cpu=0 bench=adpcm_dec cycles=328459 instructions=228471 cache-misses=46
[sample=13] cpu=0 bench=adpcm_dec cycles=364728 instructions=228471 cache-misses=46
[sample=14] cpu=0 bench=adpcm_dec cycles=325945 instructions=228474 cache-misses=49
[sample=15] cpu=0 bench=adpcm_dec cycles=328154 instructions=228472 cache-misses=45
[sample=16] cpu=0 bench=adpcm_dec cycles=356215 instructions=228472 cache-misses=46
[sample=17] cpu=0 bench=adpcm_dec cycles=347963 instructions=228471 cache-misses=53
[sample=18] cpu=0 bench=adpcm_dec cycles=374475 instructions=228472 cache-misses=45
[sample=19] cpu=0 bench=adpcm_dec cycles=348555 instructions=228472 cache-misses=46
[sample=20] cpu=0 bench=adpcm_dec cycles=366151 instructions=228475 cache-misses=44
[sample=21] cpu=0 bench=adpcm_dec cycles=328907 instructions=228473 cache-misses=46
[sample=22] cpu=0 bench=adpcm_dec cycles=337684 instructions=228473 cache-misses=43
[sample=23] cpu=0 bench=adpcm_dec cycles=367945 instructions=228472 cache-misses=46
[sample=24] cpu=0 bench=adpcm_dec cycles=325529 instructions=228473 cache-misses=40
[sample=25] cpu=0 bench=adpcm_dec cycles=330105 instructions=228472 cache-misses=47
