[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=0] cpu=0 bench=binarysearch cycles=8743 instructions=1264 cache-misses=13
[sample=1] cpu=0 bench=binarysearch cycles=3830 instructions=1259 cache-misses=6
[sample=2] cpu=0 bench=binarysearch cycles=3670 instructions=1258 cache-misses=4
[sample=3] cpu=0 bench=binarysearch cycles=1879 instructions=1258 cache-misses=4
[sample=4] cpu=0 bench=binarysearch cycles=1851 instructions=1257 cache-misses=3
[sample=5] cpu=0 bench=binarysearch cycles=1867 instructions=1257 cache-misses=1
[sample=6] cpu=0 bench=binarysearch cycles=1831 instructions=1257 cache-misses=3
[sample=7] cpu=0 bench=binarysearch cycles=1878 instructions=1257 cache-misses=3
[sample=8] cpu=0 bench=binarysearch cycles=1843 instructions=1257 cache-misses=3
[sample=9] cpu=0 bench=binarysearch cycles=1780 instructions=1257 cache-misses=1
[sample=10] cpu=0 bench=binarysearch cycles=1861 instructions=1257 cache-misses=3
[sample=11] cpu=0 bench=binarysearch cycles=1820 instructions=1258 cache-misses=4
[sample=12] cpu=0 bench=binarysearch cycles=1835 instructions=1258 cache-misses=2
[sample=13] cpu=0 bench=binarysearch cycles=1860 instructions=1258 cache-misses=3
[sample=14] cpu=0 bench=binarysearch cycles=1812 instructions=1258 cache-misses=2
[sample=15] cpu=0 bench=binarysearch cycles=1852 instructions=1258 cache-misses=3
[sample=16] cpu=0 bench=binarysearch cycles=1822 instructions=1258 cache-misses=3
[sample=17] cpu=0 bench=binarysearch cycles=1826 instructions=1258 cache-misses=0
[sample=18] cpu=0 bench=binarysearch cycles=1876 instructions=1258 cache-misses=2
[sample=19] cpu=0 bench=binarysearch cycles=1862 instructions=1258 cache-misses=2
[sample=20] cpu=0 bench=binarysearch cycles=1818 instructions=1257 cache-misses=3
[sample=21] cpu=0 bench=binarysearch cycles=1866 instructions=1257 cache-misses=2
[sample=22] cpu=0 bench=binarysearch cycles=1811 instructions=1257 cache-misses=0
[sample=23] cpu=0 bench=binarysearch cycles=1896 instructions=1258 cache-misses=3
[sample=24] cpu=0 bench=binarysearch cycles=2165 instructions=1257 cache-misses=5
[sample=25] cpu=0 bench=binarysearch cycles=1900 instructions=1258 cache-misses=3
[sample=26] cpu=0 bench=binarysearch cycles=1855 instructions=1257 cache-misses=2
[sample=27] cpu=0 bench=binarysearch cycles=1838 instructions=1257 cache-misses=2
[sample=28] cpu=0 bench=binarysearch cycles=1837 instructions=1258 cache-misses=3
[sample=29] cpu=0 bench=binarysearch cycles=1846 instructions=1258 cache-misses=3
[sample=30] cpu=0 bench=binarysearch cycles=1853 instructions=1258 cache-misses=2
[sample=31] cpu=0 bench=binarysearch cycles=1806 instructions=1257 cache-misses=2
[sample=32] cpu=0 bench=binarysearch cycles=1797 instructions=1257 cache-misses=2
[sample=33] cpu=0 bench=binarysearch cycles=1851 instructions=1258 cache-misses=1
[sample=34] cpu=0 bench=binarysearch cycles=1863 instructions=1258 cache-misses=3
[sample=35] cpu=0 bench=binarysearch cycles=1851 instructions=1258 cache-misses=3
[sample=36] cpu=0 bench=binarysearch cycles=1848 instructions=1258 cache-misses=3
[sample=37] cpu=0 bench=binarysearch cycles=1793 instructions=1257 cache-misses=2
[sample=38] cpu=0 bench=binarysearch cycles=1812 instructions=1257 cache-misses=2
[sample=39] cpu=0 bench=binarysearch cycles=1807 instructions=1257 cache-misses=0
