[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=fmref cycles=906603 instructions=454820 cache-misses=137
[sample=1] cpu=0 bench=fmref cycles=1577308 instructions=417304 cache-misses=84
[sample=2] cpu=0 bench=fmref cycles=790213 instructions=417307 cache-misses=68
[sample=3] cpu=0 bench=fmref cycles=803249 instructions=417304 cache-misses=84
[sample=4] cpu=0 bench=fmref cycles=791227 instructions=417308 cache-misses=92
[sample=5] cpu=0 bench=fmref cycles=710209 instructions=417304 cache-misses=90
[sample=6] cpu=0 bench=fmref cycles=716542 instructions=417298 cache-misses=76
[sample=7] cpu=0 bench=fmref cycles=762449 instructions=417301 cache-misses=72
[sample=8] cpu=0 bench=fmref cycles=728889 instructions=417300 cache-misses=94
[sample=9] cpu=0 bench=fmref cycles=820186 instructions=417300 cache-misses=140
[sample=10] cpu=0 bench=fmref cycles=787600 instructions=417300 cache-misses=79
[sample=11] cpu=0 bench=fmref cycles=682320 instructions=417300 cache-misses=72
[sample=12] cpu=0 bench=fmref cycles=706212 instructions=417304 cache-misses=85
[sample=13] cpu=0 bench=fmref cycles=775241 instructions=417300 cache-misses=81
[sample=14] cpu=0 bench=fmref cycles=672470 instructions=417300 cache-misses=73
[sample=15] cpu=0 bench=fmref cycles=671756 instructions=417300 cache-misses=64
[sample=16] cpu=0 bench=fmref cycles=800814 instructions=417307 cache-misses=78
[sample=17] cpu=0 bench=fmref cycles=724039 instructions=417305 cache-misses=107
[sample=18] cpu=0 bench=fmref cycles=691265 instructions=417300 cache-misses=76
[sample=19] cpu=0 bench=fmref cycles=779537 instructions=417302 cache-misses=74
[sample=20] cpu=0 bench=fmref cycles=683584 instructions=417299 cache-misses=77
[sample=21] cpu=0 bench=fmref cycles=674927 instructions=417294 cache-misses=84
[sample=22] cpu=0 bench=fmref cycles=777737 instructions=417302 cache-misses=90
[sample=23] cpu=0 bench=fmref cycles=680510 instructions=417297 cache-misses=63
[sample=24] cpu=0 bench=fmref cycles=696045 instructions=417299 cache-misses=68
[sample=25] cpu=0 bench=fmref cycles=761654 instructions=417301 cache-misses=60
[sample=26] cpu=0 bench=fmref cycles=824869 instructions=417300 cache-misses=72
[sample=27] cpu=0 bench=fmref cycles=784901 instructions=417302 cache-misses=87
[sample=28] cpu=0 bench=fmref cycles=711976 instructions=417301 cache-misses=77
[sample=29] cpu=0 bench=fmref cycles=670959 instructions=417299 cache-misses=62
[sample=30] cpu=0 bench=fmref cycles=789844 instructions=417299 cache-misses=79
[sample=31] cpu=0 bench=fmref cycles=709341 instructions=417300 cache-misses=104
[sample=32] cpu=0 bench=fmref cycles=669855 instructions=417302 cache-misses=77
[sample=33] cpu=0 bench=fmref cycles=680745 instructions=417301 cache-misses=95
[sample=34] cpu=0 bench=fmref cycles=775866 instructions=417301 cache-misses=89
[sample=35] cpu=0 bench=fmref cycles=680625 instructions=417299 cache-misses=73
[sample=36] cpu=0 bench=fmref cycles=665822 instructions=417299 cache-misses=67
[sample=37] cpu=0 bench=fmref cycles=797306 instructions=417302 cache-misses=81
[sample=38] cpu=0 bench=fmref cycles=727489 instructions=417305 cache-misses=77
[sample=39] cpu=0 bench=fmref cycles=710992 instructions=417298 cache-misses=77
[sample=40] cpu=0 bench=fmref cycles=770545 instructions=417301 cache-misses=79
[sample=41] cpu=0 bench=fmref cycles=793708 instructions=417299 cache-misses=79
[sample=42] cpu=0 bench=fmref cycles=703034 instructions=417302 cache-misses=75
[sample=43] cpu=0 bench=fmref cycles=779977 instructions=417313 cache-misses=80
[sample=44] cpu=0 bench=fmref cycles=1336360 instructions=417302 cache-misses=92
[sample=45] cpu=0 bench=fmref cycles=775053 instructions=417303 cache-misses=74
[sample=46] cpu=0 bench=fmref cycles=682341 instructions=417298 cache-misses=73
[sample=47] cpu=0 bench=fmref cycles=675946 instructions=417304 cache-misses=73
[sample=48] cpu=0 bench=fmref cycles=777435 instructions=417302 cache-misses=82
[sample=49] cpu=0 bench=fmref cycles=711907 instructions=417306 cache-misses=100
[sample=50] cpu=0 bench=fmref cycles=666512 instructions=417295 cache-misses=74
[sample=51] cpu=0 bench=fmref cycles=773974 instructions=417302 cache-misses=89
[sample=52] cpu=0 bench=fmref cycles=692198 instructions=417299 cache-misses=74
[sample=53] cpu=0 bench=fmref cycles=684872 instructions=417301 cache-misses=73
[sample=54] cpu=0 bench=fmref cycles=784109 instructions=417304 cache-misses=81
[sample=55] cpu=0 bench=fmref cycles=679742 instructions=417303 cache-misses=73
[sample=56] cpu=0 bench=fmref cycles=808547 instructions=417310 cache-misses=97
[sample=57] cpu=0 bench=fmref cycles=732047 instructions=417299 cache-misses=67
[sample=58] cpu=0 bench=fmref cycles=665916 instructions=417298 cache-misses=42
[sample=59] cpu=0 bench=fmref cycles=662659 instructions=417301 cache-misses=33
[sample=60] cpu=0 bench=fmref cycles=813444 instructions=417303 cache-misses=88
[sample=61] cpu=0 bench=fmref cycles=731295 instructions=417298 cache-misses=53
[sample=62] cpu=0 bench=fmref cycles=730449 instructions=417303 cache-misses=37
[sample=63] cpu=0 bench=fmref cycles=829414 instructions=417312 cache-misses=103
[sample=64] cpu=0 bench=fmref cycles=759639 instructions=417300 cache-misses=59
[sample=65] cpu=0 bench=fmref cycles=796823 instructions=417310 cache-misses=96
[sample=66] cpu=0 bench=fmref cycles=749207 instructions=417303 cache-misses=53
[sample=67] cpu=0 bench=fmref cycles=674529 instructions=417301 cache-misses=45
[sample=68] cpu=0 bench=fmref cycles=694585 instructions=417301 cache-misses=40
