[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=iir cycles=29023 instructions=2593 cache-misses=13
[sample=1] cpu=0 bench=iir cycles=27192 instructions=2589 cache-misses=12
[sample=2] cpu=0 bench=iir cycles=5773 instructions=2588 cache-misses=4
[sample=3] cpu=0 bench=iir cycles=3880 instructions=2589 cache-misses=0
[sample=4] cpu=0 bench=iir cycles=3668 instructions=2588 cache-misses=1
[sample=5] cpu=0 bench=iir cycles=3818 instructions=2588 cache-misses=2
[sample=6] cpu=0 bench=iir cycles=3826 instructions=2588 cache-misses=1
[sample=7] cpu=0 bench=iir cycles=4153 instructions=2588 cache-misses=2
[sample=8] cpu=0 bench=iir cycles=3928 instructions=2588 cache-misses=1
[sample=9] cpu=0 bench=iir cycles=3810 instructions=2588 cache-misses=0
[sample=10] cpu=0 bench=iir cycles=3744 instructions=2588 cache-misses=0
[sample=11] cpu=0 bench=iir cycles=4145 instructions=2588 cache-misses=0
[sample=12] cpu=0 bench=iir cycles=3603 instructions=2588 cache-misses=0
[sample=13] cpu=0 bench=iir cycles=3564 instructions=2588 cache-misses=0
[sample=14] cpu=0 bench=iir cycles=4109 instructions=2588 cache-misses=0
[sample=15] cpu=0 bench=iir cycles=3653 instructions=2588 cache-misses=0
[sample=16] cpu=0 bench=iir cycles=5289 instructions=2588 cache-misses=0
[sample=17] cpu=0 bench=iir cycles=3877 instructions=2588 cache-misses=0
[sample=18] cpu=0 bench=iir cycles=4234 instructions=2588 cache-misses=0
[sample=19] cpu=0 bench=iir cycles=4112 instructions=2588 cache-misses=0
[sample=20] cpu=0 bench=iir cycles=3764 instructions=2588 cache-misses=0
[sample=21] cpu=0 bench=iir cycles=3718 instructions=2588 cache-misses=0
[sample=22] cpu=0 bench=iir cycles=4409 instructions=2588 cache-misses=0
[sample=23] cpu=0 bench=iir cycles=4796 instructions=2588 cache-misses=0
[sample=24] cpu=0 bench=iir cycles=4590 instructions=2588 cache-misses=4
[sample=25] cpu=0 bench=iir cycles=3714 instructions=2588 cache-misses=0
[sample=26] cpu=0 bench=iir cycles=3772 instructions=2588 cache-misses=0
[sample=27] cpu=0 bench=iir cycles=3788 instructions=2588 cache-misses=0
[sample=28] cpu=0 bench=iir cycles=4182 instructions=2588 cache-misses=0
[sample=29] cpu=0 bench=iir cycles=4273 instructions=2588 cache-misses=0
[sample=30] cpu=0 bench=iir cycles=3829 instructions=2588 cache-misses=0
[sample=31] cpu=0 bench=iir cycles=3633 instructions=2588 cache-misses=0
[sample=32] cpu=0 bench=iir cycles=3736 instructions=2588 cache-misses=1
[sample=33] cpu=0 bench=iir cycles=4409 instructions=2588 cache-misses=0
[sample=34] cpu=0 bench=iir cycles=4200 instructions=2588 cache-misses=0
[sample=35] cpu=0 bench=iir cycles=3693 instructions=2588 cache-misses=0
[sample=36] cpu=0 bench=iir cycles=3817 instructions=2588 cache-misses=0
[sample=37] cpu=0 bench=iir cycles=4523 instructions=2588 cache-misses=0
[sample=38] cpu=0 bench=iir cycles=3949 instructions=2588 cache-misses=0
[sample=39] cpu=0 bench=iir cycles=4059 instructions=2588 cache-misses=1
[sample=40] cpu=0 bench=iir cycles=4043 instructions=2588 cache-misses=1
[sample=41] cpu=0 bench=iir cycles=3784 instructions=2588 cache-misses=0
[sample=42] cpu=0 bench=iir cycles=4296 instructions=2588 cache-misses=0
[sample=43] cpu=0 bench=iir cycles=3840 instructions=2588 cache-misses=0
[sample=44] cpu=0 bench=iir cycles=4552 instructions=2588 cache-misses=0
[sample=45] cpu=0 bench=iir cycles=4082 instructions=2588 cache-misses=0
[sample=46] cpu=0 bench=iir cycles=4504 instructions=2588 cache-misses=0
[sample=47] cpu=0 bench=iir cycles=8385 instructions=2588 cache-misses=0
[sample=48] cpu=0 bench=iir cycles=4066 instructions=2588 cache-misses=0
[sample=49] cpu=0 bench=iir cycles=3800 instructions=2588 cache-misses=0
[sample=50] cpu=0 bench=iir cycles=4587 instructions=2588 cache-misses=0
[sample=51] cpu=0 bench=iir cycles=4243 instructions=2588 cache-misses=0
[sample=52] cpu=0 bench=iir cycles=4040 instructions=2588 cache-misses=0
[sample=53] cpu=0 bench=iir cycles=4482 instructions=2588 cache-misses=0
[sample=54] cpu=0 bench=iir cycles=4034 instructions=2588 cache-misses=2
[sample=55] cpu=0 bench=iir cycles=8971 instructions=2588 cache-misses=0
[sample=56] cpu=0 bench=iir cycles=4099 instructions=2588 cache-misses=0
[sample=57] cpu=0 bench=iir cycles=4560 instructions=2588 cache-misses=0
[sample=58] cpu=0 bench=iir cycles=3410 instructions=2588 cache-misses=0
[sample=59] cpu=0 bench=iir cycles=3724 instructions=2588 cache-misses=0
[sample=60] cpu=0 bench=iir cycles=3975 instructions=2588 cache-misses=0
[sample=61] cpu=0 bench=iir cycles=3725 instructions=2588 cache-misses=0
[sample=62] cpu=0 bench=iir cycles=4106 instructions=2588 cache-misses=0
[sample=63] cpu=0 bench=iir cycles=3794 instructions=2588 cache-misses=1
[sample=64] cpu=0 bench=iir cycles=4351 instructions=2588 cache-misses=1
[sample=65] cpu=0 bench=iir cycles=3982 instructions=2588 cache-misses=0
[sample=66] cpu=0 bench=iir cycles=4205 instructions=2588 cache-misses=0
[sample=67] cpu=0 bench=iir cycles=4123 instructions=2588 cache-misses=0
[sample=68] cpu=0 bench=iir cycles=4131 instructions=2588 cache-misses=0
[sample=69] cpu=0 bench=iir cycles=4022 instructions=2588 cache-misses=1
[sample=70] cpu=0 bench=iir cycles=3628 instructions=2588 cache-misses=0
[sample=71] cpu=0 bench=iir cycles=3762 instructions=2588 cache-misses=0
[sample=72] cpu=0 bench=iir cycles=4151 instructions=2588 cache-misses=0
[sample=73] cpu=0 bench=iir cycles=6661 instructions=2588 cache-misses=0
[sample=74] cpu=0 bench=iir cycles=4195 instructions=2588 cache-misses=0
[sample=75] cpu=0 bench=iir cycles=4312 instructions=2588 cache-misses=0
[sample=76] cpu=0 bench=iir cycles=4027 instructions=2588 cache-misses=0
[sample=77] cpu=0 bench=iir cycles=5523 instructions=2589 cache-misses=9
[sample=78] cpu=0 bench=iir cycles=5076 instructions=2589 cache-misses=9
[sample=79] cpu=0 bench=iir cycles=5335 instructions=2589 cache-misses=8
[sample=80] cpu=0 bench=iir cycles=10577 instructions=2589 cache-misses=10
[sample=81] cpu=0 bench=iir cycles=5837 instructions=2589 cache-misses=7
[sample=82] cpu=0 bench=iir cycles=5663 instructions=2589 cache-misses=8
[sample=83] cpu=0 bench=iir cycles=8498 instructions=2589 cache-misses=8
[sample=84] cpu=0 bench=iir cycles=4875 instructions=2589 cache-misses=10
[sample=85] cpu=0 bench=iir cycles=4229 instructions=2589 cache-misses=8
[sample=86] cpu=0 bench=iir cycles=4921 instructions=2589 cache-misses=8
[sample=87] cpu=0 bench=iir cycles=5227 instructions=2589 cache-misses=10
[sample=88] cpu=0 bench=iir cycles=4552 instructions=2589 cache-misses=8
[sample=89] cpu=0 bench=iir cycles=5049 instructions=2589 cache-misses=7
[sample=90] cpu=0 bench=iir cycles=5121 instructions=2589 cache-misses=11
[sample=91] cpu=0 bench=iir cycles=4503 instructions=2589 cache-misses=7
[sample=92] cpu=0 bench=iir cycles=4383 instructions=2589 cache-misses=10
[sample=93] cpu=0 bench=iir cycles=4247 instructions=2589 cache-misses=7
[sample=94] cpu=0 bench=iir cycles=5062 instructions=2589 cache-misses=9
[sample=95] cpu=0 bench=iir cycles=5185 instructions=2589 cache-misses=6
[sample=96] cpu=0 bench=iir cycles=9206 instructions=2589 cache-misses=9
[sample=97] cpu=0 bench=iir cycles=4639 instructions=2589 cache-misses=8
[sample=98] cpu=0 bench=iir cycles=4648 instructions=2589 cache-misses=9
[sample=99] cpu=0 bench=iir cycles=4147 instructions=2589 cache-misses=8

# Statistics over 100 samples on cpu0 bench=iir (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        3410                29023              4994.10              4152.00
  instructions                  2588                 2593              2588.30              2588.00
  cache-misses                     0                   13                 2.42                 0.00
