[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=MEM  cpu2=CACHE  cpu3=BUS  cpu4=POINTER
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=insertsort cycles=52714 instructions=2953 cache-misses=20
[sample=1] cpu=0 bench=insertsort cycles=38112 instructions=2946 cache-misses=15
[sample=2] cpu=0 bench=insertsort cycles=39049 instructions=2946 cache-misses=17
[sample=3] cpu=0 bench=insertsort cycles=36246 instructions=2946 cache-misses=16
[sample=4] cpu=0 bench=insertsort cycles=40466 instructions=2946 cache-misses=13
[sample=5] cpu=0 bench=insertsort cycles=36527 instructions=2946 cache-misses=13
[sample=6] cpu=0 bench=insertsort cycles=39517 instructions=2946 cache-misses=15
[sample=7] cpu=0 bench=insertsort cycles=25234 instructions=2946 cache-misses=14
[sample=8] cpu=0 bench=insertsort cycles=25919 instructions=2946 cache-misses=13
[sample=9] cpu=0 bench=insertsort cycles=30986 instructions=2946 cache-misses=13
[sample=10] cpu=0 bench=insertsort cycles=22238 instructions=2946 cache-misses=14
[sample=11] cpu=0 bench=insertsort cycles=28008 instructions=2946 cache-misses=14
[sample=12] cpu=0 bench=insertsort cycles=24711 instructions=2946 cache-misses=11
[sample=13] cpu=0 bench=insertsort cycles=39397 instructions=2946 cache-misses=15
[sample=14] cpu=0 bench=insertsort cycles=13333 instructions=2946 cache-misses=11
[sample=15] cpu=0 bench=insertsort cycles=15166 instructions=2946 cache-misses=13
[sample=16] cpu=0 bench=insertsort cycles=6188 instructions=2946 cache-misses=12
[sample=17] cpu=0 bench=insertsort cycles=4815 instructions=2946 cache-misses=13
[sample=18] cpu=0 bench=insertsort cycles=13704 instructions=2946 cache-misses=14
[sample=19] cpu=0 bench=insertsort cycles=6500 instructions=2946 cache-misses=13
[sample=20] cpu=0 bench=insertsort cycles=5184 instructions=2946 cache-misses=18
[sample=21] cpu=0 bench=insertsort cycles=13369 instructions=2946 cache-misses=17
[sample=22] cpu=0 bench=insertsort cycles=7320 instructions=2946 cache-misses=12
[sample=23] cpu=0 bench=insertsort cycles=18626 instructions=2946 cache-misses=18
[sample=24] cpu=0 bench=insertsort cycles=16923 instructions=2946 cache-misses=14
[sample=25] cpu=0 bench=insertsort cycles=23055 instructions=2946 cache-misses=11
[sample=26] cpu=0 bench=insertsort cycles=29858 instructions=2946 cache-misses=14
[sample=27] cpu=0 bench=insertsort cycles=36157 instructions=2946 cache-misses=15
[sample=28] cpu=0 bench=insertsort cycles=35440 instructions=2946 cache-misses=13
[sample=29] cpu=0 bench=insertsort cycles=17874 instructions=2946 cache-misses=12
[sample=30] cpu=0 bench=insertsort cycles=32937 instructions=2946 cache-misses=12
[sample=31] cpu=0 bench=insertsort cycles=36998 instructions=2946 cache-misses=14
[sample=32] cpu=0 bench=insertsort cycles=33919 instructions=2946 cache-misses=15
[sample=33] cpu=0 bench=insertsort cycles=34487 instructions=2946 cache-misses=13
[sample=34] cpu=0 bench=insertsort cycles=33587 instructions=2946 cache-misses=15
[sample=35] cpu=0 bench=insertsort cycles=42210 instructions=2946 cache-misses=18
[sample=36] cpu=0 bench=insertsort cycles=31872 instructions=2946 cache-misses=13
[sample=37] cpu=0 bench=insertsort cycles=38615 instructions=2946 cache-misses=15
[sample=38] cpu=0 bench=insertsort cycles=37541 instructions=2946 cache-misses=15
[sample=39] cpu=0 bench=insertsort cycles=33274 instructions=2946 cache-misses=15
[sample=40] cpu=0 bench=insertsort cycles=36238 instructions=2946 cache-misses=16
[sample=41] cpu=0 bench=insertsort cycles=43340 instructions=2946 cache-misses=15
[sample=42] cpu=0 bench=insertsort cycles=22167 instructions=2946 cache-misses=12
[sample=43] cpu=0 bench=insertsort cycles=33138 instructions=2946 cache-misses=13
[sample=44] cpu=0 bench=insertsort cycles=23585 instructions=2946 cache-misses=17
[sample=45] cpu=0 bench=insertsort cycles=34060 instructions=2946 cache-misses=15
[sample=46] cpu=0 bench=insertsort cycles=40513 instructions=2946 cache-misses=16
[sample=47] cpu=0 bench=insertsort cycles=29875 instructions=2946 cache-misses=14
[sample=48] cpu=0 bench=insertsort cycles=29958 instructions=2946 cache-misses=15
[sample=49] cpu=0 bench=insertsort cycles=19125 instructions=2946 cache-misses=13
[sample=50] cpu=0 bench=insertsort cycles=7646 instructions=2946 cache-misses=18
[sample=51] cpu=0 bench=insertsort cycles=5625 instructions=2946 cache-misses=13
[sample=52] cpu=0 bench=insertsort cycles=4817 instructions=2946 cache-misses=13
[sample=53] cpu=0 bench=insertsort cycles=5051 instructions=2946 cache-misses=15
[sample=54] cpu=0 bench=insertsort cycles=4420 instructions=2946 cache-misses=15
[sample=55] cpu=0 bench=insertsort cycles=28367 instructions=2946 cache-misses=13
[sample=56] cpu=0 bench=insertsort cycles=10749 instructions=2946 cache-misses=13
[sample=57] cpu=0 bench=insertsort cycles=26732 instructions=2946 cache-misses=14
[sample=58] cpu=0 bench=insertsort cycles=18967 instructions=2946 cache-misses=13
[sample=59] cpu=0 bench=insertsort cycles=26403 instructions=2946 cache-misses=11
[sample=60] cpu=0 bench=insertsort cycles=32543 instructions=2946 cache-misses=15
[sample=61] cpu=0 bench=insertsort cycles=20791 instructions=2946 cache-misses=13
[sample=62] cpu=0 bench=insertsort cycles=28090 instructions=2946 cache-misses=12
[sample=63] cpu=0 bench=insertsort cycles=31296 instructions=2946 cache-misses=13
[sample=64] cpu=0 bench=insertsort cycles=32606 instructions=2946 cache-misses=14
[sample=65] cpu=0 bench=insertsort cycles=29425 instructions=2946 cache-misses=14
[sample=66] cpu=0 bench=insertsort cycles=28085 instructions=2946 cache-misses=14
[sample=67] cpu=0 bench=insertsort cycles=14544 instructions=2946 cache-misses=12
[sample=68] cpu=0 bench=insertsort cycles=46892 instructions=2946 cache-misses=16
[sample=69] cpu=0 bench=insertsort cycles=39088 instructions=2946 cache-misses=15
[sample=70] cpu=0 bench=insertsort cycles=31229 instructions=2946 cache-misses=15
[sample=71] cpu=0 bench=insertsort cycles=35593 instructions=2946 cache-misses=12
[sample=72] cpu=0 bench=insertsort cycles=31132 instructions=2946 cache-misses=13
[sample=73] cpu=0 bench=insertsort cycles=58534 instructions=2946 cache-misses=29
[sample=74] cpu=0 bench=insertsort cycles=67147 instructions=2947 cache-misses=30
[sample=75] cpu=0 bench=insertsort cycles=15451 instructions=2947 cache-misses=8
[sample=76] cpu=0 bench=insertsort cycles=4478 instructions=2946 cache-misses=4
[sample=77] cpu=0 bench=insertsort cycles=4369 instructions=2946 cache-misses=5
[sample=78] cpu=0 bench=insertsort cycles=4438 instructions=2946 cache-misses=4
[sample=79] cpu=0 bench=insertsort cycles=4825 instructions=2946 cache-misses=2
[sample=80] cpu=0 bench=insertsort cycles=4485 instructions=2946 cache-misses=3
[sample=81] cpu=0 bench=insertsort cycles=4945 instructions=2947 cache-misses=3
[sample=82] cpu=0 bench=insertsort cycles=4736 instructions=2946 cache-misses=3
[sample=83] cpu=0 bench=insertsort cycles=4411 instructions=2946 cache-misses=3
