[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=1, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  (solo: all other cpus offlined)
[sample=0] cpu=0 bench=adpcm_dec cycles=349102 instructions=228480 cache-misses=65
[sample=1] cpu=0 bench=adpcm_dec cycles=343032 instructions=228473 cache-misses=50
[sample=2] cpu=0 bench=adpcm_dec cycles=328462 instructions=228476 cache-misses=79
[sample=3] cpu=0 bench=adpcm_dec cycles=325600 instructions=228478 cache-misses=95
[sample=4] cpu=0 bench=adpcm_dec cycles=323692 instructions=228477 cache-misses=95
[sample=5] cpu=0 bench=adpcm_dec cycles=321285 instructions=228473 cache-misses=49
[sample=6] cpu=0 bench=adpcm_dec cycles=341644 instructions=228475 cache-misses=50
[sample=7] cpu=0 bench=adpcm_dec cycles=318743 instructions=228471 cache-misses=43
[sample=8] cpu=0 bench=adpcm_dec cycles=318889 instructions=228473 cache-misses=42
[sample=9] cpu=0 bench=adpcm_dec cycles=319241 instructions=228470 cache-misses=58
[sample=10] cpu=0 bench=adpcm_dec cycles=318955 instructions=228471 cache-misses=48
[sample=11] cpu=0 bench=adpcm_dec cycles=318854 instructions=228468 cache-misses=46
[sample=12] cpu=0 bench=adpcm_dec cycles=318944 instructions=228471 cache-misses=45
[sample=13] cpu=0 bench=adpcm_dec cycles=318716 instructions=228469 cache-misses=54
[sample=14] cpu=0 bench=adpcm_dec cycles=319252 instructions=228470 cache-misses=48
[sample=15] cpu=0 bench=adpcm_dec cycles=319359 instructions=228471 cache-misses=50
[sample=16] cpu=0 bench=adpcm_dec cycles=319033 instructions=228470 cache-misses=47
[sample=17] cpu=0 bench=adpcm_dec cycles=318775 instructions=228470 cache-misses=44
[sample=18] cpu=0 bench=adpcm_dec cycles=319425 instructions=228470 cache-misses=53
[sample=19] cpu=0 bench=adpcm_dec cycles=319241 instructions=228471 cache-misses=59
[sample=20] cpu=0 bench=adpcm_dec cycles=318769 instructions=228469 cache-misses=46
[sample=21] cpu=0 bench=adpcm_dec cycles=319089 instructions=228470 cache-misses=46
[sample=22] cpu=0 bench=adpcm_dec cycles=318527 instructions=228470 cache-misses=46
[sample=23] cpu=0 bench=adpcm_dec cycles=318865 instructions=228472 cache-misses=43
[sample=24] cpu=0 bench=adpcm_dec cycles=319361 instructions=228474 cache-misses=52
[sample=25] cpu=0 bench=adpcm_dec cycles=319133 instructions=228472 cache-misses=53
[sample=26] cpu=0 bench=adpcm_dec cycles=319094 instructions=228472 cache-misses=44
[sample=27] cpu=0 bench=adpcm_dec cycles=319532 instructions=228471 cache-misses=45
[sample=28] cpu=0 bench=adpcm_dec cycles=319162 instructions=228472 cache-misses=45
[sample=29] cpu=0 bench=adpcm_dec cycles=318843 instructions=228472 cache-misses=45
[sample=30] cpu=0 bench=adpcm_dec cycles=319110 instructions=228472 cache-misses=45
[sample=31] cpu=0 bench=adpcm_dec cycles=319245 instructions=228473 cache-misses=49
[sample=32] cpu=0 bench=adpcm_dec cycles=319077 instructions=228472 cache-misses=47
[sample=33] cpu=0 bench=adpcm_dec cycles=318622 instructions=228474 cache-misses=48
[sample=34] cpu=0 bench=adpcm_dec cycles=319133 instructions=228474 cache-misses=48
[sample=35] cpu=0 bench=adpcm_dec cycles=319002 instructions=228472 cache-misses=49
[sample=36] cpu=0 bench=adpcm_dec cycles=318972 instructions=228473 cache-misses=44
[sample=37] cpu=0 bench=adpcm_dec cycles=319030 instructions=228474 cache-misses=45
[sample=38] cpu=0 bench=adpcm_dec cycles=318877 instructions=228474 cache-misses=56
[sample=39] cpu=0 bench=adpcm_dec cycles=319065 instructions=228472 cache-misses=50
[sample=40] cpu=0 bench=adpcm_dec cycles=318970 instructions=228471 cache-misses=47
[sample=41] cpu=0 bench=adpcm_dec cycles=319126 instructions=228472 cache-misses=51
[sample=42] cpu=0 bench=adpcm_dec cycles=319280 instructions=228472 cache-misses=53
[sample=43] cpu=0 bench=adpcm_dec cycles=318831 instructions=228473 cache-misses=45
[sample=44] cpu=0 bench=adpcm_dec cycles=319017 instructions=228473 cache-misses=49
[sample=45] cpu=0 bench=adpcm_dec cycles=318799 instructions=228474 cache-misses=46
[sample=46] cpu=0 bench=adpcm_dec cycles=318742 instructions=228473 cache-misses=47
[sample=47] cpu=0 bench=adpcm_dec cycles=318934 instructions=228472 cache-misses=44
[sample=48] cpu=0 bench=adpcm_dec cycles=319357 instructions=228471 cache-misses=47
[sample=49] cpu=0 bench=adpcm_dec cycles=319190 instructions=228472 cache-misses=45
[sample=50] cpu=0 bench=adpcm_dec cycles=319147 instructions=228470 cache-misses=53
[sample=51] cpu=0 bench=adpcm_dec cycles=318853 instructions=228471 cache-misses=43
[sample=52] cpu=0 bench=adpcm_dec cycles=319140 instructions=228472 cache-misses=44
