[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=1, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  (solo: all other cpus offlined)
[sample=0] cpu=0 bench=binarysearch cycles=7002 instructions=1262 cache-misses=14
[sample=1] cpu=0 bench=binarysearch cycles=6812 instructions=1257 cache-misses=13
[sample=2] cpu=0 bench=binarysearch cycles=1914 instructions=1259 cache-misses=3
[sample=3] cpu=0 bench=binarysearch cycles=1858 instructions=1259 cache-misses=0
[sample=4] cpu=0 bench=binarysearch cycles=1827 instructions=1258 cache-misses=1
[sample=5] cpu=0 bench=binarysearch cycles=1891 instructions=1258 cache-misses=1
[sample=6] cpu=0 bench=binarysearch cycles=1853 instructions=1258 cache-misses=1
[sample=7] cpu=0 bench=binarysearch cycles=1837 instructions=1257 cache-misses=2
[sample=8] cpu=0 bench=binarysearch cycles=1830 instructions=1257 cache-misses=1
[sample=9] cpu=0 bench=binarysearch cycles=1831 instructions=1257 cache-misses=1
[sample=10] cpu=0 bench=binarysearch cycles=1826 instructions=1257 cache-misses=0
[sample=11] cpu=0 bench=binarysearch cycles=1845 instructions=1258 cache-misses=1
[sample=12] cpu=0 bench=binarysearch cycles=1801 instructions=1257 cache-misses=1
[sample=13] cpu=0 bench=binarysearch cycles=1805 instructions=1257 cache-misses=0
[sample=14] cpu=0 bench=binarysearch cycles=1808 instructions=1257 cache-misses=1
[sample=15] cpu=0 bench=binarysearch cycles=1842 instructions=1258 cache-misses=2
[sample=16] cpu=0 bench=binarysearch cycles=1944 instructions=1257 cache-misses=5
[sample=17] cpu=0 bench=binarysearch cycles=1838 instructions=1258 cache-misses=3
[sample=18] cpu=0 bench=binarysearch cycles=1849 instructions=1257 cache-misses=1
[sample=19] cpu=0 bench=binarysearch cycles=1862 instructions=1257 cache-misses=0
[sample=20] cpu=0 bench=binarysearch cycles=1853 instructions=1257 cache-misses=1
[sample=21] cpu=0 bench=binarysearch cycles=1837 instructions=1257 cache-misses=1
[sample=22] cpu=0 bench=binarysearch cycles=1849 instructions=1258 cache-misses=2
[sample=23] cpu=0 bench=binarysearch cycles=1794 instructions=1257 cache-misses=2
[sample=24] cpu=0 bench=binarysearch cycles=1822 instructions=1258 cache-misses=1
[sample=25] cpu=0 bench=binarysearch cycles=1813 instructions=1258 cache-misses=2
[sample=26] cpu=0 bench=binarysearch cycles=1833 instructions=1258 cache-misses=1
[sample=27] cpu=0 bench=binarysearch cycles=1818 instructions=1258 cache-misses=0
[sample=28] cpu=0 bench=binarysearch cycles=1792 instructions=1257 cache-misses=1
[sample=29] cpu=0 bench=binarysearch cycles=1807 instructions=1258 cache-misses=2
[sample=30] cpu=0 bench=binarysearch cycles=1816 instructions=1258 cache-misses=2
[sample=31] cpu=0 bench=binarysearch cycles=1837 instructions=1258 cache-misses=1
[sample=32] cpu=0 bench=binarysearch cycles=1822 instructions=1258 cache-misses=1
[sample=33] cpu=0 bench=binarysearch cycles=1822 instructions=1258 cache-misses=1
[sample=34] cpu=0 bench=binarysearch cycles=1836 instructions=1258 cache-misses=3
[sample=35] cpu=0 bench=binarysearch cycles=1793 instructions=1258 cache-misses=0
[sample=36] cpu=0 bench=binarysearch cycles=1795 instructions=1258 cache-misses=0
[sample=37] cpu=0 bench=binarysearch cycles=1826 instructions=1258 cache-misses=2
[sample=38] cpu=0 bench=binarysearch cycles=1829 instructions=1258 cache-misses=1
[sample=39] cpu=0 bench=binarysearch cycles=1801 instructions=1257 cache-misses=1
[sample=40] cpu=0 bench=binarysearch cycles=1797 instructions=1258 cache-misses=0
[sample=41] cpu=0 bench=binarysearch cycles=1851 instructions=1258 cache-misses=2
[sample=42] cpu=0 bench=binarysearch cycles=1849 instructions=1258 cache-misses=1
[sample=43] cpu=0 bench=binarysearch cycles=1830 instructions=1258 cache-misses=0
[sample=44] cpu=0 bench=binarysearch cycles=1818 instructions=1258 cache-misses=1
[sample=45] cpu=0 bench=binarysearch cycles=1816 instructions=1258 cache-misses=2
[sample=46] cpu=0 bench=binarysearch cycles=1844 instructions=1258 cache-misses=1
[sample=47] cpu=0 bench=binarysearch cycles=1867 instructions=1257 cache-misses=3
[sample=48] cpu=0 bench=binarysearch cycles=1817 instructions=1257 cache-misses=2
[sample=49] cpu=0 bench=binarysearch cycles=1859 instructions=1259 cache-misses=2
[sample=50] cpu=0 bench=binarysearch cycles=1859 instructions=1257 cache-misses=2
[sample=51] cpu=0 bench=binarysearch cycles=1866 instructions=1257 cache-misses=2
[sample=52] cpu=0 bench=binarysearch cycles=1842 instructions=1257 cache-misses=1
[sample=53] cpu=0 bench=binarysearch cycles=1882 instructions=1257 cache-misses=2
[sample=54] cpu=0 bench=binarysearch cycles=1848 instructions=1257 cache-misses=1
[sample=55] cpu=0 bench=binarysearch cycles=1818 instructions=1257 cache-misses=0
[sample=56] cpu=0 bench=binarysearch cycles=1802 instructions=1257 cache-misses=1
[sample=57] cpu=0 bench=binarysearch cycles=1830 instructions=1257 cache-misses=1
[sample=58] cpu=0 bench=binarysearch cycles=1805 instructions=1257 cache-misses=3
[sample=59] cpu=0 bench=binarysearch cycles=1782 instructions=1257 cache-misses=0
[sample=60] cpu=0 bench=binarysearch cycles=1818 instructions=1257 cache-misses=0
