[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=1, lock_freq_khz=1600000
# cpu0=insertsort (measured)  (solo: all other cpus offlined)
[sample=0] cpu=0 bench=insertsort cycles=12289 instructions=2953 cache-misses=26
[sample=1] cpu=0 bench=insertsort cycles=5902 instructions=2947 cache-misses=15
[sample=2] cpu=0 bench=insertsort cycles=12736 instructions=2947 cache-misses=17
[sample=3] cpu=0 bench=insertsort cycles=4424 instructions=2946 cache-misses=4
[sample=4] cpu=0 bench=insertsort cycles=4190 instructions=2946 cache-misses=2
[sample=5] cpu=0 bench=insertsort cycles=4150 instructions=2946 cache-misses=3
[sample=6] cpu=0 bench=insertsort cycles=4169 instructions=2946 cache-misses=2
[sample=7] cpu=0 bench=insertsort cycles=4157 instructions=2946 cache-misses=3
[sample=8] cpu=0 bench=insertsort cycles=4383 instructions=2946 cache-misses=1
[sample=9] cpu=0 bench=insertsort cycles=4139 instructions=2946 cache-misses=1
[sample=10] cpu=0 bench=insertsort cycles=4420 instructions=2946 cache-misses=0
[sample=11] cpu=0 bench=insertsort cycles=4118 instructions=2946 cache-misses=1
[sample=12] cpu=0 bench=insertsort cycles=4146 instructions=2946 cache-misses=1
[sample=13] cpu=0 bench=insertsort cycles=4123 instructions=2946 cache-misses=0
[sample=14] cpu=0 bench=insertsort cycles=4167 instructions=2946 cache-misses=1
[sample=15] cpu=0 bench=insertsort cycles=4164 instructions=2946 cache-misses=2
[sample=16] cpu=0 bench=insertsort cycles=4169 instructions=2946 cache-misses=2
[sample=17] cpu=0 bench=insertsort cycles=4106 instructions=2946 cache-misses=1
[sample=18] cpu=0 bench=insertsort cycles=4222 instructions=2947 cache-misses=3
[sample=19] cpu=0 bench=insertsort cycles=4128 instructions=2946 cache-misses=2
[sample=20] cpu=0 bench=insertsort cycles=4158 instructions=2946 cache-misses=2
[sample=21] cpu=0 bench=insertsort cycles=4139 instructions=2946 cache-misses=2
[sample=22] cpu=0 bench=insertsort cycles=4162 instructions=2946 cache-misses=3
[sample=23] cpu=0 bench=insertsort cycles=4187 instructions=2946 cache-misses=1
[sample=24] cpu=0 bench=insertsort cycles=4123 instructions=2946 cache-misses=1
[sample=25] cpu=0 bench=insertsort cycles=4152 instructions=2946 cache-misses=1
[sample=26] cpu=0 bench=insertsort cycles=4162 instructions=2946 cache-misses=2
[sample=27] cpu=0 bench=insertsort cycles=4153 instructions=2947 cache-misses=1
[sample=28] cpu=0 bench=insertsort cycles=4173 instructions=2946 cache-misses=2
[sample=29] cpu=0 bench=insertsort cycles=4136 instructions=2946 cache-misses=1
[sample=30] cpu=0 bench=insertsort cycles=4151 instructions=2946 cache-misses=1
[sample=31] cpu=0 bench=insertsort cycles=4172 instructions=2946 cache-misses=1
[sample=32] cpu=0 bench=insertsort cycles=4191 instructions=2947 cache-misses=1
[sample=33] cpu=0 bench=insertsort cycles=4128 instructions=2946 cache-misses=0
[sample=34] cpu=0 bench=insertsort cycles=4137 instructions=2946 cache-misses=1
[sample=35] cpu=0 bench=insertsort cycles=4111 instructions=2946 cache-misses=1
[sample=36] cpu=0 bench=insertsort cycles=4152 instructions=2946 cache-misses=1
[sample=37] cpu=0 bench=insertsort cycles=4110 instructions=2946 cache-misses=0
[sample=38] cpu=0 bench=insertsort cycles=4150 instructions=2946 cache-misses=2
[sample=39] cpu=0 bench=insertsort cycles=4198 instructions=2946 cache-misses=2
[sample=40] cpu=0 bench=insertsort cycles=4146 instructions=2946 cache-misses=1
[sample=41] cpu=0 bench=insertsort cycles=4172 instructions=2946 cache-misses=1
[sample=42] cpu=0 bench=insertsort cycles=4150 instructions=2946 cache-misses=0
[sample=43] cpu=0 bench=insertsort cycles=4169 instructions=2946 cache-misses=1
[sample=44] cpu=0 bench=insertsort cycles=4167 instructions=2946 cache-misses=2
[sample=45] cpu=0 bench=insertsort cycles=4162 instructions=2946 cache-misses=1
[sample=46] cpu=0 bench=insertsort cycles=4154 instructions=2946 cache-misses=1
[sample=47] cpu=0 bench=insertsort cycles=4157 instructions=2946 cache-misses=2
[sample=48] cpu=0 bench=insertsort cycles=15819 instructions=2947 cache-misses=30
[sample=49] cpu=0 bench=insertsort cycles=4628 instructions=2946 cache-misses=8
[sample=50] cpu=0 bench=insertsort cycles=4243 instructions=2946 cache-misses=3
[sample=51] cpu=0 bench=insertsort cycles=4223 instructions=2946 cache-misses=3
[sample=52] cpu=0 bench=insertsort cycles=4173 instructions=2946 cache-misses=2
[sample=53] cpu=0 bench=insertsort cycles=4197 instructions=2946 cache-misses=2
[sample=54] cpu=0 bench=insertsort cycles=4184 instructions=2946 cache-misses=1
[sample=55] cpu=0 bench=insertsort cycles=4167 instructions=2947 cache-misses=1
[sample=56] cpu=0 bench=insertsort cycles=4156 instructions=2946 cache-misses=2
[sample=57] cpu=0 bench=insertsort cycles=4140 instructions=2946 cache-misses=2
[sample=58] cpu=0 bench=insertsort cycles=4177 instructions=2946 cache-misses=1
[sample=59] cpu=0 bench=insertsort cycles=4156 instructions=2946 cache-misses=2
[sample=60] cpu=0 bench=insertsort cycles=4135 instructions=2946 cache-misses=2
[sample=61] cpu=0 bench=insertsort cycles=4128 instructions=2946 cache-misses=2
[sample=62] cpu=0 bench=insertsort cycles=4167 instructions=2946 cache-misses=2
[sample=63] cpu=0 bench=insertsort cycles=4172 instructions=2946 cache-misses=2
[sample=64] cpu=0 bench=insertsort cycles=4147 instructions=2946 cache-misses=1
[sample=65] cpu=0 bench=insertsort cycles=4143 instructions=2946 cache-misses=2
[sample=66] cpu=0 bench=insertsort cycles=4130 instructions=2946 cache-misses=1
[sample=67] cpu=0 bench=insertsort cycles=4152 instructions=2946 cache-misses=2
[sample=68] cpu=0 bench=insertsort cycles=4131 instructions=2946 cache-misses=3
