[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=CACHE  cpu2=MEM  cpu3=PR_ROWBUF
[sample=0] cpu=0 bench=binarysearch cycles=14375 instructions=1263 cache-misses=13
[sample=1] cpu=0 bench=binarysearch cycles=5539 instructions=1258 cache-misses=10
[sample=2] cpu=0 bench=binarysearch cycles=14247 instructions=1257 cache-misses=2
[sample=3] cpu=0 bench=binarysearch cycles=5672 instructions=1257 cache-misses=2
[sample=4] cpu=0 bench=binarysearch cycles=1955 instructions=1257 cache-misses=1
[sample=5] cpu=0 bench=binarysearch cycles=2762 instructions=1257 cache-misses=2
[sample=6] cpu=0 bench=binarysearch cycles=3323 instructions=1257 cache-misses=2
[sample=7] cpu=0 bench=binarysearch cycles=1939 instructions=1257 cache-misses=2
[sample=8] cpu=0 bench=binarysearch cycles=2216 instructions=1257 cache-misses=2
[sample=9] cpu=0 bench=binarysearch cycles=2234 instructions=1257 cache-misses=1
[sample=10] cpu=0 bench=binarysearch cycles=2066 instructions=1257 cache-misses=1
[sample=11] cpu=0 bench=binarysearch cycles=2061 instructions=1257 cache-misses=1
[sample=12] cpu=0 bench=binarysearch cycles=1981 instructions=1257 cache-misses=3
[sample=13] cpu=0 bench=binarysearch cycles=2191 instructions=1257 cache-misses=1
[sample=14] cpu=0 bench=binarysearch cycles=2273 instructions=1257 cache-misses=2
[sample=15] cpu=0 bench=binarysearch cycles=1890 instructions=1257 cache-misses=1
[sample=16] cpu=0 bench=binarysearch cycles=1911 instructions=1257 cache-misses=2
[sample=17] cpu=0 bench=binarysearch cycles=1978 instructions=1257 cache-misses=3
[sample=18] cpu=0 bench=binarysearch cycles=2105 instructions=1257 cache-misses=3
[sample=19] cpu=0 bench=binarysearch cycles=3631 instructions=1258 cache-misses=3
[sample=20] cpu=0 bench=binarysearch cycles=1883 instructions=1257 cache-misses=3
[sample=21] cpu=0 bench=binarysearch cycles=1897 instructions=1257 cache-misses=3
[sample=22] cpu=0 bench=binarysearch cycles=2091 instructions=1257 cache-misses=4
[sample=23] cpu=0 bench=binarysearch cycles=1884 instructions=1257 cache-misses=1
[sample=24] cpu=0 bench=binarysearch cycles=1910 instructions=1257 cache-misses=3
[sample=25] cpu=0 bench=binarysearch cycles=1872 instructions=1257 cache-misses=3
[sample=26] cpu=0 bench=binarysearch cycles=1963 instructions=1257 cache-misses=2
[sample=27] cpu=0 bench=binarysearch cycles=1883 instructions=1257 cache-misses=2
[sample=28] cpu=0 bench=binarysearch cycles=1898 instructions=1257 cache-misses=4
[sample=29] cpu=0 bench=binarysearch cycles=1885 instructions=1257 cache-misses=2

# Statistics over 30 samples on cpu0 bench=binarysearch (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        1872                14375              3183.83              2021.00
  instructions                  1257                 1263              1257.27              1257.00
  cache-misses                     1                   13                 2.80                 2.00
